gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TCEAL3,--,0.08752718465978764,0.9457878371031072,0.06602328271599604,-1,0.13204656543199209
TCEAL4,+-,0.2558123518946055,0.7184086196873886,0.2729796100357132,-1,0.5459592200714264
TCEAL4P1,+-,0.4849147262071044,0.4759802287631343,0.550040002796196,1,0.9519604575262686
TCEAL5,+-,0.10541139249730522,0.18407644434920248,0.417678517929204,1,0.36815288869840496
TCEAL6,+-,0.015986921973492933,0.7408967300464704,0.03142504468345679,-1,0.06285008936691358
TCEAL7,--,0.4725781054319508,0.8177645313610789,0.3156514233659541,-1,0.6313028467319082
TCEAL8,+-,0.6217386155629284,0.6926101057206259,0.4592660269038324,-1,0.9185320538076648
TCEAL9,--,0.23484523151229578,0.8991441718894149,0.1670354581529365,-1,0.334070916305873
TCEANC,--,0.41483808099445957,0.8619235931985478,0.257683749820842,-1,0.515367499641684
TCEANC2,-+,0.4113855159575529,0.5428826827199764,0.4354269579844852,-1,0.8708539159689704
TCEB1,+-,0.43714606587475757,0.5397406367995966,0.4522480870507096,-1,0.9044961741014192
TCEB1P10,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P11,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P12,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P13,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P14,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P15,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P16,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P17,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P18,-+,0.20779585477328655,0.28209804052152243,0.5314232564966258,1,0.5641960810430449
TCEB1P19,--,0.01479858106573157,0.9930962969379893,0.0065293046619727315,-1,0.013058609323945463
TCEB1P2,-+,0.25534950378570426,0.5198458091944796,0.3269967398150664,-1,0.6539934796301328
TCEB1P20,++,0.20779585477328655,0.19174077147012455,0.8379794244402491,1,0.3834815429402491
TCEB1P21,+-,0.6232548056726447,0.506110687379756,0.6207743263563722,1,1.012221374759512
TCEB1P22,+-,0.3986539190748546,0.3640475021936284,0.7047746501896115,1,0.7280950043872568
