gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
COL8A2,++,0.1498450688077605,0.08085890134270632,0.9601803335104522,1,0.16171780268541264,0.06297056810403832,0.054240574915872926,0.10848114983174585
TRAPPC3,++,0.5597226045615642,0.3577462741811607,0.7939974454641776,1,0.7154925483623213,0.3604266484143281,0.3203102720584042,0.6406205441168084
MAP7D1,+-,0.34246378523534304,0.3400566049339432,0.6891270351593325,1,0.6801132098678864,0.3424024640657084,0.3055951634061484,0.6111903268122968
THRAP3,+-,0.23345055379245047,0.27093312975262734,0.6740889142156433,1,0.5418662595052547,0.2665982203969884,0.24291336337192723,0.48582672674385446
SH3D21,+-,0.6415430725835236,0.6122351643485824,0.5174962501673311,-1,1.0349925003346623,0.4964352934466435,0.43623089208304816,0.8724617841660963
EVA1B,-+,0.10457630665087124,0.13587313812674107,0.7669454963613598,1,0.27174627625348213,0.1177846224047456,0.10979296184338105,0.2195859236867621
STK40,--,0.4491578127010209,0.7894058464465841,0.3330973842307294,-1,0.6661947684614588,0.3368505104659784,0.2991672370522473,0.5983344741044946
LSM10,-+,0.1142841955732671,0.14396197403472633,0.7720752716057513,1,0.28792394806945265,0.12651152178872918,0.11794901043746078,0.23589802087492157
OSCP1,+-,0.2287665190430373,0.3776302366159121,0.32723128742556046,-1,0.6544625748511209,0.3313751212000228,0.2945471138489619,0.5890942276979237
MRPS15,-+,0.28881674237725896,0.31305467040585777,0.6691433352888573,1,0.6261093408117155,0.31365503080082136,0.2814121941481777,0.5628243882963554
CSF3R,++,0.14988317053713962,0.09194921758846457,0.9488949311710119,1,0.18389843517692914,0.07380789413643624,0.06376547082644157,0.12753094165288315
GRIK3,+-,0.2911422159414108,0.6749739878538542,0.31264720617969816,-1,0.6252944123593963,0.3133519648662522,0.28114305270362766,0.5622861054072553
ZC3H12A,+-,0.7259724817272006,0.587683320360496,0.5593540802893429,-1,1.1187081605786857,0.5201619802657845,0.4588751996349532,0.9177503992699064
MEAF6,+-,0.09504694235642176,0.3271077823774769,0.17704794108625088,-1,0.35409588217250176,0.16255061883305766,0.15075290896646132,0.30150581793292264
SNIP1,+-,0.7041920981398414,0.6821424700838166,0.4875879756699199,-1,0.9751759513398398,0.4761307249187247,0.4159251654118184,0.8318503308236368
DNALI1,++,0.6824268501086801,0.4527186449725693,0.7178495500074096,1,0.9054372899451386,0.4491786447638604,0.3927451092226088,0.7854902184452176
GNL2,--,0.5571324788823953,0.7676869895829237,0.38205413767462687,-1,0.7641082753492537,0.3851023783722124,0.34074834588181613,0.6814966917636323
RSPO1,-+,0.2548741667502815,0.34087717269874035,0.4457736027313839,1,0.6817543453974807,0.34297284964636093,0.30582330462556323,0.6116466092511265
