gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GNG8,female,-,0.18518700177618858,0.9074064991119057,0.09259350088809429,-1,0.18518700177618858
GNGT1,female,-,0.3402115521044717,0.8298942239477641,0.17010577605223584,-1,0.3402115521044717
GNGT2,female,+,0.4431539088373907,0.22157695441869535,0.7784230455813046,1,0.4431539088373907
GNL1,female,+,0.4607545893940215,0.23037729469701074,0.7696227053029893,1,0.4607545893940215
GNL2,female,-,0.8875489281666249,0.5562255359166876,0.44377446408331245,-1,0.8875489281666249
GNL2P1,female,-,0.19984368253536508,0.9000781587323174,0.09992184126768254,-1,0.19984368253536508
GNL3,female,+,0.38481165967268216,0.19240582983634108,0.8075941701636589,1,0.38481165967268216
GNL3L,female,-,0.614455335795552,0.692772332102224,0.307227667897776,-1,0.614455335795552
GNL3LP1,female,-,0.6170031651512982,0.6914984174243509,0.3085015825756491,-1,0.6170031651512982
GNLY,female,-,0.6655050206294779,0.667247489685261,0.33275251031473896,-1,0.6655050206294779
GNMT,female,-,0.19757025907381465,0.9012148704630927,0.09878512953690732,-1,0.19757025907381465
GNPAT,female,-,0.8962276019642204,0.5518861990178898,0.4481138009821102,-1,0.8962276019642204
GNPATP,female,-,0.932932332358797,0.5335338338206015,0.4664661661793985,-1,0.932932332358797
GNPDA1,female,+,0.2096303379926868,0.1048151689963434,0.8951848310036565,1,0.2096303379926868
GNPDA2,female,+,0.12048675051614119,0.060243375258070594,0.9397566247419293,1,0.12048675051614119
GNPNAT1,female,+,0.34543023217932606,0.17271511608966303,0.8272848839103369,1,0.34543023217932606
GNPTAB,female,+,0.9149352199632258,0.4574676099816129,0.5425323900183872,1,0.9149352199632258
GNPTG,female,-,0.4801465713025126,0.7599267143487437,0.2400732856512563,-1,0.4801465713025126
GNRH1,female,-,0.35970074096631416,0.8201496295168429,0.17985037048315708,-1,0.35970074096631416
GNRH2,female,-,0.18480207449618655,0.9075989627519067,0.09240103724809327,-1,0.18480207449618655
GNRHR,female,+,0.7121106723250048,0.3560553361625024,0.6439446638374976,1,0.7121106723250048
GNRHR2,female,-,0.41269712549407994,0.7936514372529601,0.20634856274703997,-1,0.41269712549407994
GNRHR2P1,female,-,0.6618353311609162,0.6690823344195419,0.3309176655804581,-1,0.6618353311609162
GNS,female,+,0.4934550592118284,0.2467275296059142,0.7532724703940858,1,0.4934550592118284
GOLGA1,female,-,0.5326527912540722,0.7336736043729639,0.2663263956270361,-1,0.5326527912540722
GOLGA2,female,+,0.7232722516451379,0.36163612582256893,0.6383638741774311,1,0.7232722516451379
GOLGA2P1,female,-,0.4825502684137748,0.7587248657931126,0.2412751342068874,-1,0.4825502684137748
GOLGA2P10,female,-,0.24114322342315844,0.8794283882884208,0.12057161171157922,-1,0.24114322342315844
GOLGA2P11,female,-,0.21987161044804335,0.8900641947759783,0.10993580522402167,-1,0.21987161044804335
GOLGA2P2Y,female,+,0.10973028107582827,0.05486514053791414,0.9451348594620859,1,0.10973028107582827
GOLGA2P3Y,female,+,0.3675801931661672,0.1837900965830836,0.8162099034169163,1,0.3675801931661672
GOLGA2P4,female,-,0.13289670031486206,0.933551649842569,0.06644835015743103,-1,0.13289670031486206
GOLGA2P5,female,-,0.8624487342690317,0.5687756328654842,0.43122436713451584,-1,0.8624487342690317
GOLGA2P6,female,+,0.039127144364631466,0.019563572182315733,0.9804364278176843,1,0.039127144364631466
GOLGA2P7,female,+,0.3018413931709839,0.15092069658549195,0.8490793034145081,1,0.3018413931709839
GOLGA2P8,female,-,0.8083132758281897,0.5958433620859052,0.40415663791409484,-1,0.8083132758281897
GOLGA2P9,female,-,0.6922682692667737,0.6538658653666132,0.3461341346333868,-1,0.6922682692667737
GOLGA3,female,+,0.9104664190291072,0.4552332095145536,0.5447667904854464,1,0.9104664190291072
GOLGA4,female,+,0.967904892653878,0.483952446326939,0.516047553673061,1,0.967904892653878
GOLGA5,female,-,0.695974085459513,0.6520129572702436,0.3479870427297565,-1,0.695974085459513
GOLGA5P1,female,+,0.7897325504754159,0.39486627523770795,0.6051337247622921,1,0.7897325504754159
GOLGA6A,female,-,0.6668570613698641,0.6665714693150679,0.33342853068493206,-1,0.6668570613698641
GOLGA6B,female,+,0.07901008864663377,0.03950504432331688,0.9604949556766832,1,0.07901008864663377
GOLGA6C,female,-,0.357769089586597,0.8211154552067015,0.1788845447932985,-1,0.357769089586597
GOLGA6D,female,+,0.6268210594334499,0.31341052971672495,0.6865894702832751,1,0.6268210594334499
GOLGA6L1,female,-,0.40188977355379063,0.7990551132231047,0.20094488677689532,-1,0.40188977355379063
GOLGA6L10,female,+,0.41919529480261575,0.20959764740130787,0.7904023525986921,1,0.41919529480261575
GOLGA6L11P,female,-,0.3258017997931687,0.8370991001034156,0.16290089989658435,-1,0.3258017997931687
GOLGA6L16P,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
GOLGA6L17P,female,+,0.8759503440600461,0.43797517203002306,0.5620248279699769,1,0.8759503440600461
GOLGA6L2,female,-,0.57540947187029,0.712295264064855,0.287704735935145,-1,0.57540947187029
GOLGA6L22,female,-,0.2533850055646924,0.8733074972176538,0.1266925027823462,-1,0.2533850055646924
GOLGA6L3,female,-,0.33315385660361757,0.8334230716981912,0.16657692830180879,-1,0.33315385660361757
GOLGA6L4,female,+,0.7461012350809022,0.3730506175404511,0.6269493824595489,1,0.7461012350809022
GOLGA6L5P,female,+,0.16401379129008417,0.08200689564504209,0.9179931043549578,1,0.16401379129008417
GOLGA6L6,female,+,0.7792187602223597,0.38960938011117985,0.6103906198888202,1,0.7792187602223597
GOLGA6L7P,female,-,0.8407682350471644,0.5796158824764178,0.4203841175235822,-1,0.8407682350471644
GOLGA6L9,female,-,0.9286549154079462,0.5356725422960269,0.4643274577039731,-1,0.9286549154079462
GOLGA7,female,-,0.10887336112762457,0.9455633194361877,0.05443668056381228,-1,0.10887336112762457
GOLGA7B,female,+,0.505182817975583,0.2525914089877915,0.7474085910122086,1,0.505182817975583
GOLGA8A,female,-,0.9169164169978898,0.5415417915010551,0.4584582084989449,-1,0.9169164169978898
GOLGA8B,female,+,0.220074457890338,0.110037228945169,0.889962771054831,1,0.220074457890338
GOLGA8CP,female,-,0.9959327784023781,0.5020336107988109,0.4979663892011891,-1,0.9959327784023781
GOLGA8DP,female,+,0.6965626442224053,0.34828132211120266,0.6517186778887973,1,0.6965626442224053
GOLGA8EP,female,-,0.34886606558800404,0.825566967205998,0.17443303279400202,-1,0.34886606558800404
GOLGA8F,female,-,0.342013659132228,0.828993170433886,0.171006829566114,-1,0.342013659132228
GOLGA8G,female,+,0.08326403772886168,0.04163201886443084,0.9583679811355691,1,0.08326403772886168
GOLGA8H,female,+,0.16503707998561082,0.08251853999280541,0.9174814600071947,1,0.16503707998561082
GOLGA8IP,female,-,0.5949458608503568,0.7025270695748216,0.2974729304251784,-1,0.5949458608503568
GOLGA8J,female,+,0.7982800685786049,0.39914003428930245,0.6008599657106976,1,0.7982800685786049
GOLGA8K,female,-,0.03288588042762035,0.9835570597861899,0.016442940213810174,-1,0.03288588042762035
GOLGA8M,female,+,0.025094778821791848,0.012547389410895924,0.987452610589104,1,0.025094778821791848
GOLGA8N,female,-,0.30678577046016936,0.8466071147699153,0.15339288523008468,-1,0.30678577046016936
GOLGA8O,female,+,0.1417493944733827,0.07087469723669135,0.9291253027633086,1,0.1417493944733827
GOLGA8Q,female,-,0.41887086318770955,0.7905645684061452,0.20943543159385478,-1,0.41887086318770955
GOLGA8R,female,-,0.05085403175483053,0.9745729841225848,0.025427015877415266,-1,0.05085403175483053
GOLGA8S,female,-,0.8071112644430268,0.5964443677784865,0.4035556322215134,-1,0.8071112644430268
GOLGA8T,female,-,0.20450697021921987,0.89774651489039,0.10225348510960994,-1,0.20450697021921987
GOLGA8UP,female,+,0.1926435217521484,0.0963217608760742,0.9036782391239259,1,0.1926435217521484
GOLGA8VP,female,-,0.06520579084155252,0.9673971045792237,0.03260289542077626,-1,0.06520579084155252
GOLGB1,female,+,0.8664126389865836,0.4332063194932918,0.5667936805067082,1,0.8664126389865836
GOLIM4,female,+,0.7694794941470313,0.38473974707351566,0.6152602529264843,1,0.7694794941470313
GOLM1,female,+,0.24450614255850478,0.12225307127925239,0.8777469287207476,1,0.24450614255850478
GOLPH3,female,+,0.5700915063901026,0.2850457531950513,0.7149542468049487,1,0.5700915063901026
GOLPH3L,female,+,0.9886721074860029,0.49433605374300144,0.5056639462569985,1,0.9886721074860029
GOLT1A,female,+,0.8936042961632742,0.4468021480816371,0.5531978519183629,1,0.8936042961632742
GOLT1B,female,+,0.6474131164378059,0.32370655821890293,0.6762934417810971,1,0.6474131164378059
GON4L,female,+,0.7631715625188904,0.3815857812594452,0.6184142187405548,1,0.7631715625188904
GOPC,female,+,0.773497424565207,0.3867487122826035,0.6132512877173966,1,0.773497424565207
GORAB,female,+,0.9748164240587014,0.4874082120293507,0.5125917879706493,1,0.9748164240587014
GORASP1,female,+,0.49406562889501093,0.24703281444750547,0.7529671855524945,1,0.49406562889501093
GORASP2,female,+,0.4340538237643013,0.21702691188215065,0.7829730881178494,1,0.4340538237643013
GOSR1,female,+,0.4928223725438613,0.24641118627193065,0.7535888137280693,1,0.4928223725438613
GOSR2,female,+,0.9486135434799439,0.47430677173997193,0.5256932282600281,1,0.9486135434799439
GOT1,female,+,0.213701499836597,0.1068507499182985,0.8931492500817014,1,0.213701499836597
GOT1L1,female,+,0.3242919594597012,0.1621459797298506,0.8378540202701494,1,0.3242919594597012
