gene_symbol,AnCg_nAcc_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
CD79B,+++,4.7147967022066376e-4,4.4494756185815896e-4,0.9670046089373128,1,8.898951237163179e-4,6.844626967830253e-4,1.7110591456111332e-4,3.4221182912222664e-4
CD80,-++,0.09014822391494091,0.2884607824432316,0.31376649045608274,1,0.5769215648864632,0.27138945927446956,0.25894028403581815,0.5178805680716363
CD81,++-,0.22427964951034426,0.14915312969550898,0.8599371471503583,1,0.29830625939101796,0.12594113620807665,0.12057263446073119,0.24114526892146237
CD82,-+-,0.21626308927741944,0.7004368901431146,0.2519820677876587,-1,0.5039641355753174,0.23532766782638453,0.223305954825462,0.446611909650924
CD83,+--,0.07319678169264353,0.4271577150843311,0.20454599930907416,-1,0.4090919986181483,0.18576398790851537,0.17847364818617387,0.35694729637234773
CD84,-++,0.026093782597281522,0.06727491448195186,0.4761139968646289,1,0.13454982896390372,0.050308008213552365,0.04294758455483944,0.08589516910967888
CD86,---,0.19310410545693477,0.8722684914801688,0.23552298269446387,-1,0.47104596538892773,0.21873039411395653,0.20864704540269222,0.41729409080538443
CD8A,---,0.5999949034612206,0.8141860616846528,0.44581427635995574,-1,0.8916285527199115,0.4130496777505276,0.40069587040839605,0.8013917408167921
CD8B,+++,0.013097295141675078,0.015316895214735926,0.9745160106879142,1,0.03063379042947185,0.011464750171115675,0.007072377801859351,0.014144755603718702
CD9,-+-,0.36463569747821134,0.6879301384716903,0.298720729148905,-1,0.59744145829781,0.281355158843324,0.2687086470454027,0.5374172940908054
CD93,-+-,0.584118068901021,0.6101158493005181,0.6094825869216213,-1,1.2189651738432425,0.5019106827125991,0.48613963039014374,0.9722792607802875
CD96,+++,0.014759604082277276,0.03724149348426394,0.9061967934598867,1,0.07448298696852788,0.02675108373260324,0.02001939200365026,0.04003878400730052
CDA,+++,0.02134795176740883,0.005485368558778771,0.9769882494022601,1,0.010970737117557541,0.004734200319415925,0.0023384474990018824,0.004676894998003765
CDADC1,+-+,0.07299205250294354,0.11047419924838417,0.8019932810191142,1,0.22094839849676834,0.08898015058179329,0.08327154508640848,0.16654309017281696
CDAN1,---,0.3127921864296427,0.9134927372016558,0.24146661403417674,-1,0.4829332280683535,0.22511834825757143,0.21406570841889117,0.42813141683778233
CDC123,+-+,0.021724414369118285,0.09602240364930566,0.49694780276553907,1,0.19204480729861131,0.07529089664613278,0.07038156618947128,0.14076313237894256
CDC14A,--+,0.28821932738409917,0.8661392993723627,0.23985653386608996,-1,0.4797130677321799,0.2235213597216677,0.2122404745608031,0.4244809491216062
CDC14B,---,0.021471897807678206,0.9093840368759479,0.04518326908593372,-1,0.09036653817186743,0.03296640620544117,0.02566735112936345,0.0513347022587269
CDC16,+--,0.5049452057751859,0.6734948696751749,0.4467443154514282,-1,0.8934886309028564,0.41430445445730907,0.4012662559890486,0.8025325119780972
CDC20,-++,0.4258983412036804,0.3894438307129835,0.8211593829107171,1,0.778887661425967,0.36419119324663474,0.35373296070267496,0.7074659214053499
CDC20B,-+-,0.21588756359782532,0.35590663847441933,0.7104233395470172,1,0.7118132769488387,0.3361282226785307,0.3221924371185764,0.6443848742371528
CDC23,+-+,0.12372005314061375,0.7456374517720867,0.25049393983860385,-1,0.5009878796772077,0.2337306792904808,0.2219940679899612,0.4439881359799224
CDC25A,---,0.29923127194134214,0.9093017283377332,0.24402349906830495,-1,0.4880469981366099,0.22802714880511035,0.21657540497376226,0.43315080994752453
CDC25B,+--,0.45287583564223866,0.7609115210147578,0.41364493334601393,-1,0.8272898666920279,0.3867564022129698,0.3753137120693589,0.7506274241387177
CDC25C,+-+,0.21300672376886554,0.16769582057100224,0.906034902929878,1,0.3353916411420045,0.14527720739219713,0.13853875548964809,0.27707751097929617
CDC26,+++,0.08087533368164883,0.11234772908974877,0.9212769820697453,1,0.22469545817949754,0.0902920374172941,0.08498260423201962,0.16996520846403923
CDC27,---,0.24790301616310118,0.8650911591411445,0.2720819047723714,-1,0.5441638095447427,0.25586037757371816,0.24258498745151721,0.48516997490303443
CDC34,++-,0.1813413722771692,0.328711424347839,0.4412979931418368,1,0.657422848695678,0.31234314396532054,0.2978383619460446,0.5956767238920893
CDC37,++-,0.2068848457283607,0.3921479676843744,0.4753581299252165,1,0.7842959353687488,0.3661305042208533,0.35629954942109165,0.7125990988421833
CDC37L1,+-+,0.11972329833878657,0.6148451874263134,0.2801111673342997,-1,0.5602223346685994,0.2635031084241145,0.24954369153547798,0.49908738307095596
CDC40,+-+,0.6149437209847892,0.6086030044088286,0.631663429993412,1,1.2172060088176573,0.5015970796258271,0.48588376204870815,0.9717675240974163
CDC42,---,0.4755876834691748,0.8090439131578349,0.42270370635494137,-1,0.8454074127098827,0.3937717447099755,0.3825576089436459,0.7651152178872918
CDC42BPA,-+-,0.4418898375352215,0.7654692918477817,0.39704136945144225,-1,0.7940827389028845,0.37147094051217705,0.3611111111111111,0.7222222222222222
CDC42BPB,+-+,0.26354638685528403,0.30221700015737135,0.6381926642282794,1,0.6044340003147427,0.28479352041980377,0.2727998631152683,0.5455997262305367
CDC42BPG,-+-,0.2349833035458275,0.8438536899854188,0.23356774694126972,-1,0.46713549388253944,0.21633491131010096,0.2065366187542779,0.4130732375085558
CDC42EP1,-+-,0.10037893848409397,0.760426944801563,0.1098050607920703,-1,0.2196101215841406,0.08840472252324189,0.08264887063655031,0.16529774127310062
CDC42EP2,-+-,0.07292927124580403,0.7041558361887088,0.11393581909994499,-1,0.22787163819988998,0.09159869959504933,0.08664156970111796,0.17328313940223591
CDC42EP3,+-+,0.1446815944909345,0.1165365322377482,0.9000686965227858,1,0.2330730644754964,0.09405658224960073,0.08914618148634004,0.17829236297268009
CDC42EP4,-+-,0.6735290884447118,0.6847401529764182,0.5817444019539423,-1,1.1634888039078846,0.49232875149717675,0.4776979237964864,0.9553958475929728
CDC42EP5,++-,0.02482223728378007,0.06484603894543786,0.6510427661730205,1,0.12969207789087572,0.04808350444900753,0.04089431358010608,0.08178862716021217
CDC42SE1,-+-,0.28068688618674886,0.8854851059554486,0.24338710769474847,-1,0.48677421538949694,0.22751383106142703,0.21623317362537076,0.4324663472507415
CDC42SE2,+-+,0.39314670883670144,0.40704409107434275,0.6517588160919789,1,0.8140881821486855,0.38033310517910107,0.3697598813665659,0.7395197627331318
CDC45,+-+,0.26271573258727277,0.7363488595615998,0.38110496250116516,-1,0.7622099250023303,0.35732618490845836,0.3470225872689938,0.6940451745379876
CDC5L,---,0.5201596805119761,0.8746770470683033,0.351222876082157,-1,0.702445752164314,0.33240175668738947,0.31798996121378054,0.6359799224275611
CDC6,+--,0.37446936173094547,0.6239235272027868,0.38745182008530454,-1,0.7749036401706091,0.36257343295499916,0.35192790326260553,0.7038558065252111
CDC7,+-+,0.03919298430206629,0.45999957412710524,0.1743675247840097,-1,0.3487350495680194,0.15268351109336678,0.14499201460187086,0.2899840292037417
CDC73,---,0.3289632264592216,0.9183701328036655,0.2168244763397052,-1,0.4336489526794104,0.19853989619574516,0.18988135979922427,0.37976271959844854
CDCA2,--+,0.2881723895135421,0.7473495196912279,0.3841523343497421,-1,0.7683046686994842,0.3598357383220213,0.3488478211270819,0.6976956422541638
CDCA4,+--,0.35093980264628877,0.5255434394812399,0.5528251037531343,1,1.0510868789624799,0.4668605977640885,0.4517766497461929,0.9035532994923858
CDCA5,+-+,0.07847374524271829,0.15736989056566467,0.8018192079410613,1,0.31473978113132933,0.13546657540497375,0.12895682427422575,0.2579136485484515
CDCA7,+++,0.1886330269677603,0.19361896697449965,0.9100768878382165,1,0.3872379339489993,0.17368240930869266,0.16717047852620773,0.33434095705241546
CDCA7L,---,0.44601075925329525,0.7867280067889457,0.4365516453397607,-1,0.8731032906795214,0.40546398220498486,0.39305270362765227,0.7861054072553045
CDCA8,++-,0.22809852428466057,0.6947676472036364,0.37315727221305695,-1,0.7463145444261139,0.3515656191182342,0.33892311202372805,0.6778462240474561
CDCP1,--+,0.17383352127067073,0.8389968759856841,0.2125107023720754,-1,0.4250214047441508,0.1938059658928877,0.18605977640885238,0.37211955281770476
CDCP2,---,0.18314811809714482,0.9241532846913295,0.17727356681403872,-1,0.35454713362807744,0.15553527633605202,0.14812913529545974,0.29625827059091947
CDH1,---,0.3044163846060628,0.9327839128447412,0.17190865674609115,-1,0.3438173134921823,0.14943249871670564,0.14259639516313027,0.28519279032626055
CDH10,+-+,0.0740084882551117,0.34985525246504195,0.27965081546008264,-1,0.5593016309201653,0.2633320025095534,0.24920146018708647,0.49840292037417294
CDH11,--+,0.06738475127496132,0.7855769689098432,0.13886946044725518,-1,0.27773892089451035,0.11612388068214224,0.11082591832078485,0.2216518366415697
CDH12,+-+,0.25446150538965306,0.504649140157254,0.47528162010384256,-1,0.9505632402076851,0.4366622939599612,0.4224845995893224,0.8449691991786448
