gene_symbol,t,P.Value,target_region
ICMT,1.6551513182953785,0.15182055123589927,nAcc
ICMT,1.2820463875190977,0.24461850870703886,AnCg
ICMT,0.89834670452194,0.4100959672911358,DLPFC
HES3,-2.023696801370909,0.09879264321672353,DLPFC
HES3,-1.6762980350409684,0.1419334788155841,AnCg
HES3,0.7347685359363747,0.4917215767469777,nAcc
GPR153,-1.967191828081781,0.10619375296873623,DLPFC
GPR153,-1.0533540150684804,0.33496045134767544,nAcc
GPR153,-0.9555149926575394,0.37424652156866856,AnCg
ACOT7,2.105476630263733,0.07729849699205807,AnCg
ACOT7,1.340672194605042,0.2312114844232476,nAcc
ACOT7,-1.3329248937810905,0.23995812618875748,DLPFC
HES2,-2.4152145037252013,0.060376038844601534,DLPFC
HES2,-0.6350060486491377,0.5501579054733083,nAcc
HES2,0.13482484364157318,0.8969208880654449,AnCg
ESPN,-2.1843621461516105,0.08056226247847566,DLPFC
ESPN,1.3365215634388596,0.23247994001739788,nAcc
ESPN,1.0753332148578145,0.3213554729441195,AnCg
TNFRSF25,-2.550116007132747,0.051166790488438224,DLPFC
TNFRSF25,-0.7501853953011539,0.4830816019649069,nAcc
TNFRSF25,-0.3772899096968741,0.7182412933756575,AnCg
PLEKHG5,-3.1091950630053917,0.026505862982695194,DLPFC
PLEKHG5,1.9575084023025182,0.10080322975688805,nAcc
PLEKHG5,0.3535364223742439,0.7351234305411337,AnCg
NOL9,-0.7284232445196079,0.49896468419008577,DLPFC
NOL9,-0.0851933662139097,0.9347292742805473,AnCg
NOL9,0.006989453610198862,0.9946625162504392,nAcc
TAS1R1,0.590356993594905,0.5753351165087517,AnCg
TAS1R1,-0.5730312714731708,0.5885959574908962,nAcc
TAS1R1,0.17130497611340198,0.8706883690314096,DLPFC
ZBTB48,0.7514125998391561,0.4793040799355325,AnCg
ZBTB48,-0.6461585799751863,0.5466065795923694,DLPFC
ZBTB48,-0.027817508677434533,0.9787602278391003,nAcc
KLHL21,2.4611212879350304,0.05705421236481339,DLPFC
KLHL21,1.2188416078703834,0.27114769077897516,nAcc
KLHL21,-0.5138354364753773,0.6247447522359941,AnCg
PHF13,0.7038885089237522,0.5093449625205175,nAcc
PHF13,-0.640885992712783,0.5497599920877984,DLPFC
PHF13,-0.524795887558826,0.6175275845347091,AnCg
THAP3,-1.015481419701374,0.3512105520432628,nAcc
THAP3,-0.7637963128578131,0.472391070478381,AnCg
