gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
C11orf68,+-,0.055032329254760246,0.09929869657196713,0.6049036444858538,1,0.19859739314393426
C11orf70,--,0.728992532372815,0.7626035686082926,0.4103366002173058,-1,0.8206732004346116
C11orf71,--,0.5019166662335313,0.7674930709819769,0.367141799246511,-1,0.734283598493022
C11orf74,+-,0.3881919290230218,0.4688610189637431,0.4411193668809637,-1,0.8822387337619274
C11orf80,--,0.12758945798729307,0.9147821764653645,0.1051024161579955,-1,0.210204832315991
C11orf84,--,0.17676583548992048,0.9358635490723035,0.11356214346451786,-1,0.22712428692903572
C11orf86,+-,0.14254944849491843,0.6521731854636822,0.1962385412181761,-1,0.3924770824363522
C11orf87,++,0.23022815490111062,0.19062537144213096,0.8625140587843059,1,0.3812507428842619
C11orf88,+-,0.44964922963577025,0.4688167226755048,0.5116819677895504,1,0.9376334453510096
C11orf91,++,0.20600285349208772,0.1566352645292671,0.8964658817147375,1,0.3132705290585342
C11orf95,+-,0.2658600548312214,0.7628293626470783,0.2620163017916987,-1,0.5240326035833974
C11orf96,--,0.8768006973424887,0.6681269400962977,0.5213710573566964,-1,1.0427421147133928
C11orf97,--,0.07500268168255429,0.9809557995309113,0.036138805253639786,-1,0.07227761050727957
C12orf10,+-,0.06657583019410303,0.13978568930148458,0.2209837307083102,1,0.27957137860296916
C12orf29,++,0.0473622787185985,0.06314868090741961,0.8461998345982517,1,0.12629736181483922
C12orf4,-+,0.3028778276961836,0.4885868438334853,0.37299453978324315,-1,0.7459890795664863
C12orf40,+-,0.4955726716562854,0.5663334176983076,0.4754698273649126,-1,0.9509396547298252
C12orf42,-+,0.43401056353403816,0.44651307095149484,0.5512806274588595,1,0.8930261419029897
C12orf43,+-,0.3374957244145066,0.3780667677976952,0.5704562198388412,1,0.7561335355953904
C12orf45,+-,0.43883896400603395,0.4120766079352577,0.6468353969885159,1,0.8241532158705154
C12orf49,++,0.3460900214353511,0.19835471152796638,0.9014580390321708,1,0.39670942305593276
C12orf50,+-,0.6205235815084458,0.5991891683024385,0.5169625881308503,-1,1.0339251762617006
C12orf54,+-,0.3555275470652111,0.33722769253065155,0.7127906364972008,1,0.6744553850613031
C12orf56,--,0.16073428698652453,0.8246034452502953,0.1665713109771684,-1,0.3331426219543368
C12orf60,+-,0.4638938995318314,0.6890411108531312,0.40359140354837064,-1,0.8071828070967413
C12orf65,+-,0.3386024137415886,0.6798564535056579,0.3414914984442988,-1,0.6829829968885976
C12orf66,-+,0.15131676588139548,0.24416191031209486,0.3818715641943705,1,0.4883238206241897
C12orf71,--,0.2468520785988023,0.9057893678196134,0.16596834268042351,-1,0.33193668536084703
C12orf73,-+,0.42600569451808984,0.7260714971066089,0.36593333356536073,-1,0.7318666671307215
C12orf74,-+,0.9007670824456954,0.5761409265061727,0.6131218309730507,1,1.1522818530123453
C12orf75,--,0.011747998928797933,0.9949547920809279,0.004669111218037605,-1,0.00933822243607521
C12orf76,--,0.3551532949463914,0.8869163848814622,0.216927929372625,-1,0.43385585874525
C14orf1,++,0.2445858263087148,0.20428091387814495,0.8520763805400864,1,0.4085618277562899
C14orf105,+-,0.1478148136956651,0.6955441906486115,0.19252057740832074,-1,0.3850411548166415
C14orf119,-+,0.5367198772224084,0.41853272175444506,0.7125727566290441,1,0.8370654435088901
C14orf132,++,0.15630543967825253,0.14097316582978817,0.8778519701373904,1,0.28194633165957633
C14orf142,--,0.2393528405210562,0.9555422564808665,0.10672494900885239,-1,0.21344989801770478
C14orf159,++,0.4892462492486509,0.30385455955275603,0.8331276078192311,1,0.6077091191055121
C14orf166,++,0.46291104350954454,0.23447905750658088,0.8861873346286682,1,0.46895811501316176
C14orf169,--,0.3288309017050629,0.8327385173625969,0.25575191050803386,-1,0.5115038210160677
C14orf177,++,0.06932261620484301,0.07317236331405859,0.8955442955475477,1,0.14634472662811718
C14orf178,--,0.12555813601598642,0.885326510383466,0.11794123082099243,-1,0.23588246164198487
C14orf180,+-,0.4310718608773026,0.5195560616091492,0.45500950152098113,-1,0.9100190030419623
C14orf2,+-,0.2606041669359124,0.610859819179043,0.30978492973732896,-1,0.6195698594746579
C14orf28,++,0.2975808463244847,0.26679595612930335,0.7908712452926583,1,0.5335919122586067
C14orf37,++,0.012843473518810405,0.008460953923590808,0.983974132145766,1,0.016921907847181616
C14orf39,++,0.12167133013584129,0.027975832257407397,0.9914463679628609,1,0.05595166451481479
C14orf79,+-,0.03493340500557292,0.7579162023256367,0.058435700757094075,-1,0.11687140151418815
C14orf93,-+,0.6459297064886009,0.5365984122705104,0.5801273902077473,1,1.0731968245410208
C15orf38-AP3S2,++,0.6655238747338268,0.3906075979763726,0.7765262621939459,1,0.7812151959527452
C15orf39,++,0.051939106413905194,0.013821600716009496,0.9951017935668139,1,0.027643201432018993
C15orf40,--,0.09279496448918244,0.9825197196627129,0.03949413056481203,-1,0.07898826112962407
C15orf41,++,0.05123529795731656,0.044442850108394216,0.944988609609346,1,0.08888570021678843
C15orf48,--,0.2839158568858345,0.8028206376843084,0.25305766077637265,-1,0.5061153215527453
C15orf52,+-,0.19439516687994016,0.7075780848963636,0.23024932234455314,-1,0.4604986446891063
