gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
FLRT1,-+----,0.08670124211863145,0.9981800257103257,0.012787510985140992,-1,0.025575021970281983,0.009981178349398278,0.01271959844855122,0.019962356698796556
FLRT2,--++-+,0.0990579329820052,0.36481764550803064,0.3274453009291233,-1,0.6548906018582465,0.28654537158501114,0.28045859000684464,0.5609171800136893
FLRT3,+-++-+,0.02639086015375665,0.3323636938984854,0.14973221362434147,-1,0.29946442724868294,0.11863343409570525,0.12799452429842573,0.2372668681914105
FLT1,--+++-,0.44808987879123197,0.4768431842482187,0.6245045974188584,1,0.9536863684964374,0.42476614191193246,0.41162379512918496,0.8232475902583699
FLT3,+-++-+,0.697009442407503,0.5131973665528822,0.7499018408320138,1,1.0263947331057643,0.45431211498973306,0.43848742371527977,0.8769748474305595
FLT3LG,+---+-,0.041785928000052146,0.15326587916207315,0.6109284889578421,1,0.3065317583241463,0.1218343600273785,0.1308960246392517,0.243668720054757
FLT4,-+-++-,0.21210223279433904,0.20600069438658156,0.7375264710873526,1,0.4120013887731631,0.1703171343828428,0.17247476187760225,0.3406342687656856
FLVCR1,+++-++,0.3414667534619321,0.17612608376543,0.9548054472713237,1,0.35225216753086,0.14219712525667352,0.14914732219243712,0.28439425051334705
FLVCR2,---++-,0.2426803656090719,0.43007995373492375,0.4555705719047981,1,0.8601599074698475,0.38546657540497375,0.37169908173159183,0.7433981634631837
FLYWCH1,++-++-,0.5109255345841784,0.6236926515529487,0.579074465740939,-1,1.158148931481878,0.49324131637483604,0.47553045859000687,0.9510609171800137
FLYWCH2,++-++-,0.19059642304177793,0.2991345661020542,0.4787925331559116,1,0.5982691322041084,0.26220625142596393,0.2553470598300348,0.5106941196600696
FMN1,--+++-,0.5801301639836879,0.721475748403609,0.5338029101665651,-1,1.0676058203331302,0.46751839388581534,0.45185945699292723,0.9037189139858545
FMN2,++++--,0.4013796636787953,0.6849073412290588,0.46945614018360565,-1,0.9389122803672113,0.4190383847601665,0.4048026465890942,0.8096052931781884
FMNL1,++-++-,0.27505964175729636,0.8149111023966481,0.33140941248693995,-1,0.6628188249738799,0.290423772315063,0.2842231348391513,0.5684462696783026
FMNL2,--+---,0.04071835975219004,0.9917179883433738,0.021623784137666677,-1,0.043247568275333353,0.01693948554155022,0.02190280629705681,0.03387897108310044
FMNL3,----++,0.5240597274561708,0.6426331627368972,0.5277747077084306,-1,1.0555494154168612,0.4633548166314949,0.44826602783481634,0.8965320556696327
FMO1,--++-+,0.2553708983099675,0.4239946484257696,0.6429319827295369,1,0.8479892968515392,0.38044718229523156,0.3673643985627103,0.7347287971254206
FMO2,-+-+-+,0.6167833653308707,0.6600815574264003,0.583700309411493,-1,1.167400618822986,0.49472423430103235,0.47718457677389914,0.9543691535477983
FMO3,---++-,0.1768408618731765,0.3508789704875086,0.5212915029287049,1,0.7017579409750172,0.3102327173169062,0.30217304511492615,0.6043460902298523
FMO4,------,0.11015287178804622,0.9908967708729106,0.04126625817823431,-1,0.08253251635646862,0.03057092340158558,0.03998402920374173,0.06114184680317116
FMO5,--+--+,0.10671309970189291,0.9678896607666956,0.07045062819118812,-1,0.14090125638237624,0.052073233331432156,0.0646817248459959,0.10414646666286431
FMOD,+-+++-,0.17662470959636528,0.12792196171829948,0.862357001947429,1,0.25584392343659895,0.09998859228838695,0.10990703245308846,0.1999771845767739
FN1,---++-,0.4005036138862561,0.5291788896546603,0.5521188951904037,1,1.0583577793093206,0.4644079397672827,0.449438202247191,0.898876404494382
FN3K,++-++-,0.23479158604069827,0.6755253622676108,0.3894429264072784,-1,0.7788858528145568,0.34694575942508415,0.33744010951403147,0.6748802190280629
