gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
HOXB4,--+++-,0.12888422757588927,0.8371811359028609,0.07115059688660354,-1,0.14230119377320707,0.09205498203387898,0.09827743554642938,0.18410996406775795
HOXB5,+--+-+,0.04497032871185618,0.7519780931071921,0.14083902084346517,-1,0.28167804168693034,0.17658130382706896,0.16894820898927676,0.3378964179785535
HOXB6,-+-+--,0.0673955972437897,0.4156280224962326,0.37949362611370674,-1,0.7589872522274135,0.3917184737352421,0.3517567875884098,0.7035135751768196
HOXB7,+---+-,0.1293797066653831,0.8560464178274163,0.28778963537741603,-1,0.5755792707548321,0.320139166143843,0.2874743326488706,0.5749486652977412
HOXB8,-+-++-,0.15495301491830873,0.844888315762489,0.30978098451829594,-1,0.6195619690365919,0.3374208635145155,0.30464293862651154,0.6092858772530231
HOXB9,++--++,0.25620976814455537,0.8717652457536105,0.40123698693655774,-1,0.8024739738731155,0.4088290651913534,0.3650467716176135,0.730093543235227
PRAC1,+--+--,0.046976366347551535,0.6541475516032195,0.0798225147280123,-1,0.1596450294560246,0.10369018422403468,0.10700433493041296,0.20738036844806937
PRAC2,--+++-,0.20779585477328655,0.5699091955297755,0.6210460327849119,1,1.139818391059551,0.49800365046771616,0.45006559060058177,0.9001311812011635
HOXB13,+---++,0.11958429777105037,0.5603464803342775,0.3841128190421702,-1,0.7682256380843404,0.39462727428278105,0.35438056125941136,0.7087611225188227
TTLL6,+++-+-,0.06597245564463386,0.3034799488134585,0.8550946423267887,1,0.606959897626917,0.3332762947752681,0.2997205270062169,0.5994410540124337
CALCOCO2,+-+-++,0.22235308421404174,0.5704020402363594,0.7117385309414294,1,1.1408040804727189,0.49840292037417294,0.45023669651514286,0.9004733930302857
ATP5G1,++-++-,0.0448529170808231,0.48042169112013666,0.133514439943702,-1,0.267028879887404,0.16848229053784292,0.16204654346338124,0.3240930869267625
UBE2Z,-+++--,0.10691325165728394,0.26981939603426797,0.7964271984549929,1,0.5396387920685359,0.3051562856490988,0.27376946329778135,0.5475389265955627
SNF8,++-++-,0.16079588159892486,0.8556828138978292,0.3115115384361359,-1,0.6230230768722718,0.3387897108310044,0.3059548254620123,0.6119096509240246
GIP,+++++-,0.1044612577789479,0.0681256077100097,0.8263464066045858,1,0.1362512154200194,0.087782340862423,0.09519192380083272,0.175564681724846
IGF2BP1,----+-,0.2595947634352192,0.8981296020040215,0.2947782330959183,-1,0.5895564661918365,0.32567159071465235,0.2924937257586128,0.5849874515172256
B4GALNT2,--+--+,0.24838610835305105,0.48612260604861895,0.6341432348366138,1,0.9722452120972379,0.4584759297284965,0.41493184281069984,0.8298636856213997
GNGT2,++++++,0.12983223697653878,0.5166650346632818,0.32361302004112,-1,0.64722604008224,0.35076712485028233,0.3145106091718001,0.6290212183436003
ABI3,+++++-,0.02485147763575456,0.058159962385977856,0.6242617113037452,1,0.11631992477195571,0.07688797627195984,0.08538185136599555,0.15377595254391968
PHOSPHO1,++-++-,0.12671697380785232,0.6150051070067454,0.2623814403939035,-1,0.524762880787807,0.2976102207266298,0.2683093771389459,0.5366187542778919
ZNF652,+++---,0.180688179625084,0.20519794730177243,0.9667101963186387,1,0.41039589460354486,0.24252794889345197,0.22363543033137512,0.44727086066275024
PHB,+--++-,0.04510952388481706,0.81261773656735,0.04407646160115214,-1,0.08815292320230428,0.05817601095077853,0.0689596167008898,0.11635202190155707
NGFR,--+---,0.046873811171016584,0.07351485139958688,0.5823018890542914,1,0.14702970279917377,0.09559662331736253,0.10123766611532539,0.19119324663472506
NXPH3,---++-,0.02039799066039824,0.8992273679986127,0.003375917770778191,-1,0.006751835541556382,0.0053613186562482176,0.010894364590463152,0.010722637312496435
