gene_symbol,sex,nAcc_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
MTCO2P24,male,+,0.5608484334663295,0.28042421673316476,0.7195757832668352,1,0.5608484334663295
MTCO2P25,male,-,0.7598144506220403,0.6200927746889798,0.37990722531102017,-1,0.7598144506220403
MTCO2P27,male,+,0.6755293992203583,0.33776469961017913,0.6622353003898209,1,0.6755293992203583
MTCO2P29,male,-,0.9516507751041274,0.5241746124479363,0.4758253875520637,-1,0.9516507751041274
MTCO2P3,male,+,0.7424277290969292,0.3712138645484646,0.6287861354515354,1,0.7424277290969292
MTCO2P30,male,+,0.5729803381339722,0.2864901690669861,0.7135098309330139,1,0.5729803381339722
MTCO2P31,male,+,0.3691692135412853,0.18458460677064265,0.8154153932293573,1,0.3691692135412853
MTCO2P32,male,-,0.8680495736156248,0.5659752131921876,0.4340247868078124,-1,0.8680495736156248
MTCO2P33,male,-,0.8975614269470804,0.5512192865264598,0.4487807134735402,-1,0.8975614269470804
MTCO2P4,male,+,0.7720980561565112,0.3860490280782556,0.6139509719217444,1,0.7720980561565112
MTCO2P5,male,+,0.9823346816649605,0.49116734083248026,0.5088326591675197,1,0.9823346816649605
MTCO2P6,male,-,0.9569164919045992,0.5215417540477004,0.4784582459522996,-1,0.9569164919045992
MTCO2P7,male,-,0.8913293605202168,0.5543353197398916,0.4456646802601084,-1,0.8913293605202168
MTCO2P8,male,+,0.6734163757121981,0.3367081878560991,0.6632918121439009,1,0.6734163757121981
MTCO2P9,male,+,0.9546207848022144,0.4773103924011072,0.5226896075988928,1,0.9546207848022144
MTCO3P1,male,-,0.5356553810810186,0.7321723094594907,0.2678276905405093,-1,0.5356553810810186
MTCO3P10,male,+,0.9678972049519071,0.48394860247595356,0.5160513975240464,1,0.9678972049519071
MTCO3P11,male,-,0.529280852424671,0.7353595737876645,0.2646404262123355,-1,0.529280852424671
MTCO3P12,male,+,0.3132887910045735,0.15664439550228676,0.8433556044977133,1,0.3132887910045735
MTCO3P13,male,+,0.5289503302398106,0.2644751651199053,0.7355248348800947,1,0.5289503302398106
MTCO3P15,male,+,0.01818087580177104,0.00909043790088552,0.9909095620991144,1,0.01818087580177104
MTCO3P16,male,-,0.9327378690925748,0.5336310654537126,0.4663689345462874,-1,0.9327378690925748
MTCO3P17,male,-,0.9565060740704663,0.5217469629647669,0.47825303703523314,-1,0.9565060740704663
MTCO3P18,male,+,0.5150977034352081,0.25754885171760405,0.7424511482823959,1,0.5150977034352081
MTCO3P19,male,+,0.5013274235225824,0.2506637117612912,0.7493362882387088,1,0.5013274235225824
MTCO3P2,male,+,0.8087591402869297,0.4043795701434649,0.5956204298565351,1,0.8087591402869297
MTCO3P20,male,+,0.3798879074912844,0.1899439537456422,0.8100560462543578,1,0.3798879074912844
MTCO3P21,male,+,0.426917745433145,0.2134588727165725,0.7865411272834275,1,0.426917745433145
MTCO3P22,male,+,0.9233563103747269,0.46167815518736344,0.5383218448126366,1,0.9233563103747269
MTCO3P23,male,-,0.2517908599583731,0.8741045700208134,0.12589542997918654,-1,0.2517908599583731
MTCO3P24,male,-,0.451022157660533,0.7744889211697334,0.2255110788302665,-1,0.451022157660533
MTCO3P27,male,-,0.13485525965185594,0.932572370174072,0.06742762982592797,-1,0.13485525965185594
MTCO3P28,male,+,0.3723911501113457,0.18619557505567286,0.8138044249443271,1,0.3723911501113457
MTCO3P29,male,-,0.7979846801228662,0.601007659938567,0.3989923400614331,-1,0.7979846801228662
MTCO3P30,male,-,0.8857731068550847,0.5571134465724576,0.44288655342754235,-1,0.8857731068550847
MTCO3P31,male,+,0.5249539322907156,0.2624769661453578,0.7375230338546421,1,0.5249539322907156
MTCO3P35,male,-,0.33117942063117534,0.8344102896844123,0.16558971031558767,-1,0.33117942063117534
MTCO3P38,male,-,0.7320369539741272,0.6339815230129364,0.3660184769870636,-1,0.7320369539741272
MTCO3P39,male,-,0.23584019216574426,0.8820799039171279,0.11792009608287213,-1,0.23584019216574426
MTCO3P4,male,-,0.7901534482108592,0.6049232758945704,0.3950767241054296,-1,0.7901534482108592
MTCO3P40,male,+,0.729449226811661,0.3647246134058305,0.6352753865941695,1,0.729449226811661
MTCO3P41,male,+,0.9917808610065892,0.4958904305032946,0.5041095694967054,1,0.9917808610065892
