gene_symbol,AnCg_nAcc_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
BORCS6,++-,0.220153982491993,0.2899352013510717,0.5298023730135938,1,0.5798704027021434,0.37069358886607345,0.4904745608031029,0.7413871777321469
BORCS7,++-,0.6748584127308188,0.48348159409481695,0.7806732069701555,1,0.9669631881896339,0.5221309605293178,0.6745379876796714,1
BORCS8,++-,0.07023705149331175,0.36281816908837716,0.22917727409415925,-1,0.4583545481883185,0.43201003878621946,0.2697923796486425,0.539584759297285
BORCS8-MEF2B,--+,0.4160526271715093,0.7178227034621979,0.45739798554162747,-1,0.9147959710832549,0.6983801049509468,0.43965320556696325,0.8793064111339265
BPGM,++-,0.5505341522203375,0.40453708888069084,0.819986430825423,1,0.8090741777613817,0.46184120465434636,0.710415240702715,0.9236824093086927
BPHL,---,0.007500865696366222,0.9699147250997873,0.009843722569315925,-1,0.01968744513863185,0.9279603011635866,0.034451289071412275,0.06890257814282455
BPI,---,0.3421681125450321,0.965205537111285,0.14292613506063181,-1,0.28585227012126363,0.9206593657312343,0.19370294318959616,0.3874058863791923
BPIFA1,--+,0.09393033902304963,0.8052870224045243,0.13761790729456932,-1,0.27523581458913865,0.7648300250969655,0.18908281998631074,0.3781656399726215
BPIFA2,++-,0.0984752187342023,0.5093517732137149,0.292607143555764,-1,0.585214287111528,0.5429500342231348,0.318560346794433,0.637120693588866
BPIFA3,+++,0.14413936280650577,0.08373574292062338,0.9613950490668117,1,0.16747148584124677,0.13985854437599818,0.8887177732146931,0.27971708875199636
BPIFB1,+--,0.25349026925348017,0.8025630842173599,0.2715406254325964,-1,0.5430812508651928,0.7629477526808123,0.3028747433264887,0.6057494866529775
BPIFB2,--+,0.2768729721945113,0.7736744525561413,0.31797348552204446,-1,0.6359469710440889,0.7394478667579284,0.33818161076887976,0.6763632215377595
BPIFB3,-+-,0.08944724469801744,0.9389766280687191,0.03652730358413929,-1,0.07305460716827858,0.8881473876340407,0.07808578599133013,0.15617157198266027
BPIFB4,+++,0.5199253099481451,0.3469415579712056,0.8768185023040287,1,0.6938831159424113,0.41929044033766827,0.7690508783937942,0.8385808806753365
BPIFB6,+-+,0.4941829315683408,0.7124708982870749,0.5172640933499546,-1,1.0345281866999092,0.6943874058863791,0.48100616016427106,0.9620123203285421
BPIFC,---,0.8702511938939878,0.7251473964037353,0.5771888937616694,-1,1.1543777875233387,0.703399498060689,0.5209901893680128,1
BPNT1,++-,0.6643431572780119,0.590423049312274,0.6602195530785454,1,1.180846098624548,0.6051791010723249,0.5803673283139402,1
BPTF,---,0.18193436200940055,0.9027054095904389,0.19202855201095553,-1,0.38405710402191107,0.8506160164271047,0.23859228838694957,0.47718457677389914
BRAF,-++,0.36529416270812864,0.22880778888717826,0.8986910153290725,1,0.4576155777743565,0.3112023728040155,0.7943759981747661,0.622404745608031
BRAP,+++,0.05786665430934947,0.09348862894367295,0.9129993210361389,1,0.1869772578873459,0.1538900296600502,0.8125712981975816,0.3077800593201004
BRAT1,+--,0.3839556516843377,0.604910159956296,0.484152384823816,-1,0.968304769647632,0.6167579283595711,0.4584188911704312,0.9168377823408624
BRCA1,---,0.08219548536300297,0.9945364770382081,0.026348395373707666,-1,0.05269679074741533,0.9753023043577458,0.06257129819758156,0.12514259639516312
BRCA2,---,0.3349532123941708,0.8565453244894937,0.3232965255449445,-1,0.646593051089889,0.8092060232717317,0.34257357973990415,0.6851471594798083
BRD1,---,0.3139943534315931,0.9072850282807438,0.2544796760490917,-1,0.5089593520981834,0.8548939082819986,0.28958475929728494,0.5791695185945699
BRD2,+++,0.07999212339910294,0.036985243217046354,0.9770354862507167,1,0.07397048643409271,0.06776180698151951,0.9236253707506275,0.13552361396303902
BRD3,-+-,0.06587006403521667,0.8355573737404418,0.08794028171525449,-1,0.17588056343050898,0.790497376226329,0.141854893908282,0.283709787816564
BRD4,-+-,0.22795938504301524,0.7915816304407711,0.31500944573104783,-1,0.6300188914620957,0.7539356605065024,0.33567191421400866,0.6713438284280173
BRD7,---,0.20130102312165546,0.9151155066533619,0.19710638497409388,-1,0.39421276994818777,0.8625370750627425,0.24292721879990875,0.4858544375998175
BRD8,+++,0.062384582922271406,0.07784381245135973,0.9433817098354398,1,0.15568762490271945,0.13164499201460186,0.8580310289755875,0.2632899840292037
BRD9,+--,0.12187406776575987,0.326866385389061,0.33015449013026016,1,0.653732770778122,0.40263518138261467,0.34799224275610313,0.6959844855122063
BRDT,+-+,0.5260265110299696,0.6034751784987392,0.6023651375315544,-1,1.2047302750631088,0.6152749258498745,0.5392995665069586,1
BRE,+++,0.11498615180998294,0.018415416275591873,0.9976007343872887,1,0.036830832551183745,0.03479352041980379,0.9876796714579056,0.06958704083960758
BRF1,-+-,0.11675070745966533,0.8123024555273177,0.20700174783671368,-1,0.41400349567342737,0.7704198037873603,0.25159707962582706,0.5031941592516541
BRF2,+++,0.366744666769843,0.22355322995203197,0.9194457018173419,1,0.44710645990406395,0.3060118640200776,0.8212411590234999,0.6120237280401551
BRI3,---,0.056130295458633225,0.9386676971062351,0.07793604156637618,-1,0.15587208313275236,0.8876340406114533,0.13164499201460186,0.2632899840292037
BRI3BP,++-,0.4196472292145974,0.3563962568572621,0.8153877870788898,1,0.7127925137145242,0.42693360711841205,0.7065936573123431,0.8538672142368241
BRICD5,+--,0.02792985283508184,0.8487724407391046,0.043535888911773506,-1,0.08707177782354701,0.8010495094684006,0.0892083048140543,0.1784166096281086
BRINP1,+++,0.23717644550869044,0.09448673225249657,0.973771549530982,1,0.18897346450499314,0.15497376226329,0.9159822039698836,0.30994752452658
BRINP2,+++,0.3455722546338152,0.2436070398156153,0.8962064042007449,1,0.4872140796312306,0.3266027834816336,0.7916951859456993,0.6532055669632671
BRINP3,--+,0.2690967341116964,0.4484210859374036,0.6207119122804751,1,0.8968421718748072,0.4967488021902806,0.5516769336071184,0.9934976043805612
BRIP1,+--,0.30520586900825714,0.8464537046062375,0.2640814453804064,-1,0.5281628907608128,0.7989390828199863,0.2982546201232033,0.5965092402464066
BRIX1,---,0.28772445146349435,0.9715417790140922,0.11867153697162951,-1,0.23734307394325901,0.9306411133926534,0.17242756103125714,0.3448551220625143
BRK1,++-,0.1513820194397552,0.1553763328290141,0.5829762606760188,1,0.3107526656580282,0.23425735797399042,0.5260666210358202,0.46851471594798083
BRMS1,+--,0.3590326373278399,0.598397169116888,0.47945916270898564,-1,0.9589183254179713,0.6115674195756331,0.4552817704768423,0.9105635409536846
BRMS1L,+++,0.22178527440697748,0.11371636264777696,0.972596582143399,1,0.22743272529555392,0.18195300022815422,0.9133584302988821,0.36390600045630844
BROX,-++,0.08553755580421864,0.20816538964489195,0.42565312478859757,1,0.4163307792897839,0.29135295459730776,0.41729409080538443,0.5827059091946155
BRPF1,-++,0.37957830432648726,0.35378507035248974,0.8325869165532328,1,0.7075701407049795,0.4241957563312799,0.7219940679899612,0.8483915126625599
BRPF3,+++,0.35724204028278256,0.3150000651648299,0.8710286750604908,1,0.6300001303296598,0.39305270362765227,0.7626625598904859,0.7861054072553045
BRSK1,++-,0.01880388743739996,0.636524575316295,0.08790201043476319,-1,0.17580402086952637,0.6392311202372803,0.1417408167921515,0.283481633584303
BRSK2,++-,0.07421527269282202,0.4172171313744581,0.25193913123838274,-1,0.5038782624767655,0.47130960529317817,0.2877595254391969,0.5755190508783938
BRWD1,+++,0.0844711040046826,0.03761166312706771,0.9907863799010366,1,0.07522332625413541,0.0690736938170203,0.9637805156285649,0.1381473876340406
BSCL2,+++,0.062142014687792846,0.08034968016780866,0.9256435575056501,1,0.16069936033561733,0.1349532283823865,0.8304814054300708,0.269906456764773
BSDC1,+++,0.17333980559605555,0.15824834278982644,0.9361585643171777,1,0.3164966855796529,0.23693817020305727,0.8474218571754506,0.47387634040611454
BSG,+--,0.12445094354445106,0.3882477725079101,0.23197457177967304,-1,0.4639491435593461,0.45077572438968744,0.2727013461099703,0.5454026922199406
BSN,+++,0.28908679286703703,0.13061446336866206,0.9677744474733403,1,0.2612289267373241,0.20419803787360255,0.9027492584987451,0.4083960757472051
BSND,---,0.38493233004909466,0.8549536412720137,0.3445978133841277,-1,0.6891956267682554,0.8076659822039699,0.35831622176591377,0.7166324435318275
BSPH1,++-,0.12352720011312311,0.14534729310218128,0.9022685160073147,1,0.29069458620436256,0.22342003194159252,0.7987679671457906,0.44684006388318503
BSPRY,+++,0.07776085236429367,0.04679127575377214,0.9684293109023101,1,0.09358255150754428,0.0836185261236596,0.9045174537987679,0.1672370522473192
BST1,---,0.14405701320962505,0.9464992647899031,0.10453324624918424,-1,0.20906649249836848,0.8962468628793064,0.1591375770020534,0.3182751540041068
BST2,---,0.12270426658759268,0.998536507416527,0.013591484976469222,-1,0.027182969952938445,0.9889345197353411,0.04135295459730778,0.08270590919461555
BSX,++-,0.14750870035363278,0.12121362096163264,0.7562216512659611,1,0.24242724192326529,0.19204882500570386,0.656114533424595,0.3840976500114077
BTAF1,--+,0.04775556370952934,0.15226916279224534,0.6509278990741822,1,0.3045383255844907,0.23043577458361852,0.5732375085557837,0.46087154916723705
BTBD1,--+,0.24225848731452873,0.3877413356338122,0.6916917257943223,1,0.7754826712676244,0.4503194159251654,0.6036960985626283,0.9006388318503308
BTBD10,+++,0.17845426410461773,0.11248154617868557,0.9638715545520598,1,0.22496309235737114,0.18029888204426192,0.8948208989276751,0.36059776408852384
BTBD11,-++,0.20193963598719009,0.20609905115896604,0.5991228842699875,1,0.4121981023179321,0.2892995665069587,0.5370180241843486,0.5785991330139174
BTBD16,---,0.013631393879570394,0.9973897785974625,0.005303794663174877,-1,0.010607589326349753,0.9844284736481862,0.023613963039014373,0.04722792607802875
BTBD17,---,0.15053899996258033,0.9720388037145219,0.09536669579649004,-1,0.19073339159298008,0.9313255760894364,0.15001140771161306,0.3000228154232261
BTBD18,--+,0.24114722816531745,0.8506349497445913,0.267580448943286,-1,0.535160897886572,0.8032169746748802,0.30042208532968284,0.6008441706593657
BTBD19,+--,0.06411858367850395,0.846132534898494,0.11948067839894826,-1,0.2389613567978965,0.7988820442619211,0.17328313940223591,0.34656627880447183
BTBD2,++-,0.062004778149296925,0.1569529074551504,0.2856651879994327,1,0.3139058149103008,0.23568332192562172,0.3133698380104951,0.47136664385124344
BTBD3,+-+,0.1891133004375283,0.30725963754379704,0.7118885415994425,1,0.6145192750875941,0.3860369609856263,0.6209217430983345,0.7720739219712526
BTBD6,++-,0.13654590916592121,0.6290032945922338,0.31194133866579576,-1,0.6238826773315915,0.6334131873146247,0.3328770248688113,0.6657540497376226
BTBD7,--+,0.3122939077912116,0.6142607553222789,0.36074362235255575,-1,0.7214872447051115,0.6229180926306183,0.37166324435318276,0.7433264887063655
BTBD8,--+,0.050092311440188546,0.18468705003946,0.4765755132668123,1,0.36937410007892,0.2663130276066621,0.4535135751768195,0.5326260552133242
BTBD9,+++,0.1717318528861344,0.036022483932260006,0.994847211549924,1,0.07204496786452001,0.06656399726214922,0.9767282683093771,0.13312799452429844
BTC,+--,0.26740073864999636,0.7849266367340582,0.20251940641969607,-1,0.40503881283939214,0.747946611909651,0.24766141911932466,0.4953228382386493
BTD,-++,0.03592512033640215,0.46195759457702157,0.15564267507444954,-1,0.3112853501488991,0.5069016655258956,0.20573807894136437,0.41147615788272873
BTF3,++-,0.2224906899839089,0.7066531798595742,0.3635878843424173,-1,0.7271757686848346,0.6901665525895505,0.3734314396532056,0.7468628793064112
BTF3L4,-++,0.186092803184293,0.20116871185934956,0.8175485276339436,1,0.4023374237186991,0.284166096281086,0.7081907369381703,0.568332192562172
BTG1,-++,0.3679913978569662,0.34970819450552104,0.8142058202267063,1,0.6994163890110421,0.4210586356376911,0.7056240018252339,0.8421172712753822
BTG2,++-,0.3152541845497225,0.3750967960155992,0.7899167147744756,1,0.7501935920311984,0.44073693817020304,0.6817248459958932,0.8814738763404061
BTG3,-++,0.1950239380990883,0.5244912458026189,0.4108795465864906,-1,0.8217590931729812,0.5544147843942505,0.4058293406342688,0.8116586812685376
BTG4,+-+,0.012864709269788444,0.04861223824834807,0.7165023424131247,1,0.09722447649669615,0.08732603239790099,0.6239447866757928,0.17465206479580198
BTLA,+-+,0.0897127173428337,0.3685629370834575,0.3076816979120219,-1,0.6153633958240438,0.43623089208304816,0.3296828656171572,0.6593657312343144
BTN1A1,+-+,0.35090821214662116,0.4408326111219002,0.6913494774474436,1,0.8816652222438004,0.4904745608031029,0.6033538672142368,0.9809491216062058
