gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
TUBGCP2,++,0.4099614998603107,0.4362841900932505,0.5373129457969535,1,0.872568380186501,0.4371435090120922,0.5016541181838923,0.8742870180241844
TUBGCP3,+-,0.09134231992467118,0.08366925507131899,0.9126848884932673,1,0.16733851014263798,0.11578827287246178,0.8473077800593201,0.23157654574492356
TUBGCP4,--,0.32707494603542664,0.2890024178867495,0.7783249129638051,1,0.578004835773499,0.31878850102669404,0.7020876112251883,0.6375770020533881
TUBGCP5,--,0.46191213747673,0.37359884883807903,0.7386395491069753,1,0.7471976976761581,0.38837554186630163,0.6652977412731006,0.7767510837326033
TUBGCP6,-+,0.6985815221818918,0.7365359198670598,0.43721965016374065,-1,0.8744393003274813,0.6931325576089437,0.42157198266027834,0.8431439653205567
TUFM,-+,0.28607449654970096,0.9013371455718404,0.1831469078351351,-1,0.3662938156702702,0.8689253935660507,0.19969199178644764,0.3993839835728953
TUFT1,++,0.2560130152852931,0.2584166750923135,0.7565882662515531,1,0.516833350184627,0.29203741729409083,0.6820100387862195,0.5840748345881817
TULP1,++,0.10944883538144594,0.7416601952905651,0.1458525856921005,-1,0.291705171384201,0.6980378736025553,0.16170431211498973,0.32340862422997946
TULP2,+-,0.472043458137943,0.30183921689473076,0.8317036265253444,1,0.6036784337894615,0.32951174994296145,0.7538786219484371,0.6590234998859229
TULP3,+-,0.795137346537009,0.4733709311296266,0.710018555622463,1,0.9467418622592532,0.4679443303673283,0.6407141227469769,0.9358886607346566
TULP4,+-,0.6196939227355285,0.3444062753256966,0.8121440614129034,1,0.6888125506513932,0.3636778462240475,0.7338010495094685,0.727355692448095
TUSC1,++,0.4163181383553637,0.46585553882900704,0.4609694160755755,-1,0.921938832151151,0.4610997033994981,0.44028062970568105,0.8805612594113621
TUSC2,++,0.4254320009909299,0.39536784951006043,0.6682234964811735,1,0.7907356990201209,0.4054871092858773,0.6036960985626283,0.8109742185717546
TUSC3,+-,0.1388294434092221,0.07312508521766603,0.9642758234579626,1,0.14625017043533206,0.10221309605293179,0.9378279717088752,0.20442619210586357
TUSC5,++,0.12448081247206781,0.36909508155251197,0.21290213588479603,-1,0.42580427176959207,0.3848961898243212,0.229409080538444,0.458818161076888
TUT1,+-,0.813909199920757,0.49509024951103725,0.6905479123871322,1,0.9901804990220745,0.48613963039014374,0.6230892083048141,0.9722792607802875
TVP23A,+-,0.2881039976874878,0.15896414069197107,0.9238850100262457,1,0.31792828138394214,0.2011749942961442,0.8638489618982432,0.4023499885922884
TVP23B,--,0.4964197461048079,0.4150407067731493,0.6937273502272457,1,0.8300814135462986,0.42014601870864704,0.6259411362080767,0.8402920374172941
TVP23C,-+,0.18649703924927274,0.9230753364622073,0.12816422483152373,-1,0.25632844966304746,0.8956764772986539,0.14253935660506503,0.28507871321013006
TVP23C-CDRT4,+-,0.2835047109552716,0.24728413431108393,0.8128440456976479,1,0.49456826862216785,0.28262605521332423,0.7346566278804472,0.5652521104266485
TWF1,--,0.19720166494555136,0.2190449519643858,0.7517922155462254,1,0.4380899039287716,0.2580994752452658,0.6770476842345425,0.5161989504905315
TWF2,++,0.5052393955307768,0.6233622972748536,0.4557698756916746,-1,0.9115397513833492,0.5943988135979923,0.4365160848733744,0.8730321697467488
TWIST1,-+,0.13795435547173035,0.9394007752571564,0.09484776193749465,-1,0.1896955238749893,0.9164955509924709,0.10586356376910791,0.21172712753821582
TWISTNB,+-,0.21988628023413073,0.15003976458613685,0.9126215137908437,1,0.3000795291722737,0.19130732375085557,0.8471366643851244,0.38261464750171115
TWSG1,+-,0.33095756701167167,0.23913030697147197,0.8555681478375954,1,0.47826061394294395,0.27566735112936347,0.7768081222906685,0.5513347022587269
TXK,-+,0.5035959224370786,0.7501075352193118,0.3808960463194351,-1,0.7617920926388702,0.7055099247091033,0.3771959844855122,0.7543919689710245
TXLNA,+-,0.5058332691064036,0.3159733457325568,0.8246918292775482,1,0.6319466914651136,0.34034907597535935,0.7472051106548027,0.6806981519507187
TXLNB,+-,0.16465684321004287,0.0481298132697362,0.9837097733379968,1,0.0962596265394724,0.06182979694273329,0.9784964636093999,0.12365959388546657
TXN,-+,0.25678433659510164,0.9553999359642004,0.10912975547808872,-1,0.21825951095617743,0.938911704312115,0.12206251425963952,0.24412502851927903
TXN2,++,0.10365092676077452,0.6760229496108199,0.15147170958470715,-1,0.3029434191694143,0.6389459274469541,0.16655258955053617,0.33310517910107235
TXNDC11,+-,0.050957462731528236,0.03660335108244198,0.9645189227196315,1,0.07320670216488397,0.04357745836185261,0.9382842801733973,0.08715491672370522
TXNDC12,--,0.5848117326591227,0.6837522467642402,0.45409785459124513,-1,0.9081957091824903,0.6463039014373717,0.43537531371206933,0.8707506274241387
TXNDC15,+-,0.1552248127590405,0.046784895747091805,0.9840741741880561,1,0.09356979149418361,0.059833447410449464,0.9792379648642482,0.11966689482089893
TXNDC16,+-,0.04420165308828343,0.020978835017863712,0.9866213038623495,1,0.041957670035727423,0.019678302532511977,0.9836869723933379,0.039356605065023954
TXNDC17,+-,0.3593110887108104,0.2646854204609329,0.8366168672114649,1,0.5293708409218658,0.29757015742642023,0.7584987451517226,0.5951403148528405
TXNDC2,++,0.13867706036443964,0.4735022297443939,0.21907513919780738,-1,0.43815027839561477,0.4682295231576546,0.2348847821127082,0.4697695642254164
TXNDC5,+-,0.1917602308907916,0.07951081097228305,0.9683692765153856,1,0.1590216219445661,0.11008441706593658,0.946840063883185,0.22016883413187316
TXNDC8,+-,0.6704386650555734,0.37972337226494757,0.7859357443442951,1,0.7594467445298951,0.3938512434405658,0.708133698380105,0.7877024868811316
TXNDC9,--,0.4450752154785853,0.4193621009364067,0.6377408267988597,1,0.8387242018728134,0.42362537075062745,0.5806525211042665,0.8472507415012549
TXNIP,++,0.5602742682268779,0.6390181929433731,0.471906981662408,-1,0.943813963324816,0.6076317590691307,0.44883641341546887,0.8976728268309377
TXNL1,+-,0.25131501938995665,0.1664389536028159,0.9070102070945679,1,0.3328779072056318,0.20824777549623547,0.839151266255989,0.41649555099247093
TXNL4A,++,0.3426059723662531,0.43743928893044176,0.41522088773259397,-1,0.8304417754651879,0.4378279717088752,0.40354779831165866,0.8070955966233173
TXNL4B,--,0.051784072454051804,0.07648282940194753,0.7871931384664372,1,0.15296565880389507,0.1055213324207164,0.7091603924252795,0.2110426648414328
TXNRD1,+-,0.0080803260981205,0.010282694361559958,0.9353580163263555,1,0.020565388723119915,0.005589778690394707,0.8839265343372119,0.011179557380789414
TXNRD2,-+,0.21446057345961245,0.9663509219857352,0.0858626492884045,-1,0.171725298576809,0.9536846908510153,0.09656627880447183,0.19313255760894366
TXNRD3,++,0.26355724460122754,0.2879324534684101,0.6910983401905901,1,0.5758649069368202,0.3175336527492585,0.6236595938854665,0.635067305498517
TXNRD3NB,+-,0.15613051147486542,0.07967768376525676,0.9628306029467842,1,0.15935536753051352,0.11025553274013233,0.9354893908281998,0.22051106548026467
TYK2,-+,0.5366850287776233,0.8458459995070047,0.29538863347913913,-1,0.5907772669582783,0.8050422085329683,0.3035021674652065,0.607004334930413
TYMP,++,0.22633037225880573,0.27909698885276374,0.6222942727843361,1,0.5581939777055275,0.3102897558749715,0.5691877709331508,0.620579511749943
TYMS,-+,0.1812865569948987,0.9248972521923801,0.12456104207353057,-1,0.24912208414706113,0.8977869039470682,0.13837554186630163,0.27675108373260326
TYR,++,0.7122101928077639,0.6213767555951695,0.5341106332973192,-1,1.0682212665946385,0.5930298882044261,0.4985169974903034,0.9970339949806069
