gene_symbol,AnCg_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TBXA2R,--,0.5304593001582809,0.8315586344293553,0.31229797997333203,-1,0.6245959599466641
TBXAS1,-+,0.5196640492191127,0.6620193362725073,0.4426217974059778,-1,0.8852435948119556
TC2N,+-,0.25958031561330264,0.4585516234768866,0.3427512387278667,-1,0.68550247745573345
TCAF1,++,0.49445409175378463,0.325600023989935,0.8128359846596473,1,0.65120004797987
TCAF2,-+,0.2912734857133134,0.7785860651634502,0.26969730716540796,-1,0.5393946143308159
TCAIM,++,0.6855098609923624,0.38637335309414056,0.781054410935307,1,0.7727467061882811
TCAP,--,0.09887599168018799,0.983542397858657,0.03960952497855638,-1,0.07921904995711276
TCEA1,--,0.5348218842399473,0.74276166423793,0.3963417938767049,-1,0.7926835877534097
TCEA2,+-,0.30384307836374363,0.3819891154906173,0.4498292067026118,1,0.7639782309812346
TCEA3,++,0.48388090179468934,0.23773527267704583,0.8847129197817962,1,0.47547054535409167
TCEANC2,--,0.24210763366518512,0.9224525307858381,0.14854739566729636,-1,0.2970947913345927
TCEB1,++,0.28694177043660823,0.11268387345728398,0.9547196458264512,1,0.22536774691456796
TCEB2,+-,0.5455136532248305,0.5421769744759855,0.510371186899849,-1,1.020742373799698
TCEB3,--,0.2792570432898572,0.9438065464433303,0.13029822576226682,-1,0.26059645152453365
TCEB3B,--,0.14969669911919228,0.9576655864083293,0.08345826136681896,-1,0.1669165227336379
TCERG1,-+,0.42938016604702645,0.6887352160961405,0.38745107172430426,-1,0.7749021434486085
TCERG1L,+-,0.18476765129365444,0.2868685829549028,0.33681401607463995,1,0.5737371659098056
TCF12,--,0.3933568063092301,0.859428125515076,0.25507128738226936,-1,0.5101425747645387
TCF15,--,0.34556256479128034,0.9105998273434703,0.18689485649766538,-1,0.37378971299533076
TCF19,--,0.40501067392860435,0.7821766595484065,0.3221143302116739,-1,0.6442286604233478
TCF20,++,0.5022797740087603,0.32523370541654767,0.814982854968534,1,0.6504674108330953
TCF21,+-,0.60918480009715,0.704340382484466,0.4470647766645711,-1,0.8941295533291422
TCF23,--,0.676113263245561,0.7345491523747614,0.4360763822801449,-1,0.8721527645602898
TCF24,--,0.2720883135175508,0.9546143009165662,0.11191314743777452,-1,0.22382629487554903
TCF25,+-,0.3083335272622826,0.3058719692726718,0.7215824262162918,1,0.6117439385453436
TCF3,--,0.33367197664160553,0.9192296025642548,0.1734914376797717,-1,0.3469828753595434
TCF4,-+,0.35242400044961086,0.322664221069709,0.7394592284216186,1,0.645328442139418
TCF7,--,0.1355168802918768,0.8675753115739123,0.1320667291998312,-1,0.2641334583996624
TCF7L1,--,0.4145146367216934,0.9071883397395374,0.1998939826665693,-1,0.3997879653331386
