gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLC25A42,+-,0.2600967731518822,0.3436793758812177,0.45599214999724075,1,0.6873587517624354
SLC25A43,+-,0.7730793580122206,0.6562937135914775,0.5219834680806936,-1,1.0439669361613872
SLC25A44,+-,0.16953002222611657,0.5394906412759422,0.2432465092836324,-1,0.4864930185672648
SLC25A45,-+,0.009713183661828516,0.026294877502541506,0.4672424298574973,1,0.05258975500508301
SLC25A46,+-,0.03920051287424616,0.7265405252180532,0.06695783970488335,-1,0.1339156794097667
SLC25A47,-+,0.5066783043091836,0.5362882915981708,0.49276545419800616,-1,0.9855309083960123
SLC25A47P1,+-,0.01599609994884981,0.6659525113361895,0.03436209411846307,-1,0.06872418823692614
SLC25A48,-+,0.07282096672505456,0.5052934654212012,0.13251028104285204,-1,0.26502056208570407
SLC25A5,--,0.821421803997132,0.660404550110345,0.5252216424202484,-1,1.0504432848404968
SLC25A51,+-,0.5556534773017496,0.45270101623702164,0.6695394128665058,1,0.9054020324740433
SLC25A51P1,-+,0.5945161690999547,0.5300067253016026,0.54992701350497,1,1.0600134506032053
SLC25A51P2,--,0.8782751690135608,0.6390693655418644,0.550494794883003,-1,1.100989589766006
SLC25A51P3,-+,0.7252495193173525,0.5258445228276679,0.6383395960590887,1,1.0516890456553358
SLC25A52,-+,0.22403897371734915,0.6818563036827742,0.2613228231141691,-1,0.5226456462283382
SLC25A53,+-,0.2628686512858632,0.5909107195932032,0.3167744678819448,-1,0.6335489357638896
SLC25A5P1,-+,0.8223020832065312,0.6430995204469486,0.5407887776089656,-1,1.0815775552179312
SLC25A5P2,-+,0.05502036093005151,0.1107995712050751,0.43399317445815855,1,0.2215991424101502
SLC25A5P3,--,0.2143628118231577,0.9203491911795524,0.14125178939290514,-1,0.2825035787858103
SLC25A5P4,++,0.09464043376693092,0.07006652366155658,0.9453353339266904,1,0.14013304732311316
SLC25A5P5,++,0.7457434146664461,0.47254919567645215,0.7067480831992954,1,0.9450983913529043
SLC25A5P6,-+,0.033894839868404095,0.20114849252208492,0.08248333082238005,-1,0.1649666616447601
SLC25A5P7,--,0.2956751226860459,0.8477602768257915,0.2310422755336579,-1,0.4620845510673158
SLC25A5P8,-+,0.10090770704656024,0.13914113572327894,0.7315155336540367,1,0.27828227144655787
SLC25A5P9,++,0.22213288217228289,0.16720820463569938,0.8918788289746572,1,0.33441640927139876
SLC25A6,++,0.2386894567477388,0.08224196008613763,0.9692399781717091,1,0.16448392017227526
SLC25A6P1,--,0.5611073591256517,0.8018652131685264,0.34985850223834875,-1,0.6997170044766975
SLC25A6P2,-+,0.08555168007795004,0.43020477025635706,0.15625414485041797,-1,0.31250828970083594
SLC25A6P3,++,0.6022273012327195,0.4183546880573684,0.7381485211244077,1,0.8367093761147368
SLC25A6P4,-+,0.12224881850766474,0.44998380651975184,0.20224289551530314,-1,0.4044857910306063
SLC25A6P5,+-,0.4196628483375321,0.7610320579017668,0.3420695354901311,-1,0.6841390709802622
SLC25A6P6,-+,0.23572356250239698,0.27927461141625487,0.6509640454575707,1,0.5585492228325097
SLC26A1,+-,0.6379851733534462,0.5395121744209722,0.5683942537895887,1,1.0790243488419444
SLC26A10,-+,0.05507729485337726,0.12323662580723609,0.14063685679871388,1,0.24647325161447217
SLC26A11,+-,0.6803238803543198,0.6362852023669615,0.5152044873908475,-1,1.030408974781695
SLC26A2,++,0.0707730081028615,0.04737862570430979,0.9635019183342797,1,0.09475725140861958
SLC26A3,+-,0.853649008981878,0.6059161337340166,0.5761737702509546,-1,1.1523475405019092
SLC26A4,-+,0.10961792991607504,0.1738275363794147,0.5651383336345469,1,0.3476550727588294
SLC26A5,++,0.14900572878625648,0.15302107622915753,0.838232093023699,1,0.30604215245831506
SLC26A6,-+,0.1444764505438938,0.4531433113237318,0.22819408637422575,-1,0.4563881727484515
SLC26A7,++,0.3144104661433844,0.24057858175973101,0.8454714671852306,1,0.48115716351946203
SLC26A8,++,0.631061248778827,0.4274897806419571,0.7349991534962065,1,0.8549795612839142
SLC26A9,--,0.3365943250749622,0.8708800512067203,0.22777668778536111,-1,0.45555337557072223
SLC27A1,-+,0.08686112841141355,0.5385170297704341,0.14853882474143765,-1,0.2970776494828753
SLC27A2,+-,0.003169608443358047,0.5719867152936248,0.009374162964080097,-1,0.018748325928160194
SLC27A3,++,0.17344763850763034,0.1552411153036477,0.869968348879487,1,0.3104822306072954
SLC27A4,++,0.7113348627238588,0.4250063143740352,0.7492658712841558,1,0.8500126287480704
SLC27A5,-+,0.09067252133543727,0.16420298728779986,0.4191404139700113,1,0.3284059745755997
SLC27A6,-+,0.011202421087256779,0.7815254837257992,0.02189083419128859,-1,0.04378166838257718
SLC28A1,++,0.08969482255908125,0.07706009577842443,0.9258114030098102,1,0.15412019155684886
SLC28A2,-+,0.35751122836116145,0.38758918691412786,0.5840418177294813,1,0.7751783738282557
SLC28A3,++,0.5436465176104808,0.3765878745198385,0.7701466896485533,1,0.753175749039677
SLC29A1,+-,0.11708982288612628,0.15138122445786828,0.7507546177004858,1,0.30276244891573656
SLC29A2,++,0.4522874501688944,0.2043572767309937,0.9052184370910041,1,0.4087145534619874
SLC29A3,-+,0.7708508430563652,0.5329900919538142,0.6421839558601504,1,1.0659801839076284
SLC29A4,-+,0.29070256222135643,0.7398018618058586,0.2873202933361717,-1,0.5746405866723434
SLC29A4P1,--,0.19898273849289289,0.8376862071576676,0.18653155933789045,-1,0.3730631186757809
SLC29A4P2,++,0.1927462068926638,0.15356079864355737,0.8915392184929314,1,0.30712159728711474
SLC2A1,++,0.6024984723971842,0.43306472369927096,0.7202197806070361,1,0.8661294473985419
SLC2A10,+-,0.4384884137483183,0.4075497715005486,0.6564186769343444,1,0.8150995430010972
SLC2A11,++,0.3392053779937857,0.23820639477279756,0.8601107104595997,1,0.47641278954559513
SLC2A12,+-,0.07427477932778401,0.6695863214093454,0.11830814803587363,-1,0.23661629607174725
SLC2A13,+-,0.057954052826580595,0.5388450643960271,0.10858682971963943,-1,0.21717365943927885
SLC2A13P1,+-,0.45543579998931794,0.6813662616904819,0.4037305060926489,-1,0.8074610121852978
SLC2A14,-+,0.6103352461143283,0.5014249459241126,0.6206858120838408,1,1.0028498918482252
SLC2A2,-+,0.5160396766610486,0.5065792648604923,0.5118110931073986,1,1.0131585297209846
SLC2A3,+-,0.07467363686476675,0.416059186050589,0.1417694922527087,-1,0.2835389845054174
SLC2A3P1,+-,0.07331853932093796,0.13710041073554602,0.45447760876022075,1,0.27420082147109204
SLC2A3P2,++,0.35363184019491845,0.1959419842424188,0.904621477025194,1,0.3918839684848376
SLC2A3P4,-+,0.48777786595409156,0.5837817499392,0.4644330391743682,-1,0.9288660783487364
SLC2A4,-+,0.21106040165959633,0.28405519107335153,0.5372341280872281,1,0.5681103821467031
SLC2A4RG,-+,0.23325783882076254,0.35590015693882376,0.33466111556562195,-1,0.6693222311312439
SLC2A5,++,0.2556305218655726,0.18677089988646453,0.8848216846960166,1,0.37354179977292906
SLC2A6,++,0.04261844175124857,0.05484009166042569,0.8674099602553276,1,0.10968018332085137
SLC2A7,-+,0.13210820430098713,0.17254346293924178,0.7191815102611284,1,0.34508692587848355
SLC2A8,++,0.411984119802154,0.19745488566455058,0.9086627190253169,1,0.39490977132910116
SLC2A9,-+,0.4856203899189946,0.47958459898251116,0.5412203756383687,1,0.9591691979650223
SLC2AXP1,++,0.31369212712007016,0.2456773451096823,0.8379670578209029,1,0.4913546902193646
SLC30A1,+-,0.23828090677250333,0.5870071403743333,0.29760834118315965,-1,0.5952166823663193
SLC30A10,--,0.1706004154356789,0.926174228376783,0.11906812242315944,-1,0.23813624484631887
SLC30A2,-+,0.24257917269728324,0.2471906275125138,0.7626108749459815,1,0.4943812550250276
SLC30A3,-+,0.1298949244301441,0.20930677558472774,0.4693894230187019,1,0.4186135511694555
SLC30A4,+-,0.27948026337136944,0.29778144315916294,0.6945840646769988,1,0.5955628863183259
SLC30A5,--,0.1244981426119629,0.8531816466919437,0.129602330571034,-1,0.259204661142068
SLC30A6,--,0.14054367839142037,0.879555891098073,0.13027795874042505,-1,0.2605559174808501
SLC30A7,+-,0.37088556545580376,0.7697512307667831,0.3152434748858874,-1,0.6304869497717748
SLC30A8,-+,0.25356762428147345,0.7602603124897809,0.2553212335129012,-1,0.5106424670258024
SLC30A9,+-,0.08044232269818873,0.4947665296073387,0.14395750131413534,-1,0.2879150026282707
SLC31A1,+-,0.6409479003577612,0.517723309020057,0.6114696851010455,1,1.035446618040114
SLC31A1P1,+-,0.1895743316071601,0.26739241027247124,0.515207630305822,1,0.5347848205449425
SLC31A2,-+,0.07430003924862758,0.7980036047236069,0.09950614477846285,-1,0.1990122895569257
SLC32A1,+-,0.3280459546652461,0.4671759310092726,0.39750000035520133,-1,0.7950000007104027
SLC33A1,--,0.5710617073198891,0.8232847911244662,0.32686619757065133,-1,0.6537323951413027
SLC34A1,++,0.32685616898852143,0.2467985708519247,0.8438387829201917,1,0.4935971417038494
SLC34A2,++,0.4193041710876769,0.3160278696597606,0.7982237721359629,1,0.6320557393195212
SLC34A3,--,0.5189805056998735,0.7594002634244972,0.3786867212098201,-1,0.7573734424196402
SLC35A1,+-,0.6642059419145343,0.6994246232024993,0.4648303389920035,-1,0.929660677984007
SLC35A2,+-,0.598118286631065,0.5062379616061958,0.6029465204181655,1,1.0124759232123917
SLC35A3,++,0.558705146984432,0.40701170626270045,0.7380956000436114,1,0.8140234125254009
SLC35A4,+-,0.4886442007114207,0.4643707905023958,0.5850358511798159,1,0.9287415810047916
SLC35A5,+-,0.1327889650410935,0.6344547519854148,0.18945851735344238,-1,0.37891703470688476
SLC35B1,++,0.6527369500979421,0.40451475646814394,0.7626766137424175,1,0.8090295129362879
SLC35B2,-+,0.7151800999511045,0.5794015212611723,0.5609274919375556,-1,1.1218549838751113
SLC35B3,+-,0.6184527547272318,0.701022907367451,0.4521170355315507,-1,0.9042340710631014
SLC35B4,+-,0.1567240971547667,0.5644016009747226,0.22602598875635135,-1,0.4520519775127027
SLC35C1,+-,0.4877255297754002,0.42992604787987576,0.6594927374558168,1,0.8598520957597515
SLC35C2,++,0.2750577285204506,0.2119465687555173,0.862066659530573,1,0.4238931375110346
SLC35D1,+-,0.00743707629952603,0.7312641907005207,0.01664876261836679,-1,0.03329752523673358
SLC35D2,-+,0.4412389882545398,0.6021859901737208,0.4320945082909416,-1,0.8641890165818832
SLC35D3,+-,0.5276357390847941,0.7308100978690535,0.40281870669696157,-1,0.8056374133939231
SLC35E1,++,0.6625009846722216,0.3602177972324936,0.8011025262671128,1,0.7204355944649872
SLC35E1P1,+-,0.23421155694602636,0.31058248414223244,0.5091873706492936,1,0.6211649682844649
SLC35E2,-+,0.4348031525369243,0.7112199309598474,0.37824658793580795,-1,0.7564931758716159
SLC35E2B,--,0.3136636183714445,0.9211225554920913,0.16757437250138632,-1,0.33514874500277264
SLC35E3,-+,0.26749802521686983,0.32007591063255464,0.5923261610347937,1,0.6401518212651093
SLC35E4,++,0.33811797727501386,0.22115800145134457,0.8783834644847281,1,0.44231600290268913
SLC35F1,+-,0.021799148409353805,0.6764246296607966,0.04396016700835623,-1,0.08792033401671245
SLC35F2,++,0.29618442614175705,0.1373081677809147,0.9406402642649749,1,0.2746163355618294
SLC35F3,+-,0.17543751668520827,0.2573914161878099,0.48764784421601953,1,0.5147828323756198
SLC35F4,+-,0.16503314025692023,0.6708054389607271,0.21396889622427398,-1,0.42793779244854796
SLC35F5,+-,0.03045651925173073,0.663350220269851,0.05862132197328929,-1,0.11724264394657859
SLC35F6,+-,0.4866812598059035,0.40452603269883464,0.7047798196101275,1,0.8090520653976693
SLC35G1,++,0.10469499176878527,0.043525442754379765,0.9815904449736996,1,0.08705088550875953
SLC35G2,--,0.4475304241088771,0.7768350329790257,0.34200874602419107,-1,0.6840174920483821
SLC35G3,+-,0.6241958811055617,0.5129682471337145,0.6091444220596692,1,1.025936494267429
SLC35G4,-+,0.6060589338816049,0.4901196496516664,0.6377185876696121,1,0.9802392993033328
SLC35G5,-+,0.084919130158216935,0.1502440797481469,0.49250815276823623,1,0.3004881594962938
SLC35G6,--,0.03572205103017439,0.9887911281433497,0.016449569014216913,-1,0.032899138028433826
SLC36A1,--,0.652617516292463,0.7187351790865885,0.44617276879258466,-1,0.8923455375851693
SLC36A2,-+,0.11798471087302138,0.20067777424164543,0.4126747006115139,1,0.40135554848329086
SLC36A3,-+,0.038790865183681696,0.07800160013549308,0.5563591589643531,1,0.15600320027098616
SLC36A4,+-,0.3055621889101624,0.3727790466334507,0.49901661151006793,1,0.7455580932669014
SLC37A1,+-,0.14485251523886036,0.15889289560356185,0.8125515248904409,1,0.3177857912071237
SLC37A2,-+,0.07525385337273278,0.14382898294954083,0.3980256592163641,1,0.28765796589908166
SLC37A3,++,0.7077878013359499,0.40498029440909733,0.7664787235171444,1,0.8099605888181947
SLC37A4,-+,0.39021371316246756,0.625209146602321,0.39389134977383605,-1,0.7877826995476721
SLC38A1,+-,0.14588731137680538,0.4571386892762686,0.2293253831991367,-1,0.4586507663982734
SLC38A10,-+,0.44738441554216735,0.49394619944033274,0.47288389722666135,-1,0.9457677944533227
SLC38A11,-+,0.1485126651887878,0.17499857109174113,0.7689862640849046,1,0.34999714218348227
SLC38A2,--,0.22284747394785123,0.9404023450891259,0.12361800495055218,-1,0.24723600990110436
SLC38A3,-+,0.25686687022647364,0.46578571910813804,0.3390118506282078,-1,0.6780237012564156
SLC38A4,++,0.11021674385858987,0.07016941654729934,0.9562510850279394,1,0.1403388330945987
SLC38A5,-+,0.039239667505286215,0.08776098224600475,0.3583831900454615,1,0.1755219644920095
SLC38A6,++,0.16380822508901735,0.1670869521385401,0.8289939289679416,1,0.3341739042770802
SLC38A7,-+,0.346285348115149,0.33462437291434616,0.707018280093345,1,0.6692487458286923
SLC38A8,++,0.17925384986935392,0.14527603677306383,0.8937813592380675,1,0.29055207354612766
SLC38A9,-+,0.5300756715105346,0.48468325733641404,0.585675286710279,1,0.9693665146728281
SLC39A1,-+,0.667515380723801,0.5051183487763801,0.6458436263162598,1,1.0102366975527601
SLC39A10,+-,0.11890058649841032,0.4350191738661336,0.19964893974725026,-1,0.3992978794945005
SLC39A11,-+,0.4482581659426839,0.6316442896918506,0.4236925786710951,-1,0.8473851573421902
SLC39A12,+-,0.3204127135164727,0.2826866413225842,0.7835970324443617,1,0.5653732826451684
SLC39A13,-+,0.25697840101994496,0.31065846850532075,0.5964530222121881,1,0.6213169370106415
SLC39A14,+-,0.27315672351781,0.6121581885987335,0.31914793194023366,-1,0.6382958638804673
SLC39A2,-+,0.014341208515592946,0.03493903135961187,0.5367381984345829,1,0.06987806271922374
SLC39A3,++,0.17052154473789655,0.09161231542641837,0.9559109243184024,1,0.18322463085283675
SLC39A4,++,0.06768983496666946,0.06980287998726845,0.9027591665802202,1,0.1396057599745369
SLC39A5,-+,0.7584640989468726,0.5904900302586678,0.5668028147827412,-1,1.1336056295654824
SLC39A6,--,0.23979991349772423,0.8257873639683495,0.2165555687522431,-1,0.4331111375044862
SLC39A7,+-,0.8078410377555534,0.5290552791289412,0.6542925080559295,1,1.0581105582578825
SLC39A8,-+,0.3083133055550361,0.5076892309453297,0.37292903730160554,-1,0.7458580746032111
SLC39A9,+-,0.03850585340733066,0.7738956605399896,0.061691429749891266,-1,0.12338285949978253
SLC3A1,-+,0.11123450497355086,0.5733955666643042,0.17468549836378477,-1,0.34937099672756955
SLC3A2,-+,0.2338321698518537,0.411992822740807,0.3270246224179905,-1,0.654049244835981
SLC40A1,--,0.3410780801428521,0.8841732106985893,0.21622476960574669,-1,0.43244953921149337
SLC41A1,+-,0.3447655057681672,0.5638731098313283,0.3850602444574185,-1,0.770120488914837
SLC41A2,+-,0.01770626700099322,0.6671288083285921,0.03735517699285349,-1,0.07471035398570698
SLC41A3,+-,0.42679035754685624,0.4541157655377978,0.513785311278974,1,0.9082315310755956
SLC43A1,-+,0.6034815824632134,0.5595011020102127,0.529611785490904,-1,1.059223570981808
SLC43A2,++,0.08370101445871661,0.07024849721708472,0.9327083579222007,1,0.14049699443416944
SLC43A3,++,0.1356394242680792,0.08955406264226265,0.9450506292956116,1,0.1791081252845253
SLC44A1,--,0.13973092343783236,0.8635720476500761,0.13658897473879814,-1,0.27317794947759627
SLC44A2,-+,0.4001022539054877,0.45182398641522514,0.45900986481229417,1,0.9036479728304503
