gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SMPD3,--+-,0.4213210889831732,0.7924961034794875,0.3210400604223585,-1,0.642080120844717,0.27530941652883134,0.28473648186173856,0.5506188330576627
SMPD4,+++-,0.5714271230058834,0.7181882070409245,0.42582366345588846,-1,0.8516473269117769,0.37899960075286604,0.38033310517910107,0.7579992015057321
SMPDL3A,-+++,0.03075605983079119,0.042031438731347286,0.8681119333231255,1,0.08406287746269457,0.023899155829340633,0.041179490104374605,0.047798311658681265
SMPDL3B,+-++,0.9254582962417968,0.5495920045256159,0.6421449494432804,1,1.0991840090512317,0.4808920830481405,0.4778417840643358,0.9556835681286716
SMR3A,-++-,0.12464662892244419,0.16473053701262755,0.7222179682008496,1,0.3294610740252551,0.12599817476614192,0.14287343865852964,0.25199634953228384
SMR3B,++--,0.5404993810983578,0.8654283280380921,0.268204330287279,-1,0.536408660574558,0.22323618319739919,0.23528405201916497,0.44647236639479837
SMTN,++--,0.4709316932377151,0.44214474295766776,0.6161825953335496,1,0.8842894859153355,0.39345197353410905,0.3951976273313181,0.7869039470682181
SMTNL1,+-++,0.0068352931100107575,0.008519591047176875,0.9418613173020556,1,0.01703918209435375,0.004449007529089665,0.009011578166885302,0.00889801505817933
SMTNL2,++++,0.17493401441747047,0.16502072061782513,0.8515578828743944,1,0.33004144123565027,0.12622632899840291,0.14321565048765186,0.25245265799680583
SMU1,-+--,0.4660394137197943,0.7922674859350468,0.336233367999069,-1,0.672466735998138,0.2911081959733075,0.29745608031028975,0.582216391946615
SMUG1,+-+-,0.5136016190905008,0.5435220351267832,0.4936987953878398,-1,0.9873975907756796,0.4390007414589631,0.4383983572895277,0.8767967145790554
SMURF1,----,0.4208441880755853,0.8802727738671268,0.23770447356850857,-1,0.47540894713701715,0.1939200365025951,0.20716404289299567,0.3878400730051902
SMURF2,++--,0.5752580330403348,0.38350333075174087,0.7705968302134714,1,0.7670066615034817,0.3378964179785535,0.3409000171105915,0.675792835957107
SMYD1,----,0.35964955721618064,0.9277386820174294,0.16375472974642052,-1,0.32750945949284105,0.12485028232475903,0.1419689710244125,0.24970056464951806
SMYD2,+++-,0.25740410717850565,0.26009817513251804,0.7546852701381286,1,0.5201963502650361,0.21526351813826147,0.22762790167113442,0.43052703627652295
SMYD3,+++-,0.49413632153598763,0.27473445833934346,0.8586695337040496,1,0.5494689166786869,0.22980835044490075,0.24040380995836422,0.4596167008898015
SMYD4,-+-+,0.27315191694704966,0.27252901151781433,0.7489368784580454,1,0.5450580230356287,0.2272416153319644,0.2388068214224605,0.4544832306639288
SMYD5,+++-,0.11477353298451755,0.1433517582229375,0.7766444078601724,1,0.286703516445875,0.10791695185945699,0.12473621171505161,0.21583390371891398
SNAI1,+++-,0.43599616610852565,0.29634836892856975,0.8281958171736976,1,0.5926967378571395,0.2526237736710016,0.2615639080590886,0.5052475473420032
SNAI2,---+,0.43333884614969187,0.8731450319720819,0.2484389991334993,-1,0.4968779982669986,0.20401528546170078,0.2164042892995665,0.40803057092340156
SNAI3,+---,0.3233399576226501,0.9306358248631537,0.15579752723626122,-1,0.31159505447252245,0.11886157531512007,0.1347250741501255,0.23772315063024013
SNAP23,-+--,0.23953071823603778,0.9248767053513938,0.1452762829702147,-1,0.2905525659404294,0.10950778531911252,0.1261122518822724,0.21901557063822505
SNAP25,+++-,0.1145874779687406,0.16126753416963127,0.6874321160998587,1,0.32253506833926254,0.12297513118868356,0.13962242628186847,0.2459502623773671
SNAP29,-+--,0.4200694805568419,0.8894223050521751,0.22583814288797302,-1,0.45167628577594604,0.18262704614156164,0.19655487109285877,0.3652540922831233
SNAP47,++++,0.09111143441412105,0.05849465020901932,0.960910969136133,1,0.11698930041803864,0.03707506274241387,0.055381281012947016,0.07415012548482774
SNAP91,++++,0.3331260096325973,0.23597966367131254,0.8602740916111515,1,0.4719593273426251,0.19239105635409537,0.20549820338789712,0.38478211270819074
SNAPC1,++--,0.8479741463391368,0.611368232441391,0.5709424463691645,-1,1.141884892738329,0.49238578680203043,0.49041752224503765,0.9808350444900753
SNAPC2,+-+-,0.42211462373847375,0.49908904361407336,0.4555194866891266,-1,0.9110389733782532,0.4044373467176182,0.4079397672826831,0.8088746934352364
SNAPC3,-+++,0.36199400959381,0.18617041828365016,0.9130011900804161,1,0.3723408365673003,0.14453570613734884,0.163063936576741,0.2890714122746977
SNAPC4,+-+-,0.5261062936329912,0.6314291456231341,0.46140032641179257,-1,0.9228006528235851,0.40979866537386644,0.41261692904403374,0.8195973307477329
SNAPC5,+-+-,0.1825273616128173,0.1549593925807241,0.8802452894468035,1,0.3099187851614482,0.11789869952087612,0.13386186049164434,0.23579739904175223
SNAPIN,--++,0.57123751652137,0.3317924943806799,0.8192114044315991,1,0.6635849887613599,0.2869039470682181,0.2931044316431871,0.5738078941364362
SNCA,++++,0.28893870959920764,0.1983916205978091,0.8859637585883079,1,0.3967832411956182,0.15560118640200776,0.17361546797467634,0.3112023728040155
SNCAIP,----,0.23511450870210937,0.9591251960595436,0.10044976794862356,-1,0.20089953589724713,0.07015342497005647,0.08880903490759753,0.14030684994011294
SNCB,+-+-,0.0826014900821684,0.15875479434174017,0.33355894547939546,1,0.31750958868348034,0.12063655030800821,0.13791136713625735,0.24127310061601642
SNCG,+-+-,0.05587292490118385,0.10557333402560184,0.5379781262629035,1,0.2111466680512037,0.0743212411590235,0.09359493526492899,0.148642482318047
SND1,+++-,0.10577762693219046,0.1645204939329696,0.6024228162905713,1,0.3290409878659392,0.1255418663016199,0.14275936804882222,0.2510837326032398
SNED1,--++,0.3969715650620531,0.8367982207345277,0.2772112341173304,-1,0.5544224682346608,0.23201962014486968,0.2430983344741045,0.46403924028973936
SNF8,+-+-,0.9082773279602843,0.6202391817914684,0.5703492618905577,-1,1.1406985237811154,0.49221468088746934,0.49007529089664614,0.9801505817932923
