gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ARMC2,+--+,0.15653894823384082,0.8050706429647666,0.3353250813040774,-1,0.6706501626081548,0.3332572862601951,0.3225530458590007,0.6451060917180014
ARMC3,-+-+,0.23487673810164816,0.4877920031088409,0.6516181355155085,1,0.9755840062176818,0.4480378736025553,0.4352934466434723,0.8705868932869446
ARMC4,-+++,0.28013265576885626,0.6600067294483382,0.44102245699629716,-1,0.8820449139925943,0.41675697256601835,0.404745608031029,0.809491216062058
ARMC4P1,-+-+,0.10263233513124202,0.5699068001302405,0.333833870592113,-1,0.667667741184226,0.33177436833399876,0.3214693132557609,0.6429386265115218
ARMC5,+-+-,0.13619674221068498,0.20904683301616311,0.5062983460238957,1,0.41809366603232623,0.21024412502851927,0.20983288655677865,0.4196657731135573
ARMC6,+-+-,0.06412870469936509,0.21444105386404314,0.18453512559686033,-1,0.36907025119372067,0.1847943877260024,0.1840063883185033,0.3680127766370066
ARMC7,--+-,0.0109884040803544,0.8877307961364674,0.02764652477278824,-1,0.05529304954557648,0.027148805110363314,0.0310860141455624,0.05429761022072663
ARMC8,++++,0.09852665789632181,0.4158527946358923,0.25426393460347946,-1,0.5085278692069589,0.25574630696401074,0.2514830025096966,0.5029660050193931
ARMC9,+++-,0.2555648292179639,0.3188530144585082,0.8723432630296948,1,0.6377060289170164,0.3181610768879763,0.3095876347459077,0.6191752694918154
ARMS2,-+++,0.08123400519805198,0.8867304847108102,0.1069152494895254,-1,0.2138304989790508,0.10403239605315691,0.11179557380789414,0.20806479210631382
ARMT1,-+++,0.07813312733794715,0.489661124498819,0.17468433584914853,-1,0.34936867169829705,0.17441396224262817,0.176020990189368,0.34882792448525635
ARNT,-+--,0.09439320307139955,0.0725340160107403,0.7209254122548101,1,0.1450680320214806,0.06724845995893224,0.07676952033308618,0.13449691991786447
ARNT2,++++,0.034354741207155225,0.5596210604710051,0.14101538869627164,-1,0.2820307773925433,0.1400787087206981,0.1445927446954141,0.2801574174413962
ARNTL,+++-,0.04796018265460833,0.21789423656932994,0.6001661449617934,1,0.43578847313865987,0.21982660278348162,0.2181030057605658,0.4362060115211316
ARNTL2,+-++,0.587547605996344,0.754753599728788,0.5938930124184757,-1,1.1877860248369514,0.49249985741173785,0.4810631987223363,0.9621263974446727
