gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
IDNK,++++,0.19778548,0.3998333011636125,0.7653866926509937,1,0.799666602327225,0.36956047947693427,0.3967020194682551,0.7391209589538685
UBQLN1,-+--,0.168065454,0.4124158332949374,0.5163112665108955,1,0.8248316665898748,0.37856883399927355,0.40563707685602207,0.7571376679985471
GKAP1,+-++,0.427795528,0.8815490125340899,0.35210001904364036,-1,0.7042000380872807,0.33379340403893654,0.357137667998547,0.6675868080778731
KIF27,+++-,0.051584173999999997,0.1175084337774996,0.4161094305223958,1,0.2350168675549992,0.11260443152924082,0.12022373964840913,0.22520886305848165
C9orf64,-+--,0.180684144,0.28214600694638126,0.8355883008833419,1,0.5642920138927625,0.27155830003632403,0.2922417550486706,0.5431166000726481
HNRNPK,-++-,0.204821583,0.34812372746100706,0.5191734799101814,1,0.6962474549220141,0.32960406828913913,0.35340694464622985,0.6592081365782783
RMI1,+++-,0.471208215,0.3888018759322077,0.845633365461951,1,0.7776037518644154,0.3617144932800581,0.3871858201365684,0.7234289865601162
NTRK2,++-+,0.040630708,0.10353741981214581,0.8955230555317724,1,0.20707483962429163,0.09843806756265892,0.10525933459247422,0.19687613512531785
AGTPBP1,++++,0.215987883,0.6167588448394968,0.4350208265059081,-1,0.8700416530118162,0.39437745169257593,0.4211405739193607,0.7887549033851519
NAA35,+++-,0.118670501,0.7147275998096405,0.3494172610390626,-1,0.6988345220781252,0.3308876943193375,0.3543770432255721,0.661775388638675
GOLM1,----,0.265824508,0.3147603773218246,0.7943344198386665,1,0.6295207546436492,0.29996367598982926,0.3227517071044603,0.5999273519796585
C9orf153,++++,0.177849291,0.26914940505398527,0.8111313820377064,1,0.5382988101079705,0.2602252088630585,0.279456632282435,0.520450417726117
ISCA1,-+--,0.080762394,0.2005245425918163,0.4701029080983436,1,0.4010490851836326,0.19869233563385397,0.21284323696062762,0.39738467126770793
TUT7,+-++,0.366027649,0.7921139195923876,0.38550325243869826,-1,0.7710065048773965,0.3593636495714078,0.3848892117689793,0.7187272991428156
GAS1,--+-,0.123801009,0.8812246460836396,0.23358488479037376,-1,0.4671697695807475,0.22744442830161266,0.24525971667272067,0.4548888566032253
C9orf170,+++-,0.260485472,0.3212933977183276,0.6941419998474422,1,0.6425867954366552,0.3051216854340719,0.32812727008571846,0.6102433708681438
DAPK1,-++-,0.109593375,0.41042349793564414,0.4395959318611234,1,0.8208469958712883,0.37689792953142026,0.4039662937672526,0.7537958590628405
CTSL,+++-,0.260813254,0.28463317524251375,0.8600851953948352,1,0.5692663504850275,0.27417362876861606,0.29413046636641,0.5483472575372321
CDK20,----,0.020627944,0.6931232451833101,0.09293241309284628,-1,0.18586482618569256,0.08695336335900043,0.09422448238285507,0.17390672671800086
SPIN1,-+--,0.322351095,0.259513774458109,0.7880427674642219,1,0.519027548916218,0.2512168543407192,0.2708847886096179,0.5024337086814384
NXNL2,+-++,0.381783006,0.6229049141387552,0.5607123869773712,-1,1.1214247739547425,0.45910213569664393,0.4931347620777334,0.9182042713932879
C9orf47,+++-,0.054891163,0.1611366739725019,0.6570289030349201,1,0.3222733479450038,0.1597529967308391,0.16874909196571264,0.3195059934616782
S1PR3,+-++,0.322486533,0.8700288852716257,0.36552731377998,-1,0.73105462755996,0.3459247421182624,0.369197239375227,0.6918494842365248
SHC3,---+,0.034180335,0.5237023176692102,0.01835934343789283,-1,0.03671868687578566,0.014165334883045184,0.016418452597166726,0.028330669766090368
CKS2,-+--,0.142560349,0.12435737405620577,0.8072787307533116,1,0.24871474811241154,0.12015982564475118,0.12872294057823624,0.24031965128950236
SECISBP2,+-++,0.043874278,0.5659022945880544,0.16687587198370943,-1,0.33375174396741886,0.1659160249891036,0.1755176171449328,0.3318320499782072
SEMA4D,++++,0.017608028,0.05549012724376221,0.6864577491021735,1,0.11098025448752442,0.04671267707954958,0.055063199186401277,0.09342535415909917
GADD45G,----,0.035517577,0.6892062709886009,0.10771592940698392,-1,0.21543185881396784,0.10257155310184513,0.109698510715583,0.20514310620369025
DIRAS2,---+,0.018241509,0.2042917267696916,0.32869280912482884,1,0.4085834535393832,0.20203414456956048,0.21727444428301612,0.40406828913912096
SYK,++-+,0.040558545,0.15017707928701549,0.8374509289277055,1,0.30035415857403097,0.14812931347620778,0.15756210954525643,0.29625862695241556
AUH,-++-,0.067442578,0.2368139682234389,0.4603206391043786,1,0.4736279364468778,0.2311660007264802,0.24785703908179574,0.4623320014529604
NFIL3,----,0.023008196,0.8016896327258922,0.020748363376669195,-1,0.04149672675333839,0.016635188144704344,0.01888848528877588,0.03327037628940869
ROR2,+-+-,0.033288184,0.8041543382131257,0.12499258893122547,-1,0.24998517786245095,0.1208775243353189,0.129749364329822,0.2417550486706378
SPTLC1,-+--,0.062217601,0.0365934464347055,0.9777238808520675,1,0.073186892869411,0.02920450417726117,0.033924160976318465,0.05840900835452234
IARS,-+--,0.16895507,0.19674135813619067,0.8554421861667375,1,0.39348271627238135,0.1957137667998547,0.20928374255411886,0.3914275335997094
NOL8,++++,0.06282159,0.22750688211090334,0.5920883292867677,1,0.45501376422180667,0.2225935343261896,0.2391399099229987,0.4451870686523792
CENPP,--++,0.28755926,0.9703966025961488,0.13807819571182664,-1,0.2761563914236533,0.13635042859218363,0.14558663276425718,0.27270085718436726
OGN,-++-,0.01543577,0.536944912076496,0.11945789215896954,-1,0.23891578431793908,0.11463024843818102,0.12248456229567745,0.22926049687636205
OMD,--++,0.540432081,0.8393317836545863,0.4799654164354225,-1,0.959930832870845,0.42081941014092694,0.45063567017798767,0.8416388202818539
ASPN,----,0.214160814,0.8247135263511183,0.20957144594301658,-1,0.41914289188603315,0.20732238849338952,0.2219397021431166,0.41464477698677904
ECM2,+++-,0.027660032,0.26523415010702667,0.27421693157084165,1,0.5304683002140533,0.2568107519070105,0.27567920964695625,0.513621503814021
IPPK,+++-,0.157925375,0.13795914854788197,0.8215571158489035,1,0.27591829709576393,0.13614239011986923,0.14550341420892052,0.27228478023973846
BICD2,+--+,0.32321192,0.8134041305155072,0.4257920365911109,-1,0.8515840731822218,0.38863867499636784,0.414674900108972,0.7772773499927357
ZNF484,-+--,0.187908805,0.3502327862972991,0.8190659344472246,1,0.7004655725945982,0.3318561569197239,0.3553682987069592,0.6637123138394478
FGD3,-+++,0.297222266,0.6741055303405381,0.34787900850325004,-1,0.6957580170065001,0.32936219671654804,0.3529240828187432,0.6587243934330961
SUSD3,++--,0.079899049,0.07942500375974093,0.9662750706628281,1,0.15885000751948186,0.07250272430076281,0.08019758826093273,0.14500544860152562
CARD19,+---,0.30894795,0.19769188522128178,0.9423718066821467,1,0.39538377044256356,0.19622230294224483,0.21037338369896846,0.39244460588448965
NINJ1,-+-+,0.346571865,0.5292844608797305,0.6177709502686243,1,1.058568921759461,0.44605884489647657,0.47806189161702745,0.8921176897929531
WNK2,--++,0.304027129,0.9348388002252205,0.25106636007341776,-1,0.5021327201468355,0.2432079035304373,0.2614602252088631,0.4864158070608746
C9orf129,--++,0.216328692,0.9867292412509705,0.07801506104324744,-1,0.1560301220864949,0.07046346070027604,0.0785325099891028,0.14092692140055207
FAM120AOS,+-++,0.46454411,0.8063680392545493,0.4503344034882934,-1,0.9006688069765868,0.4050559349121023,0.4313839447875045,0.8101118698242046
FAM120A,--++,0.634499933,0.858285545628535,0.47095323666930816,-1,0.9419064733386163,0.41624291733255847,0.44569560479476933,0.8324858346651169
PHF2,+-++,0.211740665,0.8009359160109506,0.1329999495411683,-1,0.2659998990823366,0.1314833648118553,0.13933890301489285,0.2629667296237106
PTPDC1,+++-,0.039269351,0.24993514135938982,0.30412078232977197,1,0.49987028271877965,0.24220849981837994,0.26006101990411157,0.4844169996367599
ZNF169,+-+-,0.324465927,0.7429066485169527,0.38562675877622143,-1,0.7712535175524429,0.35972686328635767,0.3850345078096622,0.7194537265727153
MFSD14B,-+--,0.129559059,0.27398694216106817,0.7445461703410259,1,0.5479738843221363,0.2646567381038867,0.28483219526369313,0.5293134762077734
C9orf3,+-++,0.037694729,0.2986826660590877,0.14114949215096537,-1,0.28229898430193073,0.13896556733982277,0.14892844169996367,0.27793113467964553
FANCC,+++-,0.24831155,0.3620525372599275,0.7213744722236514,1,0.724105074519855,0.3420268797675263,0.3661194246694755,0.6840537595350527
PTCH1,---+,0.370191092,0.9175593419140263,0.23912483283820943,-1,0.47824966567641886,0.2334737759697806,0.2499091899745732,0.4669475519395612
ERCC6L2,--+-,0.503143996,0.8917155045179266,0.3467304428721151,-1,0.6934608857442301,0.3282725555716984,0.3518343625136215,0.6565451111433968
