gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
MYB,++++--++-++-,0.001149129,0.023121902415202844,0.919284422616069,1,0.04624380483040569
LAPTM4B,++++++-+-+--,0.028566496,0.02312477730442985,0.9422150458279954,1,0.0462495546088597
CTC-137K3.1,----+--+--++,0.050303937,0.9539185366746076,0.02313250032393433,-1,0.04626500064786866
RBM12,------+-----,0.064871147,0.9996282059373828,0.023137830961708235,-1,0.04627566192341647
NOSIP,-++++-++++++,0.028181933,0.02315980188549996,0.995692097029764,1,0.04631960377099992
OR3A2,-----+-+-+++,0.018992864,0.023163784105245055,0.8415709142203232,1,0.04632756821049011
PSMB3,-+++-++++++-,0.010153714,0.023172920841035633,0.8787308777953997,1,0.046345841682071266
SNORD113-9,+----+-++---,0.028782447,0.8680498886583781,0.023175671625272443,-1,0.04635134325054489
RP11-337C18.9,--+-++-----+,0.037120115,0.8654644983578236,0.023177527969031955,-1,0.04635505593806391
NUDT7,-++--+-+++++,0.036379848,0.02318179062787623,0.9839874499814923,1,0.04636358125575246
ORMDL2,++++++-++++-,0.03895921,0.02318467172387942,0.9912147414409676,1,0.04636934344775884
AREL1,----++----+-,0.072541244,0.993943988738349,0.023187331582066168,-1,0.046374663164132336
CRTC1,------++++++,0.002681571,0.22977624927636053,0.023190593550759347,-1,0.046381187101518694
GCC2,++-++-++++++,0.1153332,0.023201480818940846,0.9960169143358952,1,0.04640296163788169
ADAMTS10,+---+-++++++,0.010815092,0.023217050382470936,0.8127215102324933,1,0.04643410076494187
LYPD1,+++--+------,0.052204785,0.8443462355019007,0.023221915450009314,-1,0.04644383090001863
RNU6-729P,------++--+-,0.07828247,0.9526271686336226,0.02322438948890501,-1,0.04644877897781002
RP11-1152H14.1,+-+---+---+-,0.002817427,0.7100800586477717,0.023227479192583517,-1,0.046454958385167035
BTNL9,+---+++++++-,0.046973336,0.02322919607149799,0.9805511118261736,1,0.04645839214299598
STK4,------+---+-,0.021417675,0.9986733651401466,0.023259260111232073,-1,0.046518520222464145
SLC25A26,++++--++++++,0.024689697,0.02326443281080177,0.9871070641813612,1,0.04652886562160354
RP11-384P7.7,+++-++-----+,0.009890656,0.7237730442928938,0.023264664809467834,-1,0.04652932961893567
EEF1B2,+-++--++++++,0.027864098,0.023287905199248993,0.9858497287312902,1,0.04657581039849799
LINC02102,-----+++--++,0.016896397,0.854516767528163,0.02329430229934979,-1,0.04658860459869958
ADGRD1,+-+++++--++-,0.012421616,0.023304314507134164,0.9924368831242647,1,0.04660862901426833
MTIF2,++++++--+++-,0.038383786,0.02330694906619999,0.9980763247690532,1,0.04661389813239998
ZC3H8,++-++++++-+-,0.02608782,0.023322175837078043,0.9942210183035894,1,0.046644351674156086
RP11-326E22.1,+++-+--+++++,0.025138675,0.023324716377936,0.9939569800131325,1,0.046649432755872
HHIP,++++++---+++,0.043826091,0.0233265340288185,0.9051974360053714,1,0.046653068057637
EMC2,+++++++---+-,0.028957362,0.02332682741779381,0.7352026376287482,1,0.04665365483558762
