gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
CTB-129P6.11,+++-,0.255820389,0.5658343414978882,0.5594670830202183,-1,1.1189341660404366
LATS1,+-++,0.444786231,0.74878363759871,0.5595410758980573,-1,1.1190821517961147
GHc-362H12.3,-++-,0.443570809,0.6880611670195631,0.5595466871815864,-1,1.1190933743631728
SH3GL2,-++-,0.479502564,0.7023900046115163,0.5595907521650867,-1,1.1191815043301734
RP3-388M5.9,+--+,0.510557992,0.5595944445895092,0.7302777311603439,1,1.1191888891790185
GPC2,+-++,0.639651711,0.5595960850942945,0.7956696409068142,1,1.119192170188589
CLEC2B,--+-,0.741396978,0.7987060217223755,0.5596081243352102,-1,1.1192162486704205
MARK4,+-++,0.290935314,0.621294616370406,0.559610075247546,-1,1.119220150495092
NIM1K,++-+,0.640925941,0.5596561233430789,0.7627105071998163,1,1.1193122466861578
CELSR2,+-+-,0.409432985,0.6338492050219016,0.559692695016761,-1,1.119385390033522
ROBO1,---+,0.442928373,0.7265260014169543,0.5597462540698451,-1,1.1194925081396903
RP1-151F17.2,+--+,0.477427953,0.7082503152954033,0.5597831489733525,-1,1.119566297946705
TRIP12,+++-,0.522709416,0.5598073128781611,0.7105049208511627,1,1.1196146257563222
MAT2B,-+--,0.271204354,0.5598293147936596,0.6089011155573184,1,1.1196586295873192
RP11-90B9.2,+-+-,0.552055389,0.5598300706875271,0.753665814376775,1,1.1196601413750542
ZNF284,++-+,0.275096056,0.6093718647043912,0.5598542806068377,-1,1.1197085612136755
PRC1,+--+,0.473479467,0.5598603170877373,0.5997496996608356,1,1.1197206341754746
GYPC,--++,0.498442922,0.6692259500231097,0.559863846247803,-1,1.119727692495606
SENP3,--++,0.595216018,0.5599148780322845,0.733035217990301,1,1.119829756064569
RALGAPB,+++-,0.322314976,0.5599917074253866,0.6241018747956943,1,1.1199834148507732
RBP5,--++,0.371789939,0.5600293989463083,0.6419740725709371,1,1.1200587978926166
ACOT12,-+--,0.345595124,0.6102179089555262,0.5601006339232695,-1,1.120201267846539
RP11-644F5.10,---+,0.254139487,0.5601542793990185,0.5947996155385243,1,1.120308558798037
GOLGA8S,+---,0.278849935,0.5601676889602548,0.6223819272880493,1,1.1203353779205096
MIR433,---+,0.305294119,0.5602235887611464,0.6254130912158459,1,1.1204471775222928
RP11-178G16.4,++-+,0.394190132,0.5603517209523371,0.6660436490723561,1,1.1207034419046742
TBCD,--++,0.378980524,0.6485646572827767,0.5605376225105828,-1,1.1210752450211656
NRAP,+-++,0.540515458,0.5605559707560684,0.7649233696520198,1,1.121111941512137
SLC20A2,+-+-,0.307245103,0.5693067280907658,0.5606586273814133,-1,1.1213172547628265
NLGN2,+-++,0.266359963,0.5607419542950492,0.5711728150735458,1,1.1214839085900985
COG7,+-+-,0.352448348,0.5608329249715618,0.6050985005437953,1,1.1216658499431236
RPSAP58,+-++,0.548905857,0.5608481137933947,0.7533370621347827,1,1.1216962275867894
FAIM2,+-++,0.303532976,0.5608692243688881,0.601767565674869,1,1.1217384487377762
MIOS,-+-+,0.411953308,0.629982841909024,0.560969782771008,-1,1.121939565542016
