gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-81K13.1,++-+-+++,0.00676096,0.027395567436311708,0.936345035845898,1,0.054791134872623416
AP000640.10,-++++-++,0.07212623,0.02740017024471603,0.9701476145020901,1,0.05480034048943206
AP000255.6,----+--+,0.022077958,0.9076096190639102,0.02741056390865035,-1,0.0548211278173007
KCTD11,+++-++-+,0.0060933,0.02743656146043414,0.9660510221536406,1,0.05487312292086828
RP13-635I23.3,--++---+,0.010987533,0.9201005339961958,0.02743728743396577,-1,0.05487457486793154
ZMIZ1,-------+,0.048610316,0.9843418718197047,0.02744241153306833,-1,0.05488482306613666
SRD5A1,-+++++++,0.055188444,0.027473440567069123,0.9976397302439731,1,0.054946881134138245
SNORD15B,+-++++++,0.040451043,0.027482964076173476,0.9093998061849629,1,0.05496592815234695
TIMM9,+++-++++,0.136145232,0.02750235135374113,0.9981103135739094,1,0.05500470270748226
CTD-2201E18.3,+++++--+,0.045400362,0.0275124415869382,0.9268949479653581,1,0.0550248831738764
PJA2,++++-++-,0.025452922,0.027520827762742416,0.9849556227060694,1,0.05504165552548483
TBX2,----++++,0.04495325,0.027530539769177468,0.9108154314395841,1,0.055061079538354936
MAN1A2,++-+++++,0.151488059,0.027532013273683386,0.9955551136661958,1,0.05506402654736677
RNU6-577P,--------,0.018716721,0.9952883951416363,0.027555656050025648,-1,0.055111312100051296
IGF1R,-------+,0.077748047,0.9981671525521012,0.02760519460770638,-1,0.05521038921541276
MBNL1,++++----,0.004555732,0.02761590146183629,0.6042411217456407,1,0.05523180292367258
TM7SF2,++++-+++,0.086295683,0.027618583230812135,0.9030657459465907,1,0.05523716646162427
USP1,++++----,0.004543726,0.027641695195608745,0.2871877566430062,1,0.05528339039121749
RPL21P28,---+++++,0.019766048,0.027649661966075028,0.8893754125763366,1,0.055299323932150056
PDZRN3,++--++++,0.018398956,0.027652874292962072,0.9147637860827177,1,0.055305748585924144
ARMC7,--+--+++,0.002748764,0.02765307658680372,0.7943119267529568,1,0.05530615317360744
METTL6,+++-++++,0.065211488,0.027666023310346767,0.9966650276736965,1,0.055332046620693534
LINC00526,++++--+-,0.063155079,0.02767716894454151,0.732882145678875,1,0.05535433788908302
CSTB,+-+-++++,0.037858562,0.02768437757772042,0.9473624501174265,1,0.05536875515544084
COLEC11,+++-----,0.014313392,0.8640852373157684,0.027737182262240156,-1,0.05547436452448031
SPOCK1,---+--+-,0.053426952,0.9862104427042457,0.027763665066839752,-1,0.055527330133679505
RP11-712B9.5,++-+----,0.005637784,0.8673497344728287,0.027776638399255857,-1,0.055553276798511714
SH2D5,+++-++++,0.046917594,0.027780233848912764,0.9941864808477607,1,0.05556046769782553
