gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GJC2,--++++,0.04900558,0.03394266910679729,0.9338930713900385,1,0.06788533821359458
RCHY1,++++-+,0.054905797,0.03396342210983963,0.9066127692443499,1,0.06792684421967926
PTRH2,++++-+,0.041913557,0.03399277880631728,0.9925509149554191,1,0.06798555761263456
REP15,-+----,0.039291544,0.8905585451666376,0.03402559770076053,-1,0.06805119540152106
CELF4,+-----,0.078722159,0.9933460502693852,0.034026987849883235,-1,0.06805397569976647
RP11-307B6.3,+++-++,0.151869583,0.03403016190634947,0.9932741007943805,1,0.06806032381269894
HADHA,+++-++,0.054702101,0.03403046095515219,0.989762136021051,1,0.06806092191030438
DIS3,++++-+,0.006293786,0.034073598393411245,0.8502179058380595,1,0.06814719678682249
LINC01481,-+++++,0.079851246,0.03412503874248317,0.9743407348701238,1,0.06825007748496634
KDELC1P1,----+-,0.0710158,0.9652377384217515,0.034140822850832094,-1,0.06828164570166419
EXOC7,-+----,0.126433011,0.993067554914218,0.03414288185068066,-1,0.06828576370136132
IPO13,++++++,0.024152198,0.0341534312878833,0.989244611405232,1,0.0683068625757666
RP11-88I18.2,++-+++,0.017495543,0.034172834326712996,0.9857952421441806,1,0.06834566865342599
MICAL3,----+-,0.0727338,0.906076942676211,0.03419274465355629,-1,0.06838548930711258
PAQR8,+++-++,0.060960086,0.03419448844823003,0.9934548903265678,1,0.06838897689646006
MMS19,-+----,0.024352367,0.9872307069117159,0.034195959256423124,-1,0.06839191851284625
CSMD1,-+----,0.069863034,0.9927986361880726,0.03422846059170722,-1,0.06845692118341444
ZBED3,+-++++,0.033022802,0.034234642800250896,0.970716188757962,1,0.06846928560050179
CTNND1,----+-,0.06636128,0.9764721740996651,0.0342367573495657,-1,0.0684735146991314
ERLEC1,++++-+,0.042637833,0.034237336015314125,0.9834778508220158,1,0.06847467203062825
YARS2,++++--,0.003029794,0.03425265510255596,0.8247563033035148,1,0.06850531020511191
MC1R,----+-,0.05571911,0.9578764499236334,0.03431919885638048,-1,0.06863839771276097
MTND5P11,+-----,0.088643395,0.9609503927001322,0.0343418714260419,-1,0.0686837428520838
SLC25A36,+++-++,0.052234341,0.03434192747729163,0.9855123876672358,1,0.06868385495458326
RP11-15A1.7,+-++++,0.093473775,0.034361200624338485,0.9689448046213824,1,0.06872240124867697
REEP3,++++++,0.083668547,0.03437823052228965,0.9953316392306799,1,0.0687564610445793
GIMAP7,+++++-,0.040775751,0.034384915962554254,0.9863625001887628,1,0.06876983192510851
