gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
PARP6,+-+-++++,0.096261208,0.9600193589052572,0.1263602690505645,-1,0.252720538101129
PDXDC1,+-+++++-,0.233015779,0.8034959576832765,0.6105953432621316,-1,1.2211906865242632
AP000266.7,+++++---,0.269708174,0.26476897546195827,0.9543916200819177,1,0.5295379509239165
CAMTA1,-+--++++,0.070800066,0.9554490786980137,0.12416510499736545,-1,0.2483302099947309
ABHD4,--+-+--+,0.251006433,0.5778875006968699,0.6826577216159255,1,1.1557750013937398
ZNF91,-----+++,0.237438507,0.9826891987399855,0.20113149568225977,-1,0.40226299136451954
MARCH6,-+++----,0.134668551,0.08659340038599023,0.9885037347441596,1,0.17318680077198045
RP11-383I23.2,-++++---,0.091046156,0.10245539896422987,0.9822153906036137,1,0.20491079792845973
CALR,-++----+,0.239465517,0.510017741866445,0.8826676666698821,1,1.02003548373289
TSHZ1,+----++-,0.250504581,0.8312979916424834,0.5159695269106458,-1,1.0319390538212916
LINC00574,--+-++-+,0.28690881,0.9441396249916302,0.26760269692833394,-1,0.5352053938566679
CD274,--+-++-+,0.261942392,0.9555754514022441,0.2414487220444115,-1,0.482897444088823
USP8,+++++---,0.114211689,0.10858208405884667,0.9856971378374925,1,0.21716416811769335
ARHGAP25,+-+-++++,0.1968637,0.917202932073817,0.35276723156521955,-1,0.7055344631304391
MCOLN1,--+-+++-,0.157960339,0.9857824745586959,0.09557407676911506,-1,0.19114815353823011
CDR2,+-+-+++-,0.226543829,0.8969856869169532,0.3350625931522351,-1,0.6701251863044702
CSNK1G2P1,-++-+++-,0.110091876,0.5807686253287222,0.4918462765164478,-1,0.9836925530328956
CDC5L,-+-++++-,0.293444426,0.8550414460184061,0.409607069799887,-1,0.819214139599774
IP6K2,++++----,0.220450491,0.09786093379758211,0.9966883583895815,1,0.19572186759516422
RP11-447H19.3,+-+-++++,0.117834517,0.9690860879793797,0.11768801457286648,-1,0.23537602914573297
GGA2,+---+++-,0.049515674,0.9704067346976972,0.14024685814601667,-1,0.28049371629203335
FAM71F1,+---++++,0.065329467,0.9848602977968263,0.0615205514023587,-1,0.1230411028047174
LINC02055,-++++-+-,0.292400063,0.3985076016755289,0.8290601734149828,1,0.7970152033510578
GAPDHP58,--+-+++-,0.05586795,0.9675303118870757,0.08180512753813995,-1,0.1636102550762799
ZNF787,+----+++,0.063538737,0.988574693431323,0.05437169054324111,-1,0.10874338108648222
AC006116.13,+++-+--+,0.116251667,0.07759220679541677,0.99011562004774345,1,0.15518441359083354
RAP2A,-+-+--+-,0.091551326,0.21548196451615437,0.8713540422062521,1,0.43096392903230873
RDH5,--+-+--+,0.150645617,0.44869898653369944,0.6640637386983237,1,0.8973979730673989
ZNF85,+-+++++-,0.444702325,0.7674523955135361,0.654742216312326,-1,1.309484432624652
RAB11FIP5,-+-+--++,0.140535605,0.8138632742845273,0.4041574682263,-1,0.8083149364526
MINCR,+++-++--,0.323074891,0.3961943699024262,0.8793198301124159,1,0.7923887398048524
VSIG10,+-++----,0.231896528,0.3513231257314511,0.8720321762343545,1,0.7026462514629022
F5,+++++---,0.058614407,0.06192819923936252,0.9896110738676221,1,0.12385639847872504
RTN4IP1,+--+++-+,0.264159131,0.8883886254392076,0.4972261318535725,-1,0.994452263707145
C10orf82,--+-++++,0.251947216,0.9588426175508356,0.29947813817270263,-1,0.5989562763454053
