gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
MTMR10,++++++,0.087199988,0.011248086999685724,0.9996451980668128,1,0.022496173999371448,0.09734834725753723,0.06283597268632864,0.12567194537265727
DEPDC7,++++++,0.060469825,0.011252248260522072,0.9995586562182339,1,0.022504496521044144,0.09742099527787867,0.06283597268632864,0.12567194537265727
FAM222B,------,0.071797405,0.9988944209279673,0.01125769114396731,-1,0.02251538228793462,0.09748656109254686,0.06284053759535052,0.12568107519070104
ACVR2A,-+----,0.017336573,0.9830358402720826,0.011264356629008458,-1,0.022528713258016916,0.09748656109254686,0.06291318561569197,0.12582637123138393
EVI5,+++++-,0.072277627,0.011264989183383724,0.9977912835614767,1,0.02252997836676745,0.09749364329822012,0.06298125817230858,0.12596251634461716
PLEKHF2,++++++,0.070039856,0.011280848424857035,0.9992019625307093,1,0.02256169684971407,0.09756629131856157,0.06298125817230858,0.12596251634461716
SYT5,----+-,0.017580832,0.9938392175837403,0.011289770929909298,-1,0.022579541859818596,0.0976318465785268,0.06298583363603341,0.12597166727206682
ADK,++++-+,0.024691084,0.011291661161798375,0.816310990455275,1,0.02258332232359675,0.09763893933890301,0.06305390091529856,0.1261078018305971
CERS3,------,0.067361804,0.9974890413672242,0.011291927630516462,-1,0.022583855261032924,0.09770448932151678,0.06305848165637487,0.12611696331274974
SOCS6,++++++,0.037979443,0.011304309704026589,0.9970441320254789,1,0.022608619408053178,0.09771158735924446,0.06312654365828854,0.12625308731657708
DPH5,+-++-+,0.010301862,0.011314339117105972,0.6516621107467446,1,0.022628678234211944,0.0977842353795859,0.06312654365828854,0.12625308731657708
PQLC2L,--+--+,0.00566483,0.8725413820184129,0.011314966342893232,-1,0.022629932685786464,0.09784977480749674,0.06313112967671632,0.12626225935343263
PEBP1,++++++,0.122501001,0.011317022515339179,0.9989926633181844,1,0.022634045030678358,0.09785688339992735,0.06319918640127851,0.12639837280255703
LRRC41,--+-+-,0.013454049,0.9803784360326228,0.011322180790881807,-1,0.022644361581763615,0.09792241755048671,0.06320377769705776,0.12640755539411552
PEX11G,++++++,0.059246474,0.011326669959737629,0.9977721294937245,1,0.022653339919475258,0.09792953142026879,0.06327182914426849,0.12654365828853698
TMEM121B,----+-,0.028927286,0.9883594561789654,0.01133514747899714,-1,0.02267029495799428,0.09799506029347668,0.0632764257173992,0.1265528514347984
FMN1,------,0.097865735,0.99955592913678315,0.011338679969060333,-1,0.022677359938120666,0.09799506029347668,0.06334907373774065,0.1266981474754813
CLN5,++++++,0.039723036,0.011340044726592662,0.996388706288358,1,0.022680089453185323,0.09800217944061024,0.06341711463024843,0.12683422926049687
GRM2,+-----,0.071433549,0.9965738619814761,0.011359308125485424,-1,0.02271861625097085,0.09806770303646666,0.0634217217580821,0.1268434435161642
ITGA2B,------,0.054911603,0.9989861261923652,0.011365843386512984,-1,0.022731686773025967,0.09806770303646666,0.06349436977842354,0.12698873955684709
ALDH9A1,+++-++,0.061583675,0.011382811903229066,0.9922917949738034,1,0.02276562380645813,0.09807482746095168,0.06356240011622839,0.12712480023245679
EEF1AKMT2,++++++,0.029964483,0.011413092280659199,0.9984415536306499,1,0.022826184561318397,0.09814747548129313,0.06356240011622839,0.12712480023245679
ELFN1,------,0.004257074,0.9917207813077078,0.011431239367384905,-1,0.02286247873476981,0.0982129885224466,0.06356701779876499,0.12713403559752998
PROCR,++++++,0.015215332,0.01143423491836502,0.9976450451676573,1,0.02286846983673004,0.09822012350163457,0.06363504285921837,0.12727008571843673
SLC39A1,++++++,0.085837944,0.011441172034947886,0.9990412103902991,1,0.022882344069895772,0.09829277152197603,0.06363504285921837,0.12727008571843673
CRISPLD2,----+-,0.05615913,0.9979949800001786,0.011448843068411103,-1,0.022897686136822207,0.09835827400842656,0.06363966581910643,0.12727933163821287
UVRAG,-+++++,0.010408085,0.011462025306583903,0.9854085262863734,1,0.022924050613167806,0.09836541954231748,0.06370768560220834,0.12741537120441668
NDUFS6,++++++,0.015764402,0.011477518135436064,0.9985061203978666,1,0.02295503627087213,0.09843806756265892,0.06370768560220834,0.12741537120441668
NCKAP5,+-++++,0.011425268,0.011481906387502627,0.9911054639122071,1,0.022963812775005255,0.09851071558300037,0.06370768560220834,0.12741537120441668
HDHD3,-+++++,0.043117432,0.01149377778648481,0.9963451979803373,1,0.02298755557296962,0.09858336360334181,0.06370768560220834,0.12741537120441668
TCIM,----+-,0.040348247,0.9707694878600839,0.011496667715447028,-1,0.022993335430894057,0.09864884498038647,0.06371231383944788,0.12742462767889576
APEX1,+-++-+,0.059560514,0.011497934730311219,0.9711006887001761,1,0.022995869460622438,0.09865601162368326,0.06378032834519831,0.12756065669039662
PIGK,++++-+,0.007274136,0.011533653719868583,0.9704071297597616,1,0.023067307439737166,0.0987286596440247,0.06378032834519831,0.12756065669039662
DHDH,++++++,0.037975237,0.011544885871811818,0.997810664627453,1,0.023089771743623637,0.09880130766436615,0.06378032834519831,0.12756065669039662
CCDC86,+-----,0.012205262,0.9864079853799251,0.011610714317432205,-1,0.02322142863486441,0.09886677320935638,0.06378496185978932,0.12756992371957865
MRTFA,----+-,0.050227698,0.9956953384461008,0.01162875309774738,-1,0.02325750619549476,0.09886677320935638,0.06385760988013077,0.12771521976026154
CCT6A,++++-+,0.045130861,0.011633524935919126,0.9311443451037407,1,0.023267049871838252,0.0988739556847076,0.06392561383117827,0.12785122766235654
SEMA3B,-+++++,0.024353331,0.01164003021762793,0.9922047929667036,1,0.02328006043525586,0.09894660370504904,0.06392561383117827,0.12785122766235654
TGFBR2,++++++,0.01566839,0.01166092655035483,0.9974425184261149,1,0.02332185310070966,0.09901925172539049,0.06392561383117827,0.12785122766235654
RHOT1,++-+++,0.002279864,0.011673537357319377,0.9753559103828656,1,0.023347074714638753,0.09909189974573193,0.06392561383117827,0.12785122766235654
MCFD2,++++-+,0.031407507,0.011674764102019149,0.9570806472731302,1,0.023349528204038298,0.09916454776607338,0.06392561383117827,0.12785122766235654
CDC25B,----+-,0.035724842,0.9947792775791916,0.011686419791393522,-1,0.023372839582787044,0.09922998692430626,0.06393025790047221,0.12786051580094443
TBK1,++++-+,0.054334339,0.011694746005920959,0.9968446436807118,1,0.023389492011841918,0.09923719578641482,0.06399825657416824,0.1279965131483365
TTC28,------,0.030900803,0.9991810224461527,0.01170736531851812,-1,0.02341473063703624,0.09930262966729624,0.06400290592081366,0.12800581184162732
RUFY3,++++-+,0.057699541,0.011712923971712717,0.958974944508701,1,0.023425847943425435,0.09930984380675627,0.06407089931715822,0.12814179863431643
LNPK,++++-+,0.008007232,0.011738540035260002,0.9560420923828246,1,0.023477080070520004,0.09938249182709771,0.06407089931715822,0.12814179863431643
PPM1H,++-+++,0.011067789,0.011747064704645881,0.9893577352764863,1,0.023494129409291763,0.09945513984743916,0.06407089931715822,0.12814179863431643
DCUN1D4,+++--+,0.024667226,0.01175726058255153,0.9817489389876675,1,0.02351452116510306,0.0995277878677806,0.06407089931715822,0.12814179863431643
BCL7C,------,0.0314893,0.9966230116888002,0.011771008658742546,-1,0.023542017317485092,0.09959320063925614,0.0640755539411551,0.1281511078823102
CELF5,------,0.061637152,0.9990640874886744,0.011784605324589607,-1,0.023569210649179214,0.09959320063925614,0.06414820196149655,0.1282964039229931
ARHGAP45,++++++,0.036440114,0.01180597737573949,0.9988544890128244,1,0.02361195475147898,0.09960043588812205,0.06421618480313816,0.12843236960627633
ITGA6,++++++,0.059413666,0.011808944794101063,0.9993236108727046,1,0.023617889588202125,0.0996730839084635,0.06421618480313816,0.12843236960627633
COPE,+++-+-,0.019485439,0.011813892741078757,0.9662219882917955,1,0.023627785482157514,0.09974573192880494,0.06421618480313816,0.12843236960627633
NAPEPLD,++-+++,0.012420209,0.01181666168037748,0.9730966735708035,1,0.02363332336075496,0.09981837994914639,0.06421618480313816,0.12843236960627633
GMFB,++++-+,0.031288115,0.011830937096901662,0.9830236023268157,1,0.023661874193803323,0.09989102796948783,0.06421618480313816,0.12843236960627633
GRIK1,------,0.005527175,0.9809010230666679,0.011841788179270538,-1,0.023683576358541077,0.09995641435420602,0.064220849981838,0.128441699963676
EBF4,--+-+-,0.017581678,0.9128371785713835,0.011848987265244615,-1,0.02369797453048923,0.09995641435420602,0.06429349800217944,0.12858699600435888
FNDC7,++++++,0.044971671,0.011850865951848954,0.9991643816219117,1,0.02370173190369791,0.09996367598982928,0.06436147028911812,0.12872294057823624
TMEM139,++++++,0.029059815,0.011890365092466063,0.9972599187986602,1,0.023780730184932125,0.10003632401017072,0.06436147028911812,0.12872294057823624
ZNF552,----+-,0.008916522,0.9728652965306748,0.011900376566357763,-1,0.023800753132715527,0.10010169984018596,0.06436614602252089,0.12873229204504177
RTRAF,++++-+,0.050996558,0.01192863072481439,0.9933744070910375,1,0.02385726144962878,0.10010897203051217,0.0644341130321081,0.1288682260642162
TMEM119,++++++,0.026607588,0.011928697249388125,0.9965211402316484,1,0.02385739449877625,0.10018162005085361,0.0644341130321081,0.1288682260642162
MSMO1,++++++,0.034962023,0.011931234829724255,0.9981572243910563,1,0.02386246965944851,0.10025426807119506,0.0644341130321081,0.1288682260642162
ST3GAL5,++++-+,0.002320229,0.01193350884384229,0.9512321657246503,1,0.02386701768768458,0.1003269160915365,0.0644341130321081,0.1288682260642162
C10orf90,-++++-,0.011790683,0.011945494652231398,0.9584058695904181,1,0.023890989304462797,0.10039956411187795,0.0644341130321081,0.1288682260642162
TRERF1,------,0.077267414,0.99954888498930194,0.011952230032078001,-1,0.023904460064156002,0.10046491355513584,0.06443879404286233,0.12887758808572466
PCDHA5,+-----,0.005902507,0.9843067964534398,0.011970189166037478,-1,0.023940378332074956,0.10046491355513584,0.06451144206320378,0.12902288412640756
IGFN1,------,0.063102002,0.9993253479113055,0.011981237415285742,-1,0.023962474830571484,0.10046491355513584,0.06458409008354522,0.12916818016709045
SPATA33,+-----,0.008832339,0.9437311200759577,0.011986330173670304,-1,0.023972660347340607,0.10046491355513584,0.06465673810388667,0.12931347620777334
CORO1B,++++++,0.087853194,0.011999502893990235,0.9992677668578076,1,0.02399900578798047,0.1004722121322194,0.064724684004068,0.129449368008136
LMNA,----+-,0.03918684,0.8149464192309611,0.012020314110216776,-1,0.02404062822043355,0.10053755629812582,0.06472938612422811,0.12945877224845623
ERMN,++++++,0.039919928,0.012033127005405684,0.9988246668402103,1,0.024066254010811368,0.10054486015256084,0.06479732674705797,0.12959465349411595
SPATA7,+++-++,0.039857661,0.012047620152237402,0.9965132971494671,1,0.024095240304474803,0.10061750817290228,0.06479732674705797,0.12959465349411595
CHD5,+-----,0.023937531,0.9922131110779859,0.01205030976951548,-1,0.02410061953903096,0.10068284178410576,0.06480203414456956,0.12960406828913912
PER1,------,0.111522733,0.9984656005949738,0.01207585156603484,-1,0.02415170313206968,0.10068284178410576,0.064874682164911,0.129749364329822
SGK223,----+-,0.022085845,0.9871082814866673,0.012084662628075069,-1,0.024169325256150138,0.10068284178410576,0.06494733018525245,0.1298946603705049
MROH1,----+-,0.034190471,0.9943526635432054,0.012086690124104172,-1,0.024173380248208344,0.10068284178410576,0.0650199782055939,0.1300399564111878
ZNF524,+++-+-,0.014182203000000001,0.01209463983138291,0.9794438666459905,1,0.02418927966276582,0.10069015619324373,0.06508789771901786,0.13017579543803573
GEM,------,0.067859713,0.9989816247477281,0.012112454773942625,-1,0.02422490954788525,0.10075548452709575,0.06509262622593534,0.13018525245187068
SCAMP1,++++-+,0.007229252,0.012114567700332798,0.8862063068723047,1,0.024229135400665597,0.10076280421358517,0.06516054046200785,0.1303210809240157
NUP133,+++--+,0.011860191,0.01211915471955684,0.9835377846936834,1,0.02423830943911368,0.10083545223392662,0.06516054046200785,0.1303210809240157
UBE2E1,++++++,0.092084168,0.012122335813103112,0.9996924540745331,1,0.024244671626206225,0.10090810025426807,0.06516054046200785,0.1303210809240157
MRPS24,+++-+-,0.027138092,0.012126922485320456,0.7193033940008731,1,0.02425384497064091,0.10098074827460951,0.06516054046200785,0.1303210809240157
PON1,++++--,0.004578972,0.012146212148945472,0.9531939877722747,1,0.024292424297890945,0.10105339629495096,0.06516054046200785,0.1303210809240157
KIZ,+-++++,0.001853279,0.012171149810765891,0.9747359556269973,1,0.024342299621531782,0.1011260443152924,0.06516054046200785,0.1303210809240157
SLC25A46,++++-+,0.009543879,0.012235901348387378,0.9209913371012437,1,0.024471802696774757,0.10119869233563386,0.06516054046200785,0.1303210809240157
PAK5,---+--,0.060321246,0.9923986642363407,0.012241101304617245,-1,0.02448220260923449,0.10126398372802557,0.06516527424627679,0.13033054849255357
BOLA1,++++-+,0.019972206,0.012255770104330018,0.99107274815221,1,0.024511540208660035,0.1012713403559753,0.06523318320499782,0.13046636640999565
RHOJ,------,0.05377649,0.9995343435260826,0.012263445788366033,-1,0.024526891576732067,0.10133662647101555,0.06523792226661823,0.13047584453323646
COL24A1,------,0.008385295,0.9953179098913978,0.012277840389962597,-1,0.024555680779925194,0.10133662647101555,0.06531057028695968,0.13062114057391935
BAG4,++-+-+,0.007923664,0.012286891338870481,0.7891382240937518,1,0.024573782677740963,0.10134398837631675,0.06537846869097777,0.13075693738195554
RFC4,-+++++,0.030712504,0.012293211505237397,0.9864782592665382,1,0.024586423010474794,0.1014166363966582,0.06537846869097777,0.13075693738195554
ARMT1,-+++-+,0.006539227,0.012307989154935778,0.6934549044666223,1,0.024615978309871556,0.10148928441699964,0.06537846869097777,0.13075693738195554
AKR1A1,++++--,0.006833339,0.012312008923129544,0.9506547446998659,1,0.02462401784625909,0.10156193243734109,0.06537846869097777,0.13075693738195554
ATP10B,++++++,0.013748803,0.012322493919916898,0.9980961995888324,1,0.024644987839833796,0.10163458045768253,0.06537846869097777,0.13075693738195554
LETM1,------,0.022302857,0.9963871725571893,0.012335862548699362,-1,0.024671725097398723,0.10169984018596542,0.06538321830730112,0.13076643661460224
SORBS3,----+-,0.043405061,0.9704651098534135,0.012355509780675695,-1,0.02471101956135139,0.10169984018596542,0.06545586632764257,0.13091173265528513
LZTFL1,++++--,0.002213896,0.01237503405349428,0.6457767282414606,1,0.02475006810698856,0.10170722847802398,0.06552375417695772,0.13104750835391543
GTF2A2,+++--+,0.007887988,0.012428268622795398,0.9555398444363614,1,0.024856537245590796,0.10177987649836542,0.06552375417695772,0.13104750835391543
GNPDA1,++++-+,0.011830956,0.012428943795858688,0.7875902199441378,1,0.024857887591717375,0.10185252451870687,0.06552375417695772,0.13104750835391543
ADGRB2,------,0.080499258,0.9987954159921776,0.012431090456981113,-1,0.024862180913962226,0.10191776841493534,0.06552851434798401,0.13105702869596803
CHML,---+--,0.073625176,0.9953585890856584,0.012443628403136644,-1,0.024887256806273288,0.10191776841493534,0.06560116236832546,0.13120232473665092
TMEM220,++++++,0.007648897,0.012561071692258266,0.9962939166925419,1,0.025122143384516533,0.10192517253904831,0.06566903966293768,0.13133807932587535
MTDH,-+++++,0.043105403,0.012581687660178576,0.9945085770593404,1,0.025163375320357152,0.10199782055938976,0.06566903966293768,0.13133807932587535
TP53INP1,++++++,0.050547604,0.01258862889100099,0.9977951066340454,1,0.02517725778200198,0.1020704685797312,0.06566903966293768,0.13133807932587535
LZTS1,------,0.05459055,0.9979914440412532,0.012592052557467953,-1,0.025184105114935906,0.10213569664390527,0.0656738103886669,0.1313476207773338
DBT,+-++-+,0.004640643,0.012593417468529254,0.9485351227463901,1,0.02518683493705851,0.10214311660007265,0.06574168240592765,0.1314833648118553
IDI1,++-+-+,0.030770752,0.012597018451992879,0.9831050307260473,1,0.025194036903985757,0.1022157646204141,0.06574168240592765,0.1314833648118553
EML6,----+-,0.021522656,0.9806470704469565,0.012643875541788457,-1,0.025287751083576913,0.10228098212988522,0.06574645840900835,0.1314929168180167
FAM53C,------,0.124759677,0.9994853086742171,0.012654843317479977,-1,0.025309686634959954,0.10228098212988522,0.0658191064293498,0.1316382128586996
KAT6B,------,0.064891422,0.996144579152475,0.012654932237020038,-1,0.025309864474040076,0.10228098212988522,0.06589175444969124,0.13178350889938248
PEX2,+++-++,0.041677224,0.012671757601834532,0.9885985162468797,1,0.025343515203669065,0.10228841264075554,0.06595961063489757,0.13191922126979513
PRNP,++-+-+,0.003481222,0.012673136685498769,0.5448844483640444,1,0.025346273370997537,0.10236106066109699,0.06595961063489757,0.13191922126979513
PTCHD4,------,0.00913204,0.9903996421854334,0.012691264398526166,-1,0.025382528797052332,0.10242626761586518,0.06596440247003268,0.13192880494006537
DCLK1,---+--,0.011052787,0.9815845181052637,0.012698158214821384,-1,0.025396316429642768,0.10242626761586518,0.06603705049037414,0.1320741009807483
PPP1R36,++--++,0.042594198,0.0127060952049359,0.9854479590542699,1,0.0254121904098718,0.10243370868143843,0.06610489612087753,0.13220979224175505
MIF4GD,+++---,0.003169608,0.012722922700882593,0.917809937780512,1,0.025445845401765185,0.10250635670177988,0.06610489612087753,0.13220979224175505
FAM177A1,++++++,0.064797015,0.012728811413195611,0.9989054073456911,1,0.025457622826391222,0.10257900472212132,0.06610489612087753,0.13220979224175505
BLOC1S1,++++++,0.075197624,0.012751631235861576,0.9992200084259826,1,0.025503262471723152,0.10265165274246277,0.06610489612087753,0.13220979224175505
DCDC1,++++++,0.026863188,0.01280493366438857,0.9940766833593969,1,0.02560986732877714,0.10272430076280421,0.06610489612087753,0.13220979224175505
HAX1,++++-+,0.009461844,0.01280921889331872,0.9424486871590468,1,0.02561843778663744,0.10279694878314566,0.06610489612087753,0.13220979224175505
MTFR1,++++++,0.075381291,0.012820498219693789,0.999035427846479,1,0.025640996439387578,0.1028695968034871,0.06610489612087753,0.13220979224175505
NIPSNAP1,++++-+,0.036272958,0.01282240208952776,0.9938145518104424,1,0.02564480417905552,0.10294224482382855,0.06610489612087753,0.13220979224175505
MEIS1,++++++,0.058795435,0.012826331319549716,0.998641098961646,1,0.025652662639099433,0.10301489284417,0.06610489612087753,0.13220979224175505
ISCA2,++++-+,0.080875324,0.012831829423003226,0.9937292199890919,1,0.02566365884600645,0.10308754086451144,0.06610489612087753,0.13220979224175505
SATB2,----+-,0.026147527,0.9955435353479295,0.012844046318603803,-1,0.025688092637207605,0.10315269504576492,0.06610969851071559,0.13221939702143118
MACROD1,++++++,0.067332013,0.012858087821004683,0.9983240415655752,1,0.025716175642009367,0.10316018888485289,0.0661775388638675,0.132355077727735
FBXO10,--+---,0.056180795,0.9958632416207311,0.012867661042419988,-1,0.025735322084839977,0.10322533778875491,0.06618234653105703,0.13236469306211407
DSTN,++-+-+,0.035928611,0.012882994536989422,0.6558769329808043,1,0.025765989073978843,0.10323283690519433,0.06625018160685747,0.13250036321371494
PTMS,+-----,0.007559452,0.9554123587217301,0.012892548298203493,-1,0.025785096596406987,0.10329798053174488,0.06625499455139848,0.13250998910279696
ANXA2R,+++-++,0.043609375,0.01289543569652534,0.9905793048905492,1,0.02579087139305068,0.10330548492553578,0.06632282434984745,0.1326456486996949
ADCY6,----+-,0.033650935,0.9946714740102628,0.012912829779086619,-1,0.025825659558173238,0.10337062327473485,0.06632764257173993,0.13265528514347985
BORA,++++++,0.030947585,0.012915641625826747,0.9970872809001476,1,0.025831283251653493,0.10337813294587722,0.06639546709283743,0.13279093418567486
TCF19,+++-++,0.069958026,0.012978905191146159,0.9969474868542113,1,0.025957810382292317,0.10345078096621867,0.06639546709283743,0.13279093418567486
YWHAE,+-++-+,0.025757616,0.012989555231291298,0.5984424703830225,1,0.025979110462582597,0.10352342898656011,0.06639546709283743,0.13279093418567486
TSTD3,++-+++,0.057947692,0.013007551386047372,0.9969608437352604,1,0.026015102772094744,0.10359607700690156,0.06639546709283743,0.13279093418567486
COL4A2,------,0.012483853,0.9925759016239525,0.01300932506854676,-1,0.02601865013709352,0.10366119424669476,0.06640029059208137,0.13280058118416274
UGDH,-+----,0.027234042,0.9788472903205909,0.013011634794189762,-1,0.026023269588379524,0.10366119424669476,0.06647293861242282,0.13294587722484563
CISD1,++++-+,0.025971139,0.01301447333003354,0.8794259809970874,1,0.02602894666006708,0.103668725027243,0.06654075257881738,0.13308150515763476
RPP40,+++---,6.89677e-4,0.013015972417916641,0.6719140538492354,1,0.026031944835833282,0.10374137304758445,0.06654075257881738,0.13308150515763476
COX5B,+-++++,0.039606521,0.01302576672690746,0.9962631187752161,1,0.02605153345381492,0.1038140210679259,0.06654075257881738,0.13308150515763476
GUCY1B1,++++-+,0.00278942,0.013034494411250857,0.6927138213673056,1,0.026068988822501714,0.10388666908826734,0.06654075257881738,0.13308150515763476
ZNF491,+++--+,0.01382045,0.013046713578932443,0.9495004534017506,1,0.026093427157864887,0.10395931710860878,0.06654075257881738,0.13308150515763476
SLC26A9,++++++,0.071218996,0.013051842208346069,0.9986928373502981,1,0.026103684416692138,0.10403196512895023,0.06654075257881738,0.13308150515763476
LAMA2,-++-+-,0.006467847,0.013064885127676206,0.931182321131074,1,0.026129770255352413,0.10410461314929167,0.06654075257881738,0.13308150515763476
LZIC,++++++,0.136061832,0.013067986261331368,0.9997888900397232,1,0.026135972522662736,0.10417726116963313,0.06654075257881738,0.13308150515763476
MIGA1,++++++,0.030698719,0.013084950852715669,0.9922923210891704,1,0.026169901705431337,0.10424990918997458,0.06654075257881738,0.13308150515763476
RNASET2,+++-++,0.010691727,0.013094136490209992,0.9653967023014409,1,0.026188272980419983,0.10432255721031602,0.06654075257881738,0.13308150515763476
ARHGAP10,------,0.065459696,0.9986309201492999,0.013107250839707431,-1,0.026214501679414862,0.1043876216765945,0.06654558663276426,0.13309117326552852
ZNF613,++++++,0.056676219,0.013113305531744408,0.9986668435687688,1,0.026226611063488815,0.10439520523065747,0.06661339532180735,0.1332267906436147
LY96,++++++,0.075703851,0.013127612219520184,0.9996484311604448,1,0.026255224439040367,0.10446785325099892,0.06661339532180735,0.1332267906436147
TMX4,++++-+,0.014826908,0.01312829240560241,0.973280344877173,1,0.02625658481120482,0.10454050127134036,0.06661339532180735,0.1332267906436147
STK24,--+---,0.029649537,0.9921741327548889,0.01313037944986027,-1,0.02626075889972054,0.10460554990556443,0.0666182346531057,0.1332364693062114
KLF16,------,0.023466347,0.9973359350487544,0.013135888051508176,-1,0.026271776103016353,0.10460554990556443,0.06669088267344715,0.1333817653468943
GPR137C,-+++++,0.021846258,0.01315643008930047,0.995109791864553,1,0.02631286017860094,0.1046131492916818,0.0667586808077873,0.1335173616155746
ARMC6,--+---,0.020788453,0.9731097460010604,0.013206888201732134,-1,0.02641377640346427,0.10467819264855441,0.0667635306937886,0.1335270613875772
FBXL4,++++++,0.007197856,0.013246672211041947,0.9924389775763922,1,0.026493344422083894,0.10468579731202325,0.06683132355077728,0.13366264710155457
MAML1,----+-,0.045007743,0.8677416642868285,0.013250051495750266,-1,0.026500102991500532,0.10475083539154438,0.06683617871413004,0.13367235742826009
MCEE,+++-++,0.038040229,0.013261150329364512,0.9927095939812112,1,0.026522300658729025,0.1047584453323647,0.06690396629376726,0.1338079325875345
PLK4,++++-+,0.055010939,0.013263864454816053,0.9826803721041363,1,0.026527728909632106,0.10483109335270614,0.06690396629376726,0.1338079325875345
R3HDM4,------,0.057447467,0.9986270872653689,0.013278559257553363,-1,0.026557118515106726,0.10489612087752434,0.06690882673447149,0.13381765346894298
UNC13C,------,0.044390298,0.9923639149741751,0.01328107522194798,-1,0.02656215044389596,0.10489612087752434,0.06698147475481293,0.13396294950962587
PICALM,++++++,0.080595908,0.013288937014027094,0.9996345269280964,1,0.02657787402805419,0.10490374137304759,0.0670492517797472,0.1340985035594944
SIPA1L3,-----+,0.012270316,0.9908012753850225,0.013292396582823657,-1,0.026584793165647314,0.10496876362051431,0.06705412277515438,0.13410824555030876
DOT1L,--+-+-,0.005405702,0.92515405031899145,0.013295010967862028,-1,0.026590021935724056,0.10496876362051431,0.06712677079549582,0.13425354159099165
TP53I3,+++-++,0.032051,0.013306063785778064,0.995145062682704,1,0.026612127571556128,0.10497638939338903,0.06719453726572715,0.1343890745314543
NIPAL1,-++---,0.002924664,0.6466804701625922,0.013328821346203829,-1,0.026657642692407658,0.10504140636350429,0.06719941881583727,0.13439883763167454
MTMR7,++++-+,0.009554398,0.013330790227504039,0.9634719031573844,1,0.026661580455008077,0.10504903741373048,0.06726718000871713,0.13453436001743427
CSTF3,++++++,0.039068163,0.013330997211466834,0.995126484572433,1,0.02666199442293367,0.10512168543407192,0.06726718000871713,0.13453436001743427
GPLD1,------,0.062374247,0.9975770637283009,0.013359879106707717,-1,0.026719758213415434,0.10518669184948423,0.06727206683617871,0.13454413367235743
ACTR1A,++++-+,0.021801347,0.013364941792513468,0.9330322915994455,1,0.026729883585026936,0.10519433345441337,0.0673398227517071,0.1346796455034142
SYNPO2,----+-,0.029304775,0.8510937348336258,0.013368607149887093,-1,0.026737214299774187,0.10525933459247422,0.06734471485652016,0.13468942971304032
NEK1,++++++,0.052774163,0.013372605259712464,0.9982299774380682,1,0.02674521051942493,0.10526698147475481,0.06741246549469708,0.13482493098939416
HLA-DRB1,++++++,0.021621385,0.013376350928569807,0.9928610159534081,1,0.026752701857139613,0.10533962949509626,0.06741246549469708,0.13482493098939416
OXLD1,++++-+,0.064447967,0.013394486468059505,0.9894516505221791,1,0.02678897293611901,0.1054122775154377,0.06741246549469708,0.13482493098939416
CIZ1,----+-,0.018810985,0.9809080241641873,0.013401044768439641,-1,0.026802089536879282,0.10547726282144414,0.0674173628768616,0.1348347257537232
CXCL16,+-++++,0.04803073,0.013406392469473245,0.9906894465021279,1,0.02681278493894649,0.10548492553577915,0.06748510823768705,0.1349702164753741
TMBIM4,++++++,0.054667373,0.013414029331075404,0.9967134728899596,1,0.026828058662150808,0.1055575735561206,0.06748510823768705,0.1349702164753741
SOGA1,----+-,0.040895101,0.9206353273440812,0.013432314593641484,-1,0.026864629187282968,0.10562254830742408,0.06749001089720305,0.1349800217944061
ACOX1,++++-+,0.025370513,0.013432569165132916,0.9858245988259718,1,0.026865138330265832,0.10563022157646204,0.06755775098067703,0.13511550196135405
TCHP,+-+-+-,0.007658161,0.6574095003118572,0.013442426597685539,-1,0.026884853195371077,0.10569519105041407,0.0675626589175445,0.135125317835089
ZNF814,--+-+-,0.058748492,0.9885037621960803,0.013446321707299808,-1,0.026892643414599616,0.10569519105041407,0.06763530693788594,0.13527061387577188
ZNF555,++++++,0.047710165,0.013469040468407183,0.9969793543587226,1,0.026938080936814365,0.10570286959680349,0.06770303646665699,0.13540607293331397
SLC7A6OS,++++++,0.050067075,0.01348055641443959,0.9979680084647186,1,0.02696111282887918,0.10577551761714493,0.06770303646665699,0.13540607293331397
COX14,+++--+,0.014486708,0.013498300446462608,0.8281883641539289,1,0.026996600892925215,0.10584816563748638,0.06770303646665699,0.13540607293331397
RIT1,++++++,0.06472127,0.013499153745517637,0.9995417696763106,1,0.026998307491035274,0.10592081365782782,0.06770303646665699,0.13540607293331397
SRARP,-++++-,0.011461197,0.01350460106208811,0.91999247257952,1,0.02700920212417622,0.10599346167816927,0.06770303646665699,0.13540607293331397
TMEM266,------,0.036533697,0.9969827233897349,0.01350918075967125,-1,0.0270183615193425,0.10605840476536393,0.06770795495822739,0.13541590991645477
APOM,+++-++,0.090410096,0.013510445327922747,0.9905691255553931,1,0.027020890655845495,0.10606610969851071,0.06777567920964696,0.13555135841929392
PTBP2,++++++,0.036208923,0.013523907561498448,0.9963412027165452,1,0.027047815122996897,0.10613875771885216,0.06777567920964696,0.13555135841929392
LSS,++++++,0.081904825,0.013543008284721587,0.9976225055340955,1,0.027086016569443174,0.1062114057391936,0.06777567920964696,0.13555135841929392
