gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
HINFP,+-++,0.206866719,0.8033823480305814,0.1678539656235041,-1,0.3357079312470082
RP11-566K19.6,---+,0.204573794,0.47405164558861473,0.6231155161975461,1,0.9481032911772295
SPRYD4,++--,0.059547733,0.1273377311651027,0.9201828706314102,1,0.2546754623302054
ADGRB3,---+,0.252313534,0.6550794244269749,0.38757978771281204,-1,0.7751595754256241
DCAF11,--++,0.118739988,0.9467001072344017,0.15331849125425326,-1,0.3066369825085065
ZNF615,+++-,0.04392333,0.11482890783961744,0.883487272352419,1,0.22965781567923488
KIAA0408,++++,0.350351202,0.5899029104841808,0.5637029667480343,-1,1.1274059334960687
CTNNBL1,+++-,0.182228729,0.2773394196172847,0.782450539413852,1,0.5546788392345694
RP11-359J14.2,+-+-,0.130532601,0.39396752322141987,0.5936824695942973,1,0.7879350464428397
INSIG1,++--,0.176161043,0.06718352370878113,0.9881511246374565,1,0.13436704741756225
AC005082.1,---+,0.17833586,0.45993421066286,0.6391283058238447,1,0.91986842132572
TMEM42,++++,0.209431463,0.4193509686706544,0.726969232223538,1,0.8387019373413088
SENP8,-+-+,0.132704715,0.38438640590540457,0.6582065839176512,1,0.7687728118108091
CCNJ,-+++,0.161918143,0.5820768951066041,0.2499365350260609,-1,0.4998730700521218
SNX2,-++-,0.070837187,0.1310620259900843,0.8587711000795926,1,0.2621240519801686
MVD,+--+,0.116681127,0.3908785689372191,0.5809822104933322,1,0.7817571378744382
HCN2,+-++,0.040831916,0.9114864326092994,0.06718107953962218,-1,0.13436215907924437
HP1BP3,+-++,0.126341186,0.4534007290490827,0.461394375002256,1,0.9068014580981654
ATP6V1G1,-+--,0.37849721,0.32561270218209604,0.7727875320766722,1,0.6512254043641921
SS18L1,----,0.338116226,0.4567812821973786,0.7021315886339954,1,0.9135625643947572
TMEM167A,-+--,0.041165968,0.11486803191620798,0.8750444265262813,1,0.22973606383241596
AC007238.1,+-+-,0.060692998,0.2653260103655084,0.2910779330471121,1,0.5306520207310168
ZBED8,-+--,0.040597366,0.12260361191851106,0.8505629836940591,1,0.24520722383702212
LAP3P1,++-+,0.26075253,0.31302705638109957,0.8134698258713668,1,0.6260541127621991
SEMA6D,+-++,0.156109014,0.4672796669363096,0.5894312910831567,1,0.9345593338726192
RETSAT,+---,0.175953518,0.18830484097864922,0.9248217742550299,1,0.37660968195729844
RNU6-100P,+++-,0.10274702,0.09814805218384669,0.939163768791958,1,0.19629610436769337
ANLN,+++-,0.141462032,0.16683849226158223,0.9225796613804356,1,0.33367698452316447
APBB1,+--+,0.178383919,0.5349955236753811,0.24686500540448214,-1,0.4937300108089643
RNF148,---+,0.292716413,0.826513324492997,0.3059973979699144,-1,0.6119947959398288
ABCD4,++++,0.259478673,0.7178872433799497,0.44555054959667756,-1,0.8911010991933551
PRPS1,-+--,0.146571506,0.1290177906036781,0.8324283690272317,1,0.2580355812073562
ZMYND19,-+--,0.184532406,0.5818339960829452,0.47563585256640295,-1,0.9512717051328059
ADAM17,+-+-,0.102877174,0.4267610534054174,0.39625711172982114,-1,0.7925142234596423
KDM7A-DT,++--,0.099329677,0.07434382493359855,0.9770557498811673,1,0.1486876498671971
SOX11,--++,0.14758496,0.9803248471413704,0.08331449868213868,-1,0.16662899736427736
RP1-223E5.4,-+-+,0.070442226,0.4171966028769413,0.161668865425229,-1,0.323337730850458
OPTN,+-++,0.345951149,0.7138739606089197,0.39169863237952174,-1,0.7833972647590435
ITFG1,-++-,0.219028129,0.28245304503978996,0.6021856035371673,1,0.5649060900795799
TMEM56,---+,0.209261877,0.5388132791090393,0.5423171682764328,1,1.0776265582180786
HTR4,-++-,0.047468581,0.19982657234560205,0.46043677835315006,1,0.3996531446912041
FNIP2,+---,0.035121073,0.0370366234320526,0.9556393346684624,1,0.0740732468641052
SCARA5,---+,0.192269014,0.5701497278268631,0.4338976451082319,-1,0.8677952902164638
PLD5,--+-,0.202240325,0.732508071724591,0.3695261940772849,-1,0.7390523881545698
KNL1,++++,0.392289004,0.5202085094025963,0.6614559394503416,1,1.0404170188051927
LSM11,-+-+,0.073086009,0.2811431205103665,0.560259871922373,1,0.562286241020733
PIWIL2,-+--,0.127927666,0.36479327839871306,0.5021301215050208,1,0.7295865567974261
NOB1,+-++,0.195631774,0.9006966859613491,0.1238829692380688,-1,0.2477659384761376
UROS,-+++,0.351868519,0.8298205365922275,0.3053274171380919,-1,0.6106548342761838
BDH2,++-+,0.122588701,0.08928430114057247,0.8796413119585186,1,0.17856860228114493
ZNF567,----,0.189445592,0.8088231430915969,0.33503082488378977,-1,0.6700616497675795
SPRED3,---+,0.166428905,0.5698111042131031,0.2585078250550721,-1,0.5170156501101442
BMPR2,-+--,0.166300471,0.3311583920171251,0.7842793343298843,1,0.6623167840342502
LINC00888,-++-,0.076271207,0.18959053871372963,0.6567874720415916,1,0.37918107742745927
RP11-687M24.7,--++,0.104528221,0.9528799508593485,0.13604476291696063,-1,0.27208952583392126
HSD17B7,+++-,0.13543196,0.2507278073033709,0.8672123198860644,1,0.5014556146067418
TEX22,+-++,0.264759249,0.6543487029444195,0.35909809192596903,-1,0.7181961838519381
PRPS2,--++,0.050449531,0.9458101116016117,0.044223208582276206,-1,0.08844641716455241
CDC25B,+-++,0.249738413,0.9529942725112747,0.10853572932591565,-1,0.2170714586518313
GTF2IP9,+++-,0.217233897,0.2898560568510613,0.8553965800206698,1,0.5797121137021226
TIMM8A,++-+,0.143058204,0.4138550790999163,0.5097290321815793,1,0.8277101581998326
DNAH3,+-+-,0.148648427,0.22287753114551453,0.6235172783725261,1,0.44575506229102907
DUT,+++-,0.13916842,0.551179048923418,0.46212396833938846,-1,0.9242479366787769
JRK,+-++,0.039442765,0.9366005555838499,0.05022786534429366,-1,0.10045573068858732
AC139100.3,-+-+,0.12616729,0.6739723815286076,0.3201708753013312,-1,0.6403417506026624
PDE1A,++--,0.121312554,0.15897077381238636,0.9430641801393295,1,0.3179415476247727
PRKCQ-AS1,+++-,0.140618808,0.16405583252561803,0.9094390967193442,1,0.32811166505123607
XPO1,+++-,0.072973738,0.1725704530442841,0.8826948143690646,1,0.3451409060885682
PUDP,++++,0.31339372,0.566292776484311,0.5712717926699123,1,1.132585552968622
SWAP70,+--+,0.080251183,0.6935177674637559,0.1428001042498478,-1,0.2856002084996956
HCG27,+-++,0.177543124,0.9457380757841958,0.14945214998501546,-1,0.29890429997003093
RNU6-1294P,+-++,0.176898952,0.9154759880932469,0.11337714167167746,-1,0.22675428334335493
MYSM1,++++,0.34003397,0.4648332792930003,0.7159616502931798,1,0.9296665585860006
CYB5R3,+-++,0.276330941,0.8644485010679266,0.25175953265774254,-1,0.5035190653154851
TMEM206,++--,0.159658446,0.07892128543875226,0.9782500054269039,1,0.15784257087750453
RP11-82L18.2,+-++,0.032802727,0.9606800576262013,0.026799566777804814,-1,0.05359913355560963
APRT,--++,0.096234275,0.9811800276435875,0.03650789342756517,-1,0.07301578685513034
ZEB2-AS1,+++-,0.246376169,0.3302976963816518,0.7512491814624136,1,0.6605953927633036
RNU6-482P,+-+-,0.108731383,0.3566652870803519,0.570848318768986,1,0.7133305741607038
SPAG1,--+-,0.032417928,0.49945866045272475,0.12712064144214033,-1,0.25424128288428066
PSMB2,-+--,0.217034783,0.17910903903776818,0.8215909781223515,1,0.35821807807553635
FER1L5,+-++,0.126986115,0.7944497440121586,0.2933818093241443,-1,0.5867636186482886
GUCD1,----,0.414579382,0.6285829332876779,0.5489014093611749,-1,1.0978028187223499
AC092667.2,-++-,0.111771059,0.22454780012785835,0.6760089908283293,1,0.4490956002557167
RP11-750H9.5,-+-+,0.180246454,0.6633506754662535,0.30319741252569155,-1,0.6063948250513831
ANKRD20A4,+-++,0.2272754,0.751119450694196,0.3834670989372382,-1,0.7669341978744764
GAS1,--+-,0.123801009,0.8812246460836396,0.23358488479037376,-1,0.4671697695807475
C15orf39,--+-,0.290824781,0.8415811419318731,0.2768350735482146,-1,0.5536701470964293
RP11-566K19.8,+---,0.121323951,0.16141443475979103,0.9362072063469198,1,0.32282886951958206
SH3BGRL,-++-,0.02931218,0.0746973791962666,0.6336214908478776,1,0.1493947583925332
MYCNOS,-++-,0.054442523,0.9116063505249734,0.10173018603648516,-1,0.20346037207297032
LINC02298,--++,0.091116676,0.9601194279063692,0.11947026496249391,-1,0.23894052992498782
