gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
CIT,++++++,0.07641718,0.019150922490458067,0.9982378999976932,1,0.038301844980916135
RP11-284N8.3,+-----,0.043252009,0.9918249747194727,0.01915843217153105,-1,0.0383168643430621
MORF4L1,++++-+,0.02673236,0.019182644170907984,0.9886099982927528,1,0.03836528834181597
TMEM219,++++++,0.140772981,0.019183576322500926,0.9992379358277756,1,0.03836715264500185
ATXN7,----++,0.058336228,0.9615474139792011,0.01919081874964882,-1,0.03838163749929764
POLR2G,+++-+-,0.056286881,0.019191217606640106,0.9546187712474795,1,0.03838243521328021
ERH,++++--,0.055954736,0.01919592256033125,0.8913884020536186,1,0.0383918451206625
TAS2R13,----++,0.006144318,0.4779495874284536,0.01920415373601081,-1,0.03840830747202162
TMEM248,----+-,0.057517317,0.987083258622256,0.019208215455376217,-1,0.03841643091075243
RP11-370K11.1,-+----,0.025519231,0.9050182630582819,0.0192092284058718,-1,0.0384184568117436
WDFY3-AS2,-+---+,0.001254817,0.9240543323779967,0.019236510422995044,-1,0.03847302084599009
ATAD3B,++++++,0.092887399,0.019237156535086758,0.9990951635666251,1,0.038474313070173516
PWWP2A,----+-,0.055002792,0.9677849657881837,0.019268308835461784,-1,0.03853661767092357
RP1-111C20.4,--+---,0.04272302,0.9901637749407548,0.01926924585548221,-1,0.03853849171096442
SEC24AP1,----++,0.018852624,0.8726106334018974,0.019273810080230092,-1,0.038547620160460185
ACER3,------,0.028415908,0.9963022302194817,0.019289869264176356,-1,0.03857973852835271
ZMYND15,+++++-,0.113358969,0.019303705450523446,0.9953913697974351,1,0.03860741090104689
DDX56,-++++-,0.038630109,0.019318651121846497,0.9587308002655753,1,0.038637302243692995
RP11-397O4.1,+---+-,0.018701615,0.6793619061451774,0.019331163399033013,-1,0.03866232679806603
ARPC4,-+++--,0.015777406,0.01934087506629054,0.6413470600360685,1,0.03868175013258108
ST13P5,+--+--,0.012570209,0.8446948146225961,0.019343257907926556,-1,0.03868651581585311
SNORD116-30,+-----,0.025208139,0.9851128837969589,0.019357152480043785,-1,0.03871430496008757
RPS6,++++++,0.087253226,0.01937447455604818,0.9991188901207233,1,0.03874894911209636
AREL1,----+-,0.08192016,0.9878060674738146,0.019395888916357386,-1,0.03879177783271477
RIT1,------,0.036549585,0.9953665513059328,0.019397564552636942,-1,0.038795129105273884
AC007255.8,------,0.028906451,0.9982051136713934,0.01940705219781506,-1,0.03881410439563012
SNX8,-+++++,0.023601971,0.01941486358968704,0.987116148105663,1,0.03882972717937408
RP11-446E9.1,+-----,0.023635102,0.9771011467771099,0.019420116410601092,-1,0.038840232821202185
GPC5,-----+,0.026207921,0.9080085145544211,0.019424972925677367,-1,0.038849945851354734
RPL30,++++++,0.065028403,0.019435955842231175,0.9991188686731703,1,0.03887191168446235
GPR85,------,0.148960759,0.9995936856389934,0.019449286808577285,-1,0.03889857361715457
GK5,+---+-,0.02192553,0.7972609209771618,0.019465783469434287,-1,0.038931566938868574
CTXND1,+---+-,0.015411808,0.9701187000543298,0.019479520729907676,-1,0.03895904145981535
MIR3936,+++-+-,2.462e-4,0.1948243886563384,0.019485547199215275,-1,0.03897109439843055
GPR6,+-++++,0.046820814,0.019500642371323634,0.9818145056328659,1,0.03900128474264727
KPNA1,------,0.080736033,0.9993327650392829,0.019501032440502844,-1,0.03900206488100569
ZBTB6,------,0.119005456,0.999388647595751,0.01953467544872949,-1,0.03906935089745898
GNS,------,0.08399113,0.9988864016168341,0.019547401766828336,-1,0.03909480353365667
