brain_region,region_location
lateral nucleus glomerular division, lateral nucleus glomerular division <  lateral nucleus ventral division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
paralmainar nucleus glomerular part, paralmainar nucleus glomerular part <  paralmainar nucleus  <  paralaminar nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
nucleus of the diagonal band horizontal division, nucleus of the diagonal band horizontal division <  nucleus of the diagonal band  <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
nucleus of the diagonal band vertical division, nucleus of the diagonal band vertical division <  nucleus of the diagonal band  <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
islands of calleja, islands of calleja <  olfactory tubercle  <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter 
body of the caudate nucleus, body of the caudate nucleus <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
head of the caudate nucleus, head of the caudate nucleus <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
tail of the caudate nucleus, tail of the caudate nucleus <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
paraventricular nucleus of the hypothalamus descending division dorsal parvicellular part, paraventricular nucleus of the hypothalamus descending division dorsal parvicellular part <  paraventricular nucleus of the hypothalamus descending division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus descending division forniceal part, paraventricular nucleus of the hypothalamus descending division forniceal part <  paraventricular nucleus of the hypothalamus descending division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus descending division lateral parvicellular part, paraventricular nucleus of the hypothalamus descending division lateral parvicellular part <  paraventricular nucleus of the hypothalamus descending division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus descending division medial parvicellular part ventral zone, paraventricular nucleus of the hypothalamus descending division medial parvicellular part ventral zone <  paraventricular nucleus of the hypothalamus descending division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus magnocellular division anterior magnocellular part, paraventricular nucleus of the hypothalamus magnocellular division anterior magnocellular part <  paraventricular nucleus of the hypothalamus magnocellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus magnocellular division medial magnocellular part, paraventricular nucleus of the hypothalamus magnocellular division medial magnocellular part <  paraventricular nucleus of the hypothalamus magnocellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part, paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part <  paraventricular nucleus of the hypothalamus magnocellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus parvicellular division anterior parvicellular part, paraventricular nucleus of the hypothalamus parvicellular division anterior parvicellular part <  paraventricular nucleus of the hypothalamus parvicellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus parvicellular division medial parvicellular part dorsal zone, paraventricular nucleus of the hypothalamus parvicellular division medial parvicellular part dorsal zone <  paraventricular nucleus of the hypothalamus parvicellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus parvicellular division periventricular part, paraventricular nucleus of the hypothalamus parvicellular division periventricular part <  paraventricular nucleus of the hypothalamus parvicellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
medial mammillary nucleus lateral part, medial mammillary nucleus lateral part <  medial mammillary nucleus  <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
medial mammillary nucleus medial part, medial mammillary nucleus medial part <  medial mammillary nucleus  <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
medial mammillary nucleus basal division, medial mammillary nucleus basal division <  medial mammillary nucleus  <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
premammillary nucleus dorsal part, premammillary nucleus dorsal part <  premammillary nucleus  <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
premammillary nucleus ventral part, premammillary nucleus ventral part <  premammillary nucleus  <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter 
medial preoptic nucleus central part, medial preoptic nucleus central part <  medial preoptic nucleus  <  medial preoptic area  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
medial preoptic nucleus lateral part, medial preoptic nucleus lateral part <  medial preoptic nucleus  <  medial preoptic area  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
medial preoptic nucleus medial part, medial preoptic nucleus medial part <  medial preoptic nucleus  <  medial preoptic area  <  preoptic region  <  hypothalamus  <  diencephalon  < gray matter 
dorsal lateral geniculate nucleus magnocellular layers, dorsal lateral geniculate nucleus magnocellular layers <  dorsal lateral geniculate nucleus  <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
dorsal lateral geniculate nucleus parvocellular layers, dorsal lateral geniculate nucleus parvocellular layers <  dorsal lateral geniculate nucleus  <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
dorsal lateral geniculate nucleus s and intercalated layers, dorsal lateral geniculate nucleus s and intercalated layers <  dorsal lateral geniculate nucleus  <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
lateral posterior nucleus of the thalamus, lateral posterior nucleus of the thalamus <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
anterior nucleus of the pulvinar, anterior nucleus of the pulvinar <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
inferior nucleus of the pulvinar, inferior nucleus of the pulvinar <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
lateral nucleus of the pulvinar, lateral nucleus of the pulvinar <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
medial nucleus of the pulvinar, medial nucleus of the pulvinar <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
basal ventral medial nucleus of the thalamus, basal ventral medial nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral anterior nucleus of the thalamus, ventral anterior nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral lateral anterior nucleus of the thalamus, ventral lateral anterior nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral lateral posterior nucleus of the thalamus, ventral lateral posterior nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral medial nucleus of the thalamus, ventral medial nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral posterior inferior nucleus of the thalamus, ventral posterior inferior nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral posterior lateral nucleus of the thalamus, ventral posterior lateral nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral posterior medial nucleus of the thalamus, ventral posterior medial nucleus of the thalamus <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
anterodorsal nucleus of medial geniculate complex, anterodorsal nucleus of medial geniculate complex <  dorsal nucelus of medial geniculate complex  <  medial geniculate complex  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
posterodorsal nucleus of medial geniculate complex, posterodorsal nucleus of medial geniculate complex <  dorsal nucelus of medial geniculate complex  <  medial geniculate complex  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
mediodorsal nucleus of the thalamus parvocellular division, mediodorsal nucleus of the thalamus parvocellular division <  mediodorsal nucleus of the thalamus  <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
mediodorsal nucleus of the thalamus magnocellular division, mediodorsal nucleus of the thalamus magnocellular division <  mediodorsal nucleus of the thalamus  <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
mediodorsal nucleus of the thalamus densocelllular division, mediodorsal nucleus of the thalamus densocelllular division <  mediodorsal nucleus of the thalamus  <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
mediodorsal nucleus of thalamus multiform lateral division, mediodorsal nucleus of thalamus multiform lateral division <  mediodorsal nucleus of the thalamus  <  medial group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
I II, I II <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
III, III <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
IV, IV <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
V, V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VI, VI <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIAf, VIIAf <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIAt, VIIAt <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIB, VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIIA, VIIIA <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIIB, VIIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
IX, IX <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
X, X <  Flocculonodular Lobe of the Vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
crus I, crus I <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
crus II, crus II <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
caudal pontine reticular nucleus, caudal pontine reticular nucleus <  pontine reticular formation  <  paramedian pontine reticular formation  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
oral pontine reticular nucleus, oral pontine reticular nucleus <  pontine reticular formation  <  paramedian pontine reticular formation  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
reticulotegmental nucleus, reticulotegmental nucleus <  pontine reticular formation  <  paramedian pontine reticular formation  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
lateral superior olivary nucleus, lateral superior olivary nucleus <  superior olive  <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
medial superior olivary nucleus, medial superior olivary nucleus <  superior olive  <  superior olivary complex  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter 
frontal pole superior aspect, frontal pole superior aspect <  frontal pole  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
frontal pole inferior aspect, frontal pole inferior aspect <  frontal pole  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
frontal pole medial aspect, frontal pole medial aspect <  frontal pole  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter 
