brain_region,region_location
solitary nucleus commissural subnucleus, solitary nucleus commissural subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus dorsal subnucleus, solitary nucleus dorsal subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus dorsolateral subnucleus, solitary nucleus dorsolateral subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus gelantinosus subnucleus, solitary nucleus gelantinosus subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus interstitial subnucleus, solitary nucleus interstitial subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus intermediate subnucleus, solitary nucleus intermediate subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus meidal subnucleus, solitary nucleus meidal subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus paracommissural part, solitary nucleus paracommissural part <  solitary nucleus  <  myelencephalon  < gray matter 
solitary nucleus ventral subnucleus, solitary nucleus ventral subnucleus <  solitary nucleus  <  myelencephalon  < gray matter 
ventrolateral subnucleus of solitary tract, ventrolateral subnucleus of solitary tract <  solitary nucleus  <  myelencephalon  < gray matter 
caudal spinal trigeminal nucleus, caudal spinal trigeminal nucleus <  spinal trigeminal nucleus  <  myelencephalon  < gray matter 
interpolar part of spinal trigeminal nucleus, interpolar part of spinal trigeminal nucleus <  spinal trigeminal nucleus  <  myelencephalon  < gray matter 
oral part of spinal trigeminal nucleus, oral part of spinal trigeminal nucleus <  spinal trigeminal nucleus  <  myelencephalon  < gray matter 
lateral vestibular nucleus, lateral vestibular nucleus <  vestibular nuclei  <  myelencephalon  < gray matter 
medial vestibular nucleus, medial vestibular nucleus <  vestibular nuclei  <  myelencephalon  < gray matter 
spinal vestibular nucleus, spinal vestibular nucleus <  vestibular nuclei  <  myelencephalon  < gray matter 
superior vestibular nucleus, superior vestibular nucleus <  vestibular nuclei  <  myelencephalon  < gray matter 
anterior commissure, anterior commissure <  telencephalic commissures  <  telencephalic white matter  < white matter 
corpus callosum, corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter 
habenular commissure, habenular commissure <  telencephalic commissures  <  telencephalic white matter  < white matter 
hippocampal commissure, hippocampal commissure <  telencephalic commissures  <  telencephalic white matter  < white matter 
posterior commissure, posterior commissure <  telencephalic commissures  <  telencephalic white matter  < white matter 
supramamillary commissure, supramamillary commissure <  telencephalic commissures  <  telencephalic white matter  < white matter 
acoustic radiation, acoustic radiation <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
arcuate fasciculus, arcuate fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
alveus, alveus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
amygdalotegmental tract, amygdalotegmental tract <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
angular bundle, angular bundle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
ansa lenticularis, ansa lenticularis <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
ansa peduncularis, ansa peduncularis <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
bundle X, bundle X <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
cingulum bundle, cingulum bundle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
comb fibers, comb fibers <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
corona radiata, corona radiata <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
corticobulbar tract, corticobulbar tract <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
external capsule, external capsule <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
external medullary lamina of globus pallidus, external medullary lamina of globus pallidus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
external medullary lamina of thalamus, external medullary lamina of thalamus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
extreme capsule, extreme capsule <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
fornix, fornix <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
inferior longitudinal fasciculus, inferior longitudinal fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
inferior thalamic peduncle, inferior thalamic peduncle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
internal capsule, internal capsule <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
internal medullary lamina of globus pallidus, internal medullary lamina of globus pallidus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
internal medullary lamina of thalamus, internal medullary lamina of thalamus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
lateral longitudinal stria, lateral longitudinal stria <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
lenticular fasciculus, lenticular fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
mammillary peduncle, mammillary peduncle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
mammillotegmental tract, mammillotegmental tract <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
mammillothalamic tract, mammillothalamic tract <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
medial forebrain bundle, medial forebrain bundle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
medial longitudinal stria, medial longitudinal stria <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
Meyer s loop of optic radiation, Meyer s loop of optic radiation <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
middle longitudinal fasciculus, middle longitudinal fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
occipitofrontal fasciculus, occipitofrontal fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
orbito polar tract, orbito polar tract <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
perforant path, perforant path <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
perpendicular fasciculus, perpendicular fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
pontine bundle, pontine bundle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
rostral thalamic peduncle, rostral thalamic peduncle <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
sagittal stratum, sagittal stratum <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
short association fibers, short association fibers <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
stratum zonale of thalamus, stratum zonale of thalamus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
stria medullaris, stria medullaris <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
stria terminalis, stria terminalis <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
subcallosal fasciculus, subcallosal fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
subthalamic fasciculus, subthalamic fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
superficial presubicular path, superficial presubicular path <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
superior longitudinal fasciculus, superior longitudinal fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
thalamic fasciculus, thalamic fasciculus <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
uncinate fasciculus of the forebrain, uncinate fasciculus of the forebrain <  telencephalic white matter tracts  <  telencephalic white matter  < white matter 
inferior cerebellar peduncle, inferior cerebellar peduncle <  cerebellar white matter tracts  <  metencephalic white matter  < white matter 
middle cerebellar peduncle, middle cerebellar peduncle <  cerebellar white matter tracts  <  metencephalic white matter  < white matter 
ponto cerebellar tract, ponto cerebellar tract <  cerebellar white matter tracts  <  metencephalic white matter  < white matter 
superior cerebellar peduncle, superior cerebellar peduncle <  cerebellar white matter tracts  <  metencephalic white matter  < white matter 
cortico pontine fibers, cortico pontine fibers <  pontine white matter tracts  <  metencephalic white matter  < white matter 
longitudinal fasciculus of the pons, longitudinal fasciculus of the pons <  pontine white matter tracts  <  metencephalic white matter  < white matter 
olfactory nerve, olfactory nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
optic nerve, optic nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
occulomotor nerve, occulomotor nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
trochlear nerve, trochlear nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
trigeminal nerve, trigeminal nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
abducens nerve, abducens nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
facial nerve, facial nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
vestibulocochlear nerve, vestibulocochlear nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
glossopharyngeal nerve, glossopharyngeal nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
vagus nerve, vagus nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
accessory nerve, accessory nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
hypoglossal nerve, hypoglossal nerve <  cranial nerves  <  myelencephalic white matter  < white matter 
decussation of medial lemniscus, decussation of medial lemniscus <  medial lemniscus  <  myelencephalic white matter  < white matter 
pyramidal decussation, pyramidal decussation <  pyramidal tract  <  myelencephalic white matter  < white matter 
callosal sulcus, callosal sulcus <  major divisions  <  telencephalic spaces  < sulci spaces 
central sulcus, central sulcus <  major divisions  <  telencephalic spaces  < sulci spaces 
longitudinal fissure, longitudinal fissure <  major divisions  <  telencephalic spaces  < sulci spaces 
sylvian fissure, sylvian fissure <  major divisions  <  telencephalic spaces  < sulci spaces 
anteiror parolfactory sulcus, anteiror parolfactory sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
cingulate sulcus, cingulate sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
frontomarginal sulcus, frontomarginal sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
fronto orbital sulcus, fronto orbital sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
inferior frontal sulcus, inferior frontal sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
inferior rostral sulcus, inferior rostral sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
intermediate frontal sulcus, intermediate frontal sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
medial frontal sulcus, medial frontal sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
olfactory sulcus, olfactory sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
orbital sulcus, orbital sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
paracentral sulcus, paracentral sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
posterior parolfactory sulcus, posterior parolfactory sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
precentral sulcus, precentral sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
superior frontal sulcus, superior frontal sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
superior rostral sulcus, superior rostral sulcus <  frontal lobe sulci  <  telencephalic spaces  < sulci spaces 
central sulcus of insula, central sulcus of insula <  insular lobe sulci  <  telencephalic spaces  < sulci spaces 
circular sulcus, circular sulcus <  insular lobe sulci  <  telencephalic spaces  < sulci spaces 
hippocampal sulcus, hippocampal sulcus <  limbic lobe sulci  <  telencephalic spaces  < sulci spaces 
sulcus semi anularis, sulcus semi anularis <  limbic lobe sulci  <  telencephalic spaces  < sulci spaces 
uncal sulcus, uncal sulcus <  limbic lobe sulci  <  telencephalic spaces  < sulci spaces 
calcarine sulcus, calcarine sulcus <  occipital lobe sulci  <  telencephalic spaces  < sulci spaces 
lateral occipital sulcus, lateral occipital sulcus <  occipital lobe sulci  <  telencephalic spaces  < sulci spaces 
lunate sulcus, lunate sulcus <  occipital lobe sulci  <  telencephalic spaces  < sulci spaces 
parieto occipital sulcus, parieto occipital sulcus <  occipital lobe sulci  <  telencephalic spaces  < sulci spaces 
preoccipital notch, preoccipital notch <  occipital lobe sulci  <  telencephalic spaces  < sulci spaces 
transverse occipital sulcus, transverse occipital sulcus <  occipital lobe sulci  <  telencephalic spaces  < sulci spaces 
intraparietal sulcus, intraparietal sulcus <  parietal lobe sulci  <  telencephalic spaces  < sulci spaces 
postcentral sulcus, postcentral sulcus <  parietal lobe sulci  <  telencephalic spaces  < sulci spaces 
primary intermediate sulcus, primary intermediate sulcus <  parietal lobe sulci  <  telencephalic spaces  < sulci spaces 
secondary intermediate sulcus, secondary intermediate sulcus <  parietal lobe sulci  <  telencephalic spaces  < sulci spaces 
subparietal sulcus, subparietal sulcus <  parietal lobe sulci  <  telencephalic spaces  < sulci spaces 
superior parietal sulcus, superior parietal sulcus <  parietal lobe sulci  <  telencephalic spaces  < sulci spaces 
angular sulcus, angular sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
anterior occipital sulcus, anterior occipital sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
collateral sulcus, collateral sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
inferior temporal sulcus, inferior temporal sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
middle temporal sulcus, middle temporal sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
parahippocampal ramus, parahippocampal ramus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
parahippocampal sulcus, parahippocampal sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
rhinal sulcus, rhinal sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
superior temporal sulcus, superior temporal sulcus <  temporal lobe sulci  <  telencephalic spaces  < sulci spaces 
precentral fissure, precentral fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
preculminate fissure, preculminate fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
intraculminate fissure, intraculminate fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
primary fissure, primary fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
superior posterior fissure, superior posterior fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
horizontal fissure, horizontal fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
ansoparamedian fissure, ansoparamedian fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
prepyramidal prebiventer fissure, prepyramidal prebiventer fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
intrabiventer fissure, intrabiventer fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
secondary fissure, secondary fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
posterolateral fissure, posterolateral fissure <  cerebellar sulci  <  metencephalic spaces  < sulci spaces 
septum pallucidum, septum pallucidum <  lateral ventricle  <  ventricles  < sulci spaces 
choroid plexus of the lateral ventricle, choroid plexus of the lateral ventricle <  lateral ventricle  <  ventricles  < sulci spaces 
choroid plexus of the third ventricle, choroid plexus of the third ventricle <  third ventricle  <  ventricles  < sulci spaces 
choroid plexus of the fourth ventricle, choroid plexus of the fourth ventricle <  fourth ventricle  <  ventricles  < sulci spaces 
cerebral cortex, cerebral cortex <  telencephalon  < gray matter 
cerebral nuclei, cerebral nuclei <  telencephalon  < gray matter 
epithalamus, epithalamus <  diencephalon  < gray matter 
hypothalamus, hypothalamus <  diencephalon  < gray matter 
subthalamus, subthalamus <  diencephalon  < gray matter 
thalamus, thalamus <  diencephalon  < gray matter 
midbrain tectum, midbrain tectum <  mesencephalon  < gray matter 
midbrain tegmentum, midbrain tegmentum <  mesencephalon  < gray matter 
pretectal region, pretectal region <  mesencephalon  < gray matter 
cerebellum, cerebellum <  metencephalon  < gray matter 
pons, pons <  metencephalon  < gray matter 
accessory cuneate nucleus, accessory cuneate nucleus <  myelencephalon  < gray matter 
ambiguus nucleus, ambiguus nucleus <  myelencephalon  < gray matter 
arcuate nucleus of medulla, arcuate nucleus of medulla <  myelencephalon  < gray matter 
area postrema, area postrema <  myelencephalon  < gray matter 
central glial substance, central glial substance <  myelencephalon  < gray matter 
central gray of the medulla, central gray of the medulla <  myelencephalon  < gray matter 
cochlear nuclei, cochlear nuclei <  myelencephalon  < gray matter 
conterminalis, conterminalis <  myelencephalon  < gray matter 
cuneate nucleus, cuneate nucleus <  myelencephalon  < gray matter 
dorsal motor nucleus of the vagus, dorsal motor nucleus of the vagus <  myelencephalon  < gray matter 
endolemniscal nucleus, endolemniscal nucleus <  myelencephalon  < gray matter 
epifascicular nucleus, epifascicular nucleus <  myelencephalon  < gray matter 
external accessory lateral cuneate nucleus, external accessory lateral cuneate nucleus <  myelencephalon  < gray matter 
gracile nucleus, gracile nucleus <  myelencephalon  < gray matter 
hypoglossal nucleus, hypoglossal nucleus <  myelencephalon  < gray matter 
inferior olivary complex, inferior olivary complex <  myelencephalon  < gray matter 
inferior salivatory nucleus, inferior salivatory nucleus <  myelencephalon  < gray matter 
intercalated nucleus, intercalated nucleus <  myelencephalon  < gray matter 
interfascicular hypoglossal nucleus, interfascicular hypoglossal nucleus <  myelencephalon  < gray matter 
interpositus nucleus, interpositus nucleus <  myelencephalon  < gray matter 
lateral pericuneate nucleus, lateral pericuneate nucleus <  myelencephalon  < gray matter 
medial pericuneate nucleus, medial pericuneate nucleus <  myelencephalon  < gray matter 
medullary reticular formation, medullary reticular formation <  myelencephalon  < gray matter 
nucleus of Roller, nucleus of Roller <  myelencephalon  < gray matter 
paratrigeminal nucleus, paratrigeminal nucleus <  myelencephalon  < gray matter 
peritrigeminal nucleus, peritrigeminal nucleus <  myelencephalon  < gray matter 
pontobulbar nucleus, pontobulbar nucleus <  myelencephalon  < gray matter 
prepositus nucleus, prepositus nucleus <  myelencephalon  < gray matter 
raphe nuclei of medulla, raphe nuclei of medulla <  myelencephalon  < gray matter 
retroambiguus nucleus, retroambiguus nucleus <  myelencephalon  < gray matter 
solitary nucleus, solitary nucleus <  myelencephalon  < gray matter 
spinal trigeminal nucleus, spinal trigeminal nucleus <  myelencephalon  < gray matter 
suprageniculate nucleus of the medulla, suprageniculate nucleus of the medulla <  myelencephalon  < gray matter 
supraspinal nucleus, supraspinal nucleus <  myelencephalon  < gray matter 
vestibular nuclei, vestibular nuclei <  myelencephalon  < gray matter 
telencephalic commissures, telencephalic commissures <  telencephalic white matter  < white matter 
telencephalic white matter tracts, telencephalic white matter tracts <  telencephalic white matter  < white matter 
brachium of the inferior colliculus, brachium of the inferior colliculus <  mesencephalic white matter  < white matter 
brachium of the superior colliculus, brachium of the superior colliculus <  mesencephalic white matter  < white matter 
central tegmental tract midbrain portion, central tegmental tract midbrain portion <  mesencephalic white matter  < white matter 
cerebral peduncle crus cerebri, cerebral peduncle crus cerebri <  mesencephalic white matter  < white matter 
commissure of the inferior colliculus, commissure of the inferior colliculus <  mesencephalic white matter  < white matter 
corticobulbar tract midbrain portion, corticobulbar tract midbrain portion <  mesencephalic white matter  < white matter 
mesencephalic trigeminal tract, mesencephalic trigeminal tract <  mesencephalic white matter  < white matter 
cerebellar white matter tracts, cerebellar white matter tracts <  metencephalic white matter  < white matter 
pontine white matter tracts, pontine white matter tracts <  metencephalic white matter  < white matter 
cranial nerves, cranial nerves <  myelencephalic white matter  < white matter 
amiculum of the olive, amiculum of the olive <  myelencephalic white matter  < white matter 
cuneate fasciculus, cuneate fasciculus <  myelencephalic white matter  < white matter 
dorsal longitudinal fasciculus, dorsal longitudinal fasciculus <  myelencephalic white matter  < white matter 
medial longitudinal fasciculus, medial longitudinal fasciculus <  myelencephalic white matter  < white matter 
central tegmental tract, central tegmental tract <  myelencephalic white matter  < white matter 
corticobulbar tract hindbrain portion, corticobulbar tract hindbrain portion <  myelencephalic white matter  < white matter 
corticospinal tract, corticospinal tract <  myelencephalic white matter  < white matter 
fasciculus retroflexus, fasciculus retroflexus <  myelencephalic white matter  < white matter 
gracile fasciculus, gracile fasciculus <  myelencephalic white matter  < white matter 
hilus of the inferior olive, hilus of the inferior olive <  myelencephalic white matter  < white matter 
internal arcuate fibers, internal arcuate fibers <  myelencephalic white matter  < white matter 
lateral lemniscus, lateral lemniscus <  myelencephalic white matter  < white matter 
medial lemniscus, medial lemniscus <  myelencephalic white matter  < white matter 
pyramidal tract, pyramidal tract <  myelencephalic white matter  < white matter 
solitary tract, solitary tract <  myelencephalic white matter  < white matter 
spinal lemniscus in hindbrain, spinal lemniscus in hindbrain <  myelencephalic white matter  < white matter 
spinal trigeminal tract, spinal trigeminal tract <  myelencephalic white matter  < white matter 
tectospinal tract, tectospinal tract <  myelencephalic white matter  < white matter 
ventral tegmental tract, ventral tegmental tract <  myelencephalic white matter  < white matter 
vestibulomesencephalic tract, vestibulomesencephalic tract <  myelencephalic white matter  < white matter 
major divisions, major divisions <  telencephalic spaces  < sulci spaces 
frontal lobe sulci, frontal lobe sulci <  telencephalic spaces  < sulci spaces 
insular lobe sulci, insular lobe sulci <  telencephalic spaces  < sulci spaces 
limbic lobe sulci, limbic lobe sulci <  telencephalic spaces  < sulci spaces 
occipital lobe sulci, occipital lobe sulci <  telencephalic spaces  < sulci spaces 
parietal lobe sulci, parietal lobe sulci <  telencephalic spaces  < sulci spaces 
temporal lobe sulci, temporal lobe sulci <  telencephalic spaces  < sulci spaces 
cerebellar sulci, cerebellar sulci <  metencephalic spaces  < sulci spaces 
cerebral aquaduct, cerebral aquaduct <  myelencephalic spaces  < sulci spaces 
lateral ventricle, lateral ventricle <  ventricles  < sulci spaces 
third ventricle, third ventricle <  ventricles  < sulci spaces 
fourth ventricle, fourth ventricle <  ventricles  < sulci spaces 
central canal, central canal <  ventricles  < sulci spaces 
telencephalon, telencephalon < gray matter 
diencephalon, diencephalon < gray matter 
mesencephalon, mesencephalon < gray matter 
metencephalon, metencephalon < gray matter 
myelencephalon, myelencephalon < gray matter 
telencephalic white matter, telencephalic white matter < white matter 
mesencephalic white matter, mesencephalic white matter < white matter 
metencephalic white matter, metencephalic white matter < white matter 
myelencephalic white matter, myelencephalic white matter < white matter 
telencephalic spaces, telencephalic spaces < sulci spaces 
metencephalic spaces, metencephalic spaces < sulci spaces 
myelencephalic spaces, myelencephalic spaces < sulci spaces 
ventricles, ventricles < sulci spaces 
gray matter,gray matter
white matter,white matter
sulci spaces,sulci spaces
