gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
TFF1,+++,NA,NA,0.024697695642254165,0.01876461529686876,-,0.0375,0.1186721074001467,10.1,1
RASGEF1A,+-+,+++++-,--+-,0.02380613980409653,0.018804651837511906,-,0.0376,0.023336517,10.1,1
C5orf22,+--,+++++-,++-+,0.025011503405585223,0.018812526042082365,-,0.0376,0.013886175370205865,10.1,1
AGL,--+,------,++++,0.02532532626462857,0.018814413208062767,-,0.0376,0.018960268,10.1,1
CPE,+-+,------,++-+,0.02684513439670462,0.018818193813443174,-,0.0376,0.037919569,10.1,1
DUSP10,---,---++-,++++,0.020792701327663574,0.018820343216750413,-,0.0376,0.005437266,10.1,1
OTUD4,--+,----+-,+-++,0.02655440457606022,0.01882462490002376,-,0.0376,0.006587356,10.1,1
CTNNBIP1,++-,++++++,----,0.027490862201769512,0.01884319457844067,-,0.0377,0.01809901,10.1,1
FAM24A,+++,NA,NA,0.025039926990645677,0.01887868590657617,-,0.0378,0.08293841359606612,10.2,1
SMTNL1,+++,NA,NA,0.02509696554871093,0.01887868590657617,-,0.0378,0.038806750361870965,10.2,1
UQCRQ,++-,+++++-,--+-,0.027336735674503343,0.01891107876222677,-,0.0378,0.003687193,10.2,1
EFEMP2,++-,+++-++,-+++,0.027103685469655834,0.018933083110243172,-,0.0379,0.017774227,10.2,1
LCE1F,+++,NA,NA,0.02521104266484143,0.018935721211429876,-,0.0379,0.03500706384223788,10.2,1
RBPJL,+++,NA,NA,0.025154004106776182,0.018935721211429876,-,0.0379,0.07039101708615898,10.2,1
IRX2,---,NA,NA,0.025437745964752182,0.0189368012776637,-,0.0379,0.030724800996721924,10.2,1
FAT1,---,------,NA,0.034415667048538705,0.01894050381424461,-,0.0379,0.070445257,10.2,1
DMTN,+--,++++++,----,0.034048737693223995,0.018940624646266745,-,0.0379,0.001585887,10.2,1
