gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
HHIPL2,--+-,NA,NA,0.5633345136710431,0.3351709790498244,-,0.67,0.17000863266398591,180,1
OR4K17,+++-,NA,NA,0.33522816249195947,0.6408550764122155,+,0.67,0.1254455178248578,180,1
UTP23,++-+,--+-+---,NA,0.3352295073648938,0.6245849066823952,+,0.67,0.06399313,180,1
TOMM20,++++,++++-+++,-+--++,0.3352488947799714,0.5421960428453233,+,0.67,0.077468053,180,1
PTPRR,-+++,+---+-+-,-+---+,0.8923584516899185,0.33525089917922507,-,0.671,0.131573092,180,1
NPVF,++++,NA,NA,0.3352842160575499,0.37161420054003447,+,0.671,0.08960025359549004,180,1
OR6N1,-+-+,NA,NA,0.33528799609014015,0.39595855523424717,+,0.671,0.13963189983242025,180,1
ST8SIA4,---+,++--+-+-,NA,0.79688079394864,0.33529826314698497,-,0.671,0.04003857684656326,180,1
ASPM,---+,+++++--+,NA,0.42973071333786794,0.3353847580967631,-,0.671,0.141113142,180,1
SMC6,----,+---+---,+-+-+-,0.3354200946921771,0.5398941064233534,+,0.671,0.02845166640173278,180,1
MFAP4,--+-,+++++--+,NA,0.3354892063134369,0.5053357318494079,+,0.671,0.079824551999999993,180,1
PDE3B,-+-+,++--+++-,++-++-,0.7546637426913829,0.3355442193493001,-,0.671,0.036283427,181,1
CST2,+++-,NA,NA,0.7331451078297684,0.3355705899471644,-,0.671,0.11487505813227329,181,1
HYAL3,+-+-,++---+++,-+-+--,0.5434770393147585,0.33560263937532536,-,0.671,0.03675513368571259,181,1
ADAMTSL3,+---,+-+-+--+,NA,0.3356337280287202,0.6939308612156686,+,0.671,0.161840477,181,1
WDPCP,-+-+,-+--+---,NA,0.3356719901405644,0.9202566173299747,+,0.671,0.075594403,181,1
PDZD9,-+--,+----+-+,NA,0.8572709431749401,0.33574516719648395,-,0.671,0.005130173,181,1
AMY2B,---+,+++-++--,---++-,0.805494839641977,0.3357692818851865,-,0.672,0.075485112,181,1
ZNF813,---+,+++--+--,NA,0.33579350306236583,0.6875073990900915,+,0.672,0.080013299,181,1
C10orf82,----,--+-++++,NA,0.7101122635261048,0.33580488347300835,-,0.672,0.13063775235803146,181,1
OR8K5,+++-,NA,NA,0.3358081045256229,0.8402872871942273,+,0.672,0.2542908874447126,181,1
PRR34,----,+-+++-++,NA,0.33586659298379307,0.49759505898091483,+,0.672,0.031395216,181,1
TYW1,-+--,-++++-++,-----+,0.33588235082676526,0.35758130036528535,+,0.672,0.048267135,181,1
EIF4G2,+++-,-+++-++-,------,0.7383744970146631,0.33617553735048267,-,0.672,0.039972285,181,1
BCL7A,++++,++-+-+++,+-++++,0.8001005495120319,0.33620359415430745,-,0.672,0.067580056,181,1
ACER1,---+,NA,NA,0.751136732264034,0.3362260371190626,-,0.672,0.23876081889150075,181,1
MMP27,-+++,NA,NA,0.33631031628084845,0.6541457339157384,+,0.673,0.09429816728914557,181,1
GEMIN6,----,+++++-++,++----,0.336496691913319,0.8656159929128895,+,0.673,0.041325843,181,1
HSPA6,----,NA,NA,0.33653263709426773,0.42845970773202846,+,0.673,0.12959816991796963,181,1
ERF,----,--+--+++,+---+-,0.8336332139082138,0.33653824180159686,-,0.673,0.057508864,181,1
ANKRD31,----,++++++-+,NA,0.3365850344973159,0.9733219300729288,+,0.673,0.177716271,181,1
SOX14,-++-,NA,NA,0.4064095894266619,0.3366768001068156,-,0.673,0.07128686525762427,181,1
TFPI,+---,+++-+++-,NA,0.3366785584994414,0.7982311836121748,+,0.673,0.114382126,181,1
PRAC2,-++-,NA,NA,0.3366851933409491,0.8177631256730558,+,0.673,0.20779585477328655,181,1
EFCAB1,--++,--+-----,NA,0.3366935503234295,0.6861352356963974,+,0.673,0.077576038,181,1
PCDHGA12,----,--+-----,NA,0.33672197730220177,0.7323898713237862,+,0.673,0.046544028,181,1
GNPNAT1,++++,++---+++,+--+--,0.33686812318868303,0.6804176091001312,+,0.674,0.059767135,181,1
METTL5,++++,++++++++,--+--+,0.37792381009027576,0.33689410338808695,-,0.674,0.038996442,181,1
ALDH18A1,++++,+++---+-,++++++,0.3369424013817445,0.776860400068893,+,0.674,0.102304869,181,1
USP21,--+-,+-+-+-++,+-+---,0.3370130819634039,0.804549690148793,+,0.674,0.11399897,181,1
