gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
SCRT2,+++-,NA,NA,0.10010266940451745,0.11783493982775338,+,0.2,0.0885755999553159,53.9,1
TMSB10,+-+-,+---++++,-++---,0.1176766035503052,0.1001081726214921,-,0.2,0.002855243,53.9,1
AKAP8L,++--,+++-++++,+-+---,0.12176470855533618,0.10012878950983212,-,0.2,0.094509457,53.9,1
LAP3,-+--,+++++-++,----++,0.1273758131094345,0.10013230030320347,-,0.2,0.006969476,53.9,1
PBK,--+-,NA,NA,0.100153995323105,0.11795573807894136,+,0.2,0.11288020552531539,53.9,1
TAGLN3,+-+-,++++-+++,-+----,0.13075406745584778,0.10015969665259125,-,0.2,0.01183731,53.9,1
LYSMD1,-+--,++++++++,+--+--,0.1215084294176564,0.10020809597968477,-,0.2,0.046433302,53.9,1
PRSS23,-+++,++-+++++,++++--,0.10021778538321505,0.1195642830277481,+,0.2,0.023254494,53.9,1
RGPD4,-+--,++++++++,NA,0.1395325115951902,0.10024079637385076,-,0.2,0.168822174,53.9,1
UNC45A,+-+-,+++-++++,++++--,0.11602162620506044,0.1002580707091454,-,0.201,0.002072659,53.9,1
PTPN13,-+-+,+++++---,+-+-+-,0.11432177276716346,0.10030265134802552,-,0.201,0.003121536,54,1
CISD1,+-++,++++-+++,-+---+,0.11532132510344417,0.10031696727688431,-,0.201,0.025971139,54,1
TLR9,----,NA,NA,0.10032510123766611,0.11812685375313713,+,0.201,0.18297482683235125,54,1
PCNXL4,++-+,-+------,NA,0.1691993976294438,0.10034554305924874,-,0.201,0.087415981,54,1
FOXRED1,+-+-,--+-+-++,--+---,0.10036497510513248,0.11855086431907146,+,0.201,0.020677135,54,1
SPDYE6,---+,NA,NA,0.10038213654251982,0.11824093086926762,+,0.201,0.15241040604927023,54,1
GLTPD2,----,NA,NA,0.10038213654251982,0.11818389231120237,+,0.201,0.29451793103524526,54,1
HMGB2,--++,++++++++,---+++,0.12322913813235149,0.10038238986308186,-,0.201,0.030411236,54,1
GINM1,-+--,+++++---,+--+++,0.10039689938968129,0.11529885565688434,+,0.201,0.048364513,54,1
WDR17,++++,----+-+-,++++++,0.10040633455636734,0.11335411021921482,+,0.201,0.062874124,54,1
