gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
ZCCHC8,+-++++--,0.194851404,0.49780364173332137,0.5155205611930128,1,0.9956072834666427
MPV17,++---++-,0.22951236,0.8660312990870539,0.40480229336234624,-1,0.8096045867246925
TLE2,+++---+-,0.058305243,0.15698383028272697,0.9506168631349288,1,0.31396766056545394
RARRES2,+-+-+++-,0.185058708,0.9588584709572818,0.13060056183203833,-1,0.26120112366407666
AP1M1,-++++---,0.178703652,0.31381904035040037,0.8367461982463287,1,0.6276380807008007
C3orf54,++--+---,0.079300843,0.3589477850902792,0.6258241308672317,1,0.7178955701805584
ASPHD2,++++---+,0.097217135,0.12468529279968021,0.9797965495520512,1,0.24937058559936043
DPF1,+-+++---,0.141367603,0.21357931095610683,0.9015333438227252,1,0.42715862191221365
CCDC109A,-+++--+-,0.144755993,0.25318649145640487,0.8794721280566008,1,0.5063729829128097
COX19,--+++-+-,0.081181648,0.32150284702678733,0.8354637344285272,1,0.6430056940535747
SEPX1,+-+--+--,0.211689888,0.5120548780802607,0.6346947318772387,1,1.0241097561605215
EFTUD1,+++-+--+,0.172497004,0.5033851567483885,0.6277946110174537,1,1.006770313496777
C12orf43,-+----++,0.293055899,0.7288727760316205,0.5374393997878958,-1,1.0748787995757916
DUOXA2,+-+++---,0.124941199,0.28367073099635154,0.89713111350084,1,0.5673414619927031
SLC22A17,++-+-++-,0.167451966,0.3312948583156924,0.7532168925707559,1,0.6625897166313848
PLXND1,++++--+-,0.215411985,0.20543837396131642,0.9714481890373656,1,0.41087674792263285
CYB5R1,++--++-+,0.24065618,0.941928492874654,0.2540505502435611,-1,0.5081011004871222
TNFRSF14,++---++-,0.07538118,0.5226468773231803,0.493639204049738,-1,0.987278408099476
PRKCI,----++-+,0.148832959,0.9869992394263316,0.10967014325792736,-1,0.21934028651585472
TMEM68,+-+--+-+,0.230973502,0.5938810435618506,0.5424506658305719,-1,1.0849013316611438
GPC4,++--++--,0.311759738,0.791318492207562,0.3756237526616719,-1,0.7512475053233438
PDIK1L,+---++++,0.166471442,0.9765239165271662,0.0890152939311537,-1,0.1780305878623074
LOC390705,-+++---+,0.126040262,0.17446382631040175,0.9255406288337188,1,0.3489276526208035
NSMCE2,-+----+-,0.108382678,0.443494731683523,0.7967114673086491,1,0.886989463367046
CXorf1,++-+-++-,0.226058146,0.5539763824291812,0.668294269653869,1,1.1079527648583625
DOK1,++++----,0.073826873,0.08638317544435346,0.9828381133649662,1,0.17276635088870693
RAB33B,--+-++--,0.154380524,0.7423984280474403,0.30549698304705514,-1,0.6109939660941103
C17orf71,-+--+-+-,0.183394944,0.7703626102986647,0.35919671327624897,-1,0.7183934265524979
RPL23AP7,--+++-++,0.112334363,0.6544375824680201,0.5807624300585126,-1,1.1615248601170252
NRSN2,+--++---,0.371597566,0.4405823162373961,0.8811432184322538,1,0.8811646324747922
STK32B,+-+++--+,0.117125655,0.38185122200576915,0.8090809410680944,1,0.7637024440115383
RPL9,-+---+++,0.236419101,0.8373078307973278,0.22807004199812494,-1,0.4561400839962499
SYNPR,-++----+,0.073721348,0.34324962707828016,0.6647366746652843,1,0.6864992541565603
LPHN3,++++--+-,0.247287172,0.21839842088684858,0.9608504728835457,1,0.43679684177369715
SH3BGR,----++++,0.147407116,0.996695256651484,0.05481113731172943,-1,0.10962227462345886
TXNDC16,+---++--,0.183579775,0.8703266895786601,0.26868172756833064,-1,0.5373634551366613
CCNK,--++-++-,0.123193446,0.6383649017849453,0.3911462534433877,-1,0.7822925068867754
SHROOM2,++-+--++,0.085061423,0.25804964386124335,0.8921511581228542,1,0.5160992877224867
TCEA1,-+-+-++-,0.170279775,0.5078859089376233,0.6671353016883407,1,1.0157718178752466
SETD1A,+++---+-,0.102253464,0.2057128556589803,0.9580845723900788,1,0.4114257113179606
LRCH2,++---+--,0.123846067,0.3507905768507075,0.7808577011297513,1,0.701581153701415
HUWE1,++++++--,0.076588483,0.09817429149779694,0.968244158492443,1,0.19634858299559388
TIMP1,+-+++-+-,0.093333989,0.4912102951663305,0.6253760459564134,1,0.982420590332661
PITPNM1,+--++--+,0.047565449,0.44152907063728103,0.5795394974383787,1,0.8830581412745621
SDC2,-+---+-+,0.041406835,0.8959808948158083,0.29647052942467594,-1,0.5929410588493519
PCBD1,-+--++++,0.316630712,0.9093585362687114,0.4111709361862415,-1,0.822341872372483
GON4L,+--++---,0.141038951,0.43307175983024837,0.605545187159004,1,0.8661435196604967
C9orf16,+++---+-,0.188879213,0.30284851122524975,0.8624319853988941,1,0.6056970224504995
C9orf163,-+-+++++,0.050447846,0.8322647360873653,0.2366191727550332,-1,0.4732383455100664
RPL13A,-++---++,0.156625375,0.4859400090432411,0.5491816771641248,1,0.9718800180864822
RPS4Y1,++-+--++,0.243232303,0.43057424795785126,0.7059285916050837,1,0.8611484959157025
ZFP3,++++++--,0.174534738,0.2764900638022081,0.948611767678829,1,0.5529801276044162
GLUD2,++----++,0.20134794,0.4808391229661176,0.5613961841234577,1,0.9616782459322352
VPS4B,-+--++++,0.162742135,0.9930803695262331,0.11910822934635619,-1,0.23821645869271238
HIVEP1,-+--++--,0.252044569,0.49472469160143606,0.6631619300371803,1,0.9894493832028721
XPO1,-+-+--+-,0.168451311,0.231940208355973,0.9056889927390689,1,0.463880416711946
AIFM3,--++-++-,0.143737734,0.8041467158744771,0.3417402529765981,-1,0.6834805059531962
ALG14,---++--+,0.404732116,0.8741088289736275,0.4611790850979511,-1,0.9223581701959022
ZNF513,--+-+-+-,0.096970693,0.5857998874222227,0.6628895407047628,1,1.1715997748444453
ACCN3,-+++---+,0.160020506,0.3232056326714399,0.8808622546525735,1,0.6464112653428798
NAPRT1,++++--+-,0.16669485,0.2908472605870986,0.9229466550483494,1,0.5816945211741972
COIL,----+-++,0.167850468,0.9605124398392362,0.21458937276127574,-1,0.4291787455225515
NLGN1,-+-++--+,0.210071442,0.41254219841875434,0.7695529503758461,1,0.8250843968375087
SLC38A3,-+++++-+,0.380955431,0.8329187919032736,0.6546040690406472,-1,1.3092081380812943
ZNF768,+-++--++,0.154690824,0.1813876171241079,0.8846842307325428,1,0.3627752342482158
ZNF304,-+-+-+--,0.097697191,0.17044660515201188,0.9047155751040694,1,0.34089321030402375
FTH1,+-++-++-,0.205483895,0.5720300700362315,0.6389245629324662,1,1.144060140072463
NUDT12,--+-++-+,0.155396629,0.9156292377811179,0.1963328411399727,-1,0.3926656822799454
FARS2,+-++---+,0.113877154,0.35554337775848355,0.7592192439205037,1,0.7110867555169671
NUDT17,++++----,0.157356086,0.05592743435473552,0.9985293655028553,1,0.11185486870947103
ATMIN,+--+----,0.269302434,0.22459598313373896,0.9754536441862843,1,0.4491919662674779
NFKB1,+++-+---,0.142010768,0.23163172677321794,0.8374283499392676,1,0.4632634535464359
MRPL24,-+++-++-,0.202167228,0.4980987675212264,0.7414705143157434,1,0.9961975350424528
LOC150759,-+-++-+-,0.15865927,0.3678741194841658,0.8851179157530962,1,0.7357482389683316
SERPINA9,++-+-+-+,0.082546067,0.6372472171198595,0.4955955109790217,-1,0.9911910219580434
B3GNT4,-+--+-+-,0.146899813,0.6145624634964062,0.5588658536268737,-1,1.1177317072537474
UFSP2,--+-+-++,0.109070412,0.9409545128398993,0.3336953879267197,-1,0.6673907758534394
NOTUM,+++-+---,0.274943071,0.3067974514448848,0.9425489586886409,1,0.6135949028897696
AMT,+-++-++-,0.139980712,0.4764947700693087,0.6577368109302113,1,0.9529895401386174
TBR1,-++--+-+,0.228745131,0.7479448304338019,0.48316807951003854,-1,0.9663361590200771
ZNF295,+-+--+--,0.234233146,0.36009794584292115,0.8261139944136633,1,0.7201958916858423
D2HGDH,++++----,0.133797659,0.10163802755300806,0.9954329714539185,1,0.20327605510601612
AUP1,---++-+-,0.155293071,0.4604596704457374,0.840291187706128,1,0.9209193408914748
WDR44,+++-+---,0.211879494,0.2363770667977672,0.9556160065996705,1,0.4727541335955344
G0S2,+++-----,0.175283801,0.1526419939598619,0.958071415245199,1,0.3052839879197238
ZSWIM5,---+-++-,0.138912828,0.7208941602093691,0.3167144213039724,-1,0.6334288426079449
PCDH20,-+-+-++-,0.115200094,0.7501822934297788,0.42972641918189786,-1,0.8594528383637957
KRT81,+-+-----,0.135092135,0.15257815291045573,0.9637608854443045,1,0.30515630582091147
KCNT2,-+-++-++,0.276326779,0.80820515720857,0.30635064845033677,-1,0.6127012969006735
ABI3,-++-+++-,0.183225,0.6220330991187866,0.5921224346517419,-1,1.1842448693034837
PLCG1,--+-+++-,0.285342509,0.8158186037231059,0.31945913949034077,-1,0.6389182789806815
STK25,++-++-++,0.320801124,0.5906117977838126,0.7636261569457777,1,1.1812235955676251
