gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
GOLGA8A,+-+++-+-,0.108155524,0.15896488588493435,0.5224010877551076,1,0.3179297717698687,0.2823433685923515,0.3995728668768433,0.564686737184703
PPP1R12B,+--+-+++,0.010667603,0.15903403809024877,0.17859477307599356,1,0.31806807618049754,0.2824450772986168,0.3995728668768433,0.5648901545972336
ADNP,-+-+--+-,0.099679963,0.7731056153966844,0.1590363990372117,-1,0.3180727980744234,0.2825180514593715,0.399613506916192,0.565036102918743
AP4S1,--++--++,0.035269569,0.15918326457739126,0.47969303810398917,1,0.31836652915478253,0.28254678600488203,0.3996745652394996,0.5650935720097641
CBLB,+-++-++-,0.030409831,0.1592295895253512,0.4449722122546615,1,0.3184591790507024,0.2826484947111473,0.3996745652394996,0.5652969894222946
PRKAB1,-++++---,0.007827154,0.15928716866404638,0.49935226456972454,1,0.31857433732809276,0.2827502034174125,0.3996745652394996,0.565500406834825
ACAA2,----+-++,0.010761236,0.7845261754003766,0.1592955112828425,-1,0.318591022565685,0.2828231465473406,0.39971521562245726,0.5656462930946812
MEF2C,++-----+,0.031092416,0.5994182484355042,0.15941776313344422,-1,0.31883552626688844,0.2828231465473406,0.3998169243287225,0.5656462930946812
RPS25,-+++++++,0.22363221,0.15964049762641563,0.9498717232635641,1,0.31928099525283127,0.2828519121236778,0.39987796196481235,0.5657038242473555
SLK,-++--+++,0.044880618,0.15964385682002677,0.305417863836681,1,0.31928771364005354,0.282953620829943,0.39987796196481235,0.565907241659886
TMEM155,-++----+,0.124568633,0.9233431865712475,0.15966527624868412,-1,0.31933055249736825,0.2830265432726533,0.3999186330349878,0.5660530865453066
TUSC1,+---+--+,0.06766264,0.6734472298600969,0.15974702044112038,-1,0.31949404088224076,0.2830265432726533,0.40002034174125306,0.5660530865453066
LRRN2,++-++-++,0.045688951,0.15980888444221464,0.4733457973609657,1,0.3196177688844293,0.2830553295362083,0.40008135869012507,0.5661106590724166
ZBTB48,-++++-+-,0.018544195,0.6259879776698054,0.15981245610468928,-1,0.31962491220937855,0.2831282416353097,0.4001220504475183,0.5662564832706194
COL8A2,--+-+-++,0.052461985,0.31616794050415115,0.15982986479031858,-1,0.31965972958063715,0.2831282416353097,0.40022375915378355,0.5662564832706194
ABCA5,+--+-+++,0.124170974,0.15983782314694572,0.5064780555645044,1,0.31967564629389145,0.28315703824247357,0.4002847554154378,0.5663140764849471
TM9SF2,+---++++,0.008929963,0.5721885380758408,0.15988706449343731,-1,0.31977412898687463,0.28322993999796603,0.4003254678600488,0.5664598799959321
VPS39,++++--+-,0.081289888,0.1599451862976599,0.932518646885233,1,0.3198903725953198,0.2832587469487388,0.4003864537780942,0.5665174938974776
