gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
C10orf12,-++-+-,0.011192978,0.013671894734947752,0.8285256438662308,1,0.027343789469895505,0.10517749974570237,0.12438974776240846,0.21035499949140474
RNF175,-++--+,0.055329213,0.11191499086490703,0.7463551316068079,1,0.22382998172981405,0.29437493642559254,0.2970911310008137,0.5887498728511851
HEATR5B,+-----,0.176132584,0.4627728666034365,0.5802466578111087,1,0.925545733206873,0.49374427830332623,0.46613100081366965,0.9322620016273393
DDR2,--+++-,0.045746067,0.44944132086744765,0.05552975439729405,-1,0.1110595087945881,0.21470707892595606,0.22469738582036416,0.4294141578519121
CRBN,---+-+,0.068020037,0.9168401200706482,0.05346485326056858,-1,0.10692970652113716,0.2115541090317331,0.2216458142610111,0.4231082180634662
NSUN4,+-++--,0.08265618,0.2261542255468057,0.3829058487454573,1,0.4523084510936114,0.39355101210456717,0.38323840520748575,0.7664768104149715
DAGLA,+++---,0.012169757,0.010090831908035634,0.9955426731927535,1,0.02018166381607127,0.09032651815685078,0.1080146460537022,0.18065303631370155
SLIT1,--++--,0.058665169,0.09598723333264382,0.741505419995224,1,0.19197446666528764,0.27413284508188385,0.2794955248169243,0.5482656901637677
SEC22A,+-++-+,0.073789139,0.5429969026367676,0.43347638988796794,-1,0.8669527797759359,0.4878966639544345,0.4604821483063778,0.9209642966127556
DOPEY2,++-+--,0.073583052,0.12331772550567716,0.7992681643020292,1,0.2466354510113543,0.30790357033872445,0.3079739625711961,0.6158071406774489
SF3B4,+-+-+-,0.064425375000000007,0.1035864057988285,0.6112708132134981,1,0.207172811597657,0.2833892788119215,0.28803905614320585,0.566778557623843
LPHN2,+++--+,0.184801311,0.3113823035717379,0.74073550101468,1,0.6227646071434758,0.44268131421015156,0.4254475183075671,0.8508950366151342
FURIN,+++---,0.072170787,0.028548461703869852,0.9975666671932087,1,0.057096923407739704,0.1532906113315024,0.17310821806346624,0.3065812226630048
KCNQ4,-++---,0.080240169,0.012355175859900654,0.9832690663262967,1,0.024710351719801307,0.09978638999084528,0.11798209926769732,0.19957277998169057
TBC1D4,+-++--,0.034345037,0.09141747441030809,0.67472279530077794,1,0.18283494882061618,0.2687417353270268,0.2749186330349878,0.5374834706540536
DMWD,-++++-,0.018025375,0.12011799774244102,0.5038750639163669,1,0.24023599548488203,0.30475027972739294,0.3047192839707079,0.6094385679414158
LIFR,+--+++,0.036789045,0.9979051095520692,0.0017388040148060826,-1,0.0034776080296121652,0.03173311635475997,0.044552944766554775,0.06346623270951994
FBL,-+-+--,0.060131461,0.6818731010844975,0.240106755391226,-1,0.480213510782452,0.40337672904800653,0.38999084528532196,0.7799816905706439
ASH1L,-+++--,0.041688109,0.04633928359170072,0.8416970814349107,1,0.09267856718340144,0.19713152273420811,0.20687550854353132,0.39426304546841623
ALKBH7,-+-+--,0.077593165,0.24157828233862483,0.7707142689725418,1,0.48315656467724966,0.40402807445834604,0.39117168429617577,0.7823433685923515
ERAL1,--++--,0.036090449,0.594794001821607,0.1788351755433165,-1,0.357670351086633,0.36096419853539463,0.35428745804089107,0.7085749160817821
PHF14,+++--+,0.177581929,0.24625495782240409,0.821555635658729,1,0.49250991564480817,0.4067744888617638,0.39422294548413345,0.7884458909682669
WDR59,-+-+--,0.010631367,0.8861034284998875,0.035527049820611716,-1,0.07105409964122343,0.17229454841334418,0.1878750890041705,0.34458909682668837
ZNF320,+++-++,0.238693727,0.28412250656404875,0.8051843995056076,1,0.5682450131280975,0.4284406469331706,0.41303905614320585,0.8260781122864117
TMEM41A,-++++-,0.186127903,0.3285130456764113,0.6559548698010507,1,0.6570260913528226,0.4502085240565558,0.43195687550854356,0.8639137510170871
REPS1,-++---,0.099250187,0.021905340587360822,0.9930010062633935,1,0.043810681174721644,0.13274336283185842,0.1538852725793328,0.26548672566371684
SREBF2,+--+--,0.048139607,0.3526224328095876,0.1232809377784446,-1,0.2465618755568892,0.30787225386493083,0.30790357033872445,0.6157445077298617
NDUFAF2,++---+,0.079139045,0.2797970185074656,0.3723236997467002,1,0.5595940370149312,0.4265079849455803,0.41171684296175753,0.8234336859235151
TDRD6,+---+-,0.159502341,0.7881547166644834,0.19497625525107662,-1,0.38995251050215324,0.3724572823433686,0.36578171091445427,0.7315634218289085
CCDC68,+--+++,0.033835112,0.9571667825958683,0.08221579836267527,-1,0.16443159672535054,0.25589910496338486,0.26263859220832064,0.5117982099267697
TOE1,-+++--,0.073529494,0.13313617831250033,0.43877568511232695,1,0.26627235662500065,0.31817719458854643,0.31733116354759966,0.6346623270951993
