gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NDRG1,--++-+++,0.09205206,0.1408712470886221,0.6865047018413366,1,0.2817424941772442
C7orf42,-+-+++-+,0.024500375,0.1408830446140208,0.6968646515774438,1,0.2817660892280416
C18orf21,++-+-+--,0.016506086,0.7079495107366007,0.14089599201512018,-1,0.28179198403024036
DBI,+-+-+-+-,0.020717041,0.2707603300890938,0.14095742789011595,-1,0.2819148557802319
INHBB,+++-+-+-,0.019285206,0.14101173379992857,0.4076701358039967,1,0.28202346759985714
KCNAB2,-+-+---+,0.033098502,0.5191029418962702,0.14102936394449833,-1,0.28205872788899666
KDELC2,--++--+-,0.038173783,0.14121580091203875,0.5341196529363925,1,0.2824316018240775
NOC4L,++--+-+-,0.039139607,0.7619547305972837,0.14128523291152723,-1,0.28257046582305445
ST6GALNAC5,-+---+++,0.023060955,0.5801795778754555,0.14130781344706092,-1,0.28261562689412184
HMGB3,-+++-+-+,0.192178464,0.14131628355833384,0.8765451848316788,1,0.2826325671166677
R3HDM2,--+--+--,0.134742697,0.8199856979304494,0.14135700382580477,-1,0.28271400765160953
HMBOX1,--+-----,0.063898408,0.7930869421935018,0.1414351205336137,-1,0.2828702410672274
LRRN1,-+------,0.199070787,0.9870220476739489,0.1414934294382734,-1,0.2829868588765468
POLR2F,+-+-+-++,0.003614045,0.26320409584605875,0.14150653079663342,-1,0.28301306159326683
HES1,++-+---+,0.029395506,0.14152446520308756,0.22118833370589544,1,0.2830489304061751
MPP1,--+--+-+,0.087505899,0.9515517416487242,0.14161753635346636,-1,0.2832350727069327
XPNPEP1,---+--++,0.099209925,0.5436845512942098,0.14178479120762338,-1,0.28356958241524677
TCEAL4,-+-++-++,0.011436985,0.7783575332201267,0.14179610940564438,-1,0.28359221881128877
S100A6,+++---+-,0.032213015,0.14198931986286442,0.20860699801410443,1,0.28397863972572884
SLC39A10,+------+,0.163313109,0.9868289677759385,0.14201877525938408,-1,0.28403755051876817
MAP4K3,-+-+-+--,0.021657772,0.9012495546582027,0.14211625101456635,-1,0.2842325020291327
NEBL,+--+-++-,0.014258895,0.14220443328391658,0.647482257570647,1,0.28440886656783315
DNAJA2,+++---++,0.061210487,0.1422497711590618,0.3482044637895214,1,0.2844995423181236
B3GAT2,---+++-+,0.032097566,0.47497349719171805,0.14230899841694553,-1,0.28461799683389105
ABI2,-+-+-+-+,0.082963109,0.14236928082392974,0.37742096840279116,1,0.2847385616478595
RPL12,+-+++-+-,0.037456273,0.1423704223005524,0.9077785618775766,1,0.2847408446011048
GOLGA4,--+++---,0.04038427,0.3086721813452734,0.14241498084529808,-1,0.28482996169059616
TRMT11,+----+--,0.081660019,0.9258542156723608,0.142416051255629,-1,0.284832102511258
RAGE,-+-++---,0.078099251,0.969275562639519,0.1426400059890448,-1,0.2852800119780896
KCTD9,+-+-++++,0.153743539,0.1426794396532763,0.893250748956987,1,0.2853588793065526
SGTB,-++-++-+,0.064364794,0.14280036953156394,0.2545111730547638,1,0.2856007390631279
ZNF358,+-++-++-,0.087510768,0.14285071424874554,0.6055469180013544,1,0.2857014284974911
RNF19B,----+--+,0.104615169,0.9435014066020607,0.14291225654607878,-1,0.28582451309215756
PRSS23,+++++---,0.023254494,0.14299238293390884,0.4291896124124769,1,0.2859847658678177
THADA,+-++-+--,0.00920412,0.41295393758319254,0.14301505113973434,-1,0.2860301022794687
EID2,-+-----+,0.088595037,0.6479847269780084,0.14301691504327155,-1,0.2860338300865431
SPIN1,-------+,0.146296348,0.9076875404187245,0.1430319030457994,-1,0.2860638060915988
KLKB1,--+++---,0.053722659,0.4075042627091225,0.14310334688579915,-1,0.2862066937715983
PPP1R7,++----++,0.091566105,0.499662520607324,0.1431132602594042,-1,0.2862265205188084
RIOK2,-+-+++-+,0.019357865,0.14316898264196587,0.3809389381300912,1,0.28633796528393174
LMTK3,+--+++--,0.040949719,0.1432998539507582,0.8273767835928135,1,0.2865997079015164
TMEM14C,-+---+++,0.056807772,0.4882644295700689,0.1433037347867633,-1,0.2866074695735266
NOM1,++-+-+-+,0.064948783,0.14330703369165287,0.5136098611522258,1,0.28661406738330575
CAMKK1,++++--+-,0.036274813,0.14333777271330558,0.5330650640140545,1,0.28667554542661117
EEF2,++-+-++-,0.064042228,0.14335128247646955,0.8215650831610704,1,0.2867025649529391
LOH12CR1,-++-+--+,0.041567603,0.6024040187283156,0.14335547939234408,-1,0.28671095878468816
CSF3,-++-+--+,0.010913483,0.14339075659706632,0.7597622641540913,1,0.28678151319413264
MOXD1,-+----++,0.033805993,0.4183722754467924,0.14339526162429636,-1,0.2867905232485927
MAP3K1,--+---+-,0.063543446,0.44593001803430066,0.14340413089258233,-1,0.28680826178516466
WTIP,+---+-+-,0.028685955,0.2594165628751728,0.14353066314031718,-1,0.28706132628063435
C10orf11,+--+----,0.184174532,0.9661413562453571,0.14356596044589523,-1,0.28713192089179046
KIAA1143,---+++-+,0.025684644,0.6067204620401458,0.1435840859743198,-1,0.2871681719486396
GPR137,++---+++,0.037970974,0.14361378174530168,0.629012470954858,1,0.28722756349060335
CCDC91,-+++++--,0.067667603,0.14363426786432482,0.7992014900215435,1,0.28726853572864963
NDP,-++--+++,0.031151592,0.14367114440833628,0.7797854750994089,1,0.28734228881667256
FZD3,++-----+,0.109471723,0.7711459485207887,0.14371012664369406,-1,0.28742025328738813
DLGAP2,++++----,0.024534363,0.44591088943393065,0.14373456433552825,-1,0.2874691286710565
C15orf24,-----+++,0.062676779,0.577683065384426,0.14398644647147035,-1,0.2879728929429407
KCNJ10,--+--+-+,0.034481554,0.3246098815401302,0.14400393860320357,-1,0.28800787720640714
GLDN,--++++--,0.040522846,0.21076852385699793,0.14400806655611165,-1,0.2880161331122233
LTA4H,-+--+-++,0.133867416,0.8939002335377509,0.14404821824240538,-1,0.28809643648481076
RPUSD2,-+-+-+--,0.023367603,0.5206279278425047,0.14439479067108235,-1,0.2887895813421647
TCF7L2,+----+++,0.018394382,0.14439921992907023,0.22075445783877587,1,0.28879843985814047
ARL3,+-+-++++,0.085137828,0.14444801871767096,0.8772392799887777,1,0.2888960374353419
TMEFF1,++---+++,0.020022191,0.1444916582857909,0.3382144483774085,1,0.2889833165715818
YTHDF3,-----+-+,0.023791386,0.5263373796657389,0.14458499653955398,-1,0.28916999307910796
PEX6,-+++++++,0.15364279,0.14459625279574745,0.9866435842608505,1,0.2891925055914949
PCGF2,+-+++---,0.019890637,0.14463195408832127,0.3409743494177613,1,0.28926390817664255
THAP7,+-++----,0.033751592,0.5617337189175977,0.14467675142749303,-1,0.28935350285498607
MRPS30,-----+-+,0.051739888,0.9496741613372967,0.14469952217977206,-1,0.2893990443595441
FAM129B,+-+-----,0.047736517,0.5300812291242323,0.14474053309554208,-1,0.28948106619108416
SRCRB4D,++++----,0.082382303,0.7508294042942303,0.1448127619235187,-1,0.2896255238470374
