gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
CNN3,+--+--,0.008732116,0.8531048874712526,0.015235846105436218,-1,0.030471692210872436,0.06834129970507474,0.10587876322213181,0.13668259941014949
IRF9,---+--,0.0201853,0.9591814789176852,0.015289255603744858,-1,0.030578511207489716,0.06834129970507474,0.10598047192839707,0.13668259941014949
RRAGC,+-+--+,0.01434176,0.015294429831161468,0.9304154521789384,1,0.030588859662322936,0.06834825061025224,0.10607139225058476,0.13669650122050447
IFI6,---+--,0.02553118,0.9944041526423383,0.015316640217298724,-1,0.030633280434597447,0.0684429980677311,0.10608218063466232,0.1368859961354622
PNMA2,-+-+-+,0.004309457,0.015332070393496726,0.5176277351257894,1,0.030664140786993452,0.0684499593165175,0.10617309061324112,0.136899918633035
CHST6,--++-+,0.008304026,0.22427672651806654,0.015333598131007828,-1,0.030667196262015656,0.06854469643038746,0.10618388934092758,0.13708939286077493
ADRBK2,-+++-+,0.016167884,0.015333660872895312,0.5116918411963671,1,0.030667321745790625,0.06855166802278274,0.10627478897589748,0.1371033360455655
SCARB2,--++-+,0.001883801,0.015335622313422462,0.05331724301021376,1,0.030671244626844923,0.068653376729048,0.10627478897589748,0.137306753458096
OPN3,-+-+--,0.003595693,0.8184395428960851,0.015347866213342606,-1,0.03069573242668521,0.0687480931557002,0.10628559804719284,0.1374961863114004
C5orf22,++-+++,0.004970037,0.015348414892379873,0.3664736839007257,1,0.030696829784759745,0.06875508543531327,0.10637648733855384,0.13751017087062653
CLN6,+++---,0.006270693,0.015367406310873528,0.15270945062743183,1,0.030734812621747057,0.06885679414157853,0.10637648733855384,0.13771358828315705
MAZ,++-+--,0.00204588,0.015384288263896087,0.5722326314941251,1,0.030768576527792173,0.06895850284784377,0.10637648733855384,0.13791700569568754
CAPZB,+-+-++,0.013522378,0.015384697788378717,0.5820104725873582,1,0.030769395576757435,0.06906021155410903,0.10637648733855384,0.13812042310821807
DYRK1A,----++,0.016869757,0.31590488147404694,0.01538821237541028,-1,0.03077642475082056,0.06915488660632564,0.1063873067534581,0.13830977321265128
MAP3K11,+-++++,0.021164326,0.015389416797188221,0.884590876437058,1,0.030778833594376442,0.0691619202603743,0.1064781857012102,0.1383238405207486
LRRC8B,------,0.024373408,0.9977816386659417,0.015393453679006502,-1,0.030786907358013003,0.069256584968982,0.10648901545972335,0.138513169937964
KCTD18,+++-++,0.027273034,0.015417770899125568,0.9786205688991491,1,0.030835541798251136,0.06926362896663954,0.10657988406386658,0.13852725793327908
C1orf162,--+---,0.01358015,0.9847561809198715,0.015421147306079469,-1,0.030842294612158937,0.06935828333163836,0.10659072416598861,0.13871656666327672
ATPAF2,---+--,0.017071161,0.9236686424950455,0.015428795137612144,-1,0.03085759027522429,0.06935828333163836,0.10669243287225387,0.13871656666327672
TRIM2,---+-+,0.015850562,0.1709057641322807,0.015465296103913449,-1,0.030930592207826898,0.06935828333163836,0.10679414157851912,0.13871656666327672
MYEF2,--++++,0.002047566,0.015466056127839937,0.1762433608538335,1,0.030932112255679874,0.0693653376729048,0.10688497915183566,0.1387306753458096
UROS,------,0.023256367,0.9972743936995666,0.015471570381401881,-1,0.030943140762803762,0.06945998169429472,0.10689585028478438,0.13891996338858945
GPBP1,--++++,0.003636985,0.015477134951212465,0.8255506831883306,1,0.03095426990242493,0.06946704637917006,0.10698667751449202,0.13893409275834012
CALD1,+--+-+,0.009763202,0.6542404490580426,0.015480023475386474,-1,0.030960046950772948,0.06956168005695108,0.10699755899104964,0.13912336011390217
CCDC76,---+++,0.009999251,0.565618012256471,0.015494003743223681,-1,0.030988007486447363,0.06956168005695108,0.10709926769731488,0.13912336011390217
