gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PRPSAP2,-+--,0.013322659,0.9656962666445841,0.0029526051282586286,-1,0.005905210256517257,0.040679345062544496,0.057567127746135066,0.08135869012508899
CD55,--+-,0.002989419,0.9770458042773246,0.0029565479543382984,-1,0.005913095908676597,0.040679345062544496,0.05766883645240033,0.08135869012508899
LSM3,-+--,0.010397004,0.9764667227691952,0.002957846715982053,-1,0.005915693431964106,0.040679345062544496,0.05777054515866558,0.08135869012508899
LOC81691,-+-+,0.005608052,0.14575271383322405,0.002960655304335837,-1,0.005921310608671674,0.040679345062544496,0.05787225386493084,0.08135869012508899
TMED10,+-+-,0.001043446,0.8725247909038019,0.002966404840184526,-1,0.005932809680369052,0.040679345062544496,0.057973962571196094,0.08135869012508899
KRBA2,--++,6.9e-5,0.0029679301602129255,0.25094830415464187,1,0.005935860320425851,0.04068348250610252,0.058069765076782263,0.08136696501220504
PTPN12,----,0.061129963,0.9996822735646859,0.002983112603716492,-1,0.005966225207432984,0.04078104342520086,0.05807567127746135,0.08156208685040171
FNTA,--+-,0.022753184,0.7306849502938386,0.00298590628832763,-1,0.00597181257665526,0.04078104342520086,0.05817737998372661,0.08156208685040171
LONRF2,+--+,0.00102603,0.4443829894815266,0.0029885186232288916,-1,0.005977037246457783,0.04078104342520086,0.05827908868999186,0.08156208685040171
KHDRBS3,---+,0.002885674,0.9599407230794782,0.00298966094567004,-1,0.00597932189134008,0.04078104342520086,0.05838079739625712,0.08156208685040171
SAR1A,----,0.021313577,0.9991132683027566,0.0029901790919926504,-1,0.005980358183985301,0.04078104342520086,0.058482506102522376,0.08156208685040171
GALK2,+-+-,0.001603277,0.002995560330831888,0.14658217341331353,1,0.005991120661663776,0.04078519121236778,0.05857825689006407,0.08157038242473556
SLC4A2,--+-,0.008827154,0.3264044402438337,0.0029961925664122708,-1,0.0059923851328245415,0.04088274178785722,0.05858421480878763,0.08176548357571443
RTN4IP1,-+--,0.007022846,0.8810737317166117,0.00299913997069474,-1,0.00599827994138948,0.04088274178785722,0.05868592351505289,0.08176548357571443
ZNF222,-+--,0.01905206,0.9751838687437283,0.0030077454280458688,-1,0.0060154908560917375,0.04088274178785722,0.058787632221318144,0.08176548357571443
GDAP1,-+--,0.008491292,0.792387131045696,0.003016355601232914,-1,0.006032711202465828,0.04088274178785722,0.058889340927583404,0.08176548357571443
