gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RSL1D1,--,0.325466386,0.4931749072655952,0.38955675887975666,-1,0.7791135177595133
CHMP2B,--,0.176385019,0.7351807853818112,0.2077036175091454,-1,0.4154072350182908
KATNAL1,+-,0.093859363,0.06238589926541895,0.9570602572011458,1,0.1247717985308379
LRP1B,-+,0.081677154,0.9855540973793173,0.0330212150241306,-1,0.0660424300482612
CBFB,++,0.334352434,0.48370183027258745,0.3985282486220592,-1,0.7970564972441184
RPL3,++,0.246843446,0.3015407298683115,0.6001061258453202,1,0.603081459736623
MED4,+-,0.1266147,0.12716676099791877,0.8641404166503678,1,0.25433352199583753
ZFP28,--,0.203869007,0.24630046518661866,0.6773225816387975,1,0.4926009303732373
GPR180,++,0.270923876,0.564300840411003,0.3298427848634719,-1,0.6596855697269438
C6orf192,++,0.159758052,0.7761373882524433,0.18215068582330776,-1,0.3643013716466155
CTNS,--,0.1803897,0.7275225658992771,0.2131641171786,-1,0.4263282343572
GP1BA,++,0.147243352,0.16211801388904712,0.8083662062357035,1,0.32423602777809424
GSK3A,--,0.307341105,0.5162560205820401,0.3701483962687306,-1,0.7402967925374612
YIPF2,-+,0.091449532,0.9642350139865683,0.056232098115917985,-1,0.11246419623183597
C14orf159,++,0.230659738,0.6286536081075057,0.2810909836230094,-1,0.5621819672460188
SLCO4A1,+-,0.087451685,0.04667747020936541,0.9740687198796697,1,0.09335494041873083
WDR20,+-,0.089824625,0.052300362729324465,0.9684620414587416,1,0.10460072545864893
ZNF32,--,0.193002622,0.7008451763381047,0.2309692433202349,-1,0.4619384866404698
ATP2B1,--,0.146637921,0.8107454985769427,0.16087168241855485,-1,0.3217433648371097
KLC4,-+,0.089738577,0.9688507135598304,0.05195385634095663,-1,0.10390771268191326
KBTBD2,+-,0.097531554,0.06947499518708243,0.948801752165361,1,0.13894999037416486
MRPL41,++,0.3278353,0.4928045554959324,0.3914463497697227,-1,0.7828926995394454
DNTTIP1,--,0.186951124,0.7141533894463055,0.22230856581857414,-1,0.4446171316371483
PPFIA4,++,0.148032116,0.16306820347001785,0.8073344664866353,1,0.3261364069400357
PIGU,++,0.32571133,0.49528445379944,0.3892447399817827,-1,0.7784894799635654
FHOD1,-+,0.093965356,0.9583754811196625,0.06153597922599307,-1,0.12307195845198614
STK36,++,0.349285019,0.46967600398511006,0.413003402657941,-1,0.826006805315882
NUDT9,-+,0.11874382,0.8887182401706176,0.11195265830327916,-1,0.22390531660655832
