gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ABCC8,----,0.190200562,0.9913856549415428,0.07550216939806553,-1,0.15100433879613107,0.161106590724166,0.2142203234665853,0.322213181448332
NDUFA10,-+++,0.066140169,0.07551367149276698,0.5476433040691259,1,0.15102734298553397,0.16112297833384193,0.21430024410089504,0.32224595666768385
NRCAM,-+++,0.019415075,0.07554678077343516,0.7556177923171615,1,0.15109356154687031,0.16122469738582038,0.21430024410089504,0.32244939477164075
POLR1E,-+-+,0.023391386,0.07554847973728002,0.7529509032423494,1,0.15109695947456003,0.1613264164377988,0.21430024410089504,0.3226528328755976
CKAP4,+-++,0.031298876,0.07561239114940115,0.8236884186257505,1,0.1512247822988023,0.16142813548977725,0.21430024410089504,0.3228562709795545
VTA1,---+,0.044767228,0.35227854954107835,0.07564266165693086,-1,0.1512853233138617,0.161513425549227,0.21432204251856374,0.323026851098454
LGMN,---+,0.003640075,0.0756680116930893,0.15795048160306022,1,0.1513360233861786,0.16152985454175567,0.2144019528071603,0.32305970908351134
FEZ2,-+++,0.080137734,0.07566827505249565,0.9208158042378224,1,0.1513365501049913,0.16163157359373412,0.2144019528071603,0.32326314718746824
EPHX2,---+,0.076545131,0.9499812253797622,0.07569882930714285,-1,0.1513976586142857,0.16171684296175753,0.21442376157054216,0.32343368592351507
ENSA,---+,0.021637734,0.6016194398217867,0.07574795320797835,-1,0.1514959064159567,0.16171684296175753,0.2145254806225206,0.32343368592351507
ATP8A1,+--+,0.018643446,0.14010087148937686,0.07576109844210384,-1,0.15152219688420768,0.16171684296175753,0.21462719967449903,0.32343368592351507
C6orf192,-++-,0.059164607,0.07577488759148801,0.8726104921155051,1,0.15154977518297602,0.16173329264571254,0.21470707892595606,0.3234665852914251
NCKAP1,-+-+,0.028719569,0.07594985442909896,0.11201997022188219,1,0.15189970885819792,0.161835011697691,0.21470707892595606,0.323670023395382
CUL5,---+,0.038052341,0.6248872813052978,0.0759841682924121,-1,0.1519683365848242,0.16192026037428803,0.21472891872647748,0.32384052074857606
MCPH1,-+--,0.063495225,0.9007886723150106,0.07602993320574411,-1,0.15205986641148822,0.16192026037428803,0.2148306377784559,0.32384052074857606
CBLN4,--++,0.023275281,0.0761051528025729,0.2037002930749178,1,0.1522103056051458,0.1619367307496694,0.21491049633848658,0.3238734614993388
KCNV1,----,0.117445131,0.9843288870791993,0.0761767945624615,-1,0.152353589124923,0.1620219690805533,0.21493235683043435,0.3240439381611066
SSSCA1,----,0.172689607,0.9816964312896301,0.07619633538852255,-1,0.1523926707770451,0.1620219690805533,0.21503407588241277,0.3240439381611066
NDE1,++--,0.012692884,0.07622487828135277,0.10591351483898755,1,0.15244975656270554,0.16203844980164786,0.2151139137510171,0.3240768996032957
PRPF19,-+++,0.070399906,0.07626658036458071,0.7770875754308564,1,0.15253316072916143,0.16214016885362628,0.2151139137510171,0.32428033770725256
MED29,-+++,0.074973502,0.07628073132980456,0.801351410848835,1,0.15256146265960913,0.16224188790560473,0.2151139137510171,0.32448377581120946
PDLIM2,--++,0.037327809000000003,0.0763843714221168,0.19136632914437182,1,0.1527687428442336,0.16234360695758315,0.2151139137510171,0.3246872139151663
CRTAP,-+--,0.05684794,0.4197989243467913,0.07642802437539904,-1,0.15285604875079808,0.16242880390561432,0.21513579493439122,0.32485760781122863
RNF219,++++,0.064596255,0.0764419299324801,0.9752565514671526,1,0.1528838598649602,0.1624453260095616,0.21521562245728235,0.3248906520191232
PPP1R14A,++-+,0.101772659,0.07648808519673773,0.7741408119586878,1,0.15297617039347547,0.16254704506154002,0.21521562245728235,0.32509409012308005
TFRC,+---,0.110815637,0.9440994655917,0.0764893466614548,-1,0.1529786933229096,0.16263222131814484,0.21523751398636964,0.3252644426362897
LAPTM4B,-+++,0.052400749,0.07649719080504944,0.410565956446153,1,0.15299438161009887,0.16264876411351847,0.2153173311635476,0.32529752822703695
ANKRD32,---+,0.071984551,0.8932023014681584,0.07651666303515782,-1,0.15303332607031564,0.16273393002441008,0.2153392330383481,0.32546786004882017
