gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RPS3,++++,0.090773783,0.07219576176308212,0.9708078871305802,1,0.14439152352616424
CSNK1G1,++--,0.017630431,0.484927130765496,0.07220246207409993,-1,0.14440492414819986
FGF1,--++,0.049352903,0.2572884830923472,0.07229641587583219,-1,0.14459283175166437
TMEM17,++--,0.004411236,0.19918365829377124,0.07229936397273774,-1,0.14459872794547549
TNNT2,++-+,0.047481742,0.07233148965866186,0.43405849465630375,1,0.14466297931732372
PPP3CB,-+--,0.019944007,0.5373256281605109,0.07234834998227588,-1,0.14469669996455176
NRCAM,++--,0.053917509,0.40633501401771766,0.07236914137651623,-1,0.14473828275303247
SCFD1,-+-+,0.031638764,0.31168955910326784,0.07240611543906372,-1,0.14481223087812745
SNX17,----,0.024544569,0.9300315436002446,0.07243297904824496,-1,0.14486595809648992
NEK1,++-+,0.104598315,0.07252508266787962,0.8387413638618629,1,0.14505016533575923
ARMCX2,++--,0.04785103,0.7402764245640263,0.07253608614907021,-1,0.14507217229814043
ZNF573,++++,0.073303464,0.07254338253070458,0.970742475127466,1,0.14508676506140916
PCDH17,----,0.098757959,0.9825475968635812,0.07258301613434423,-1,0.14516603226868846
WDFY1,+-+-,0.066180431,0.5184528529933928,0.07262994222924515,-1,0.1452598844584903
EEF1B2,-+--,0.070347378,0.7577405337741876,0.0726334499246869,-1,0.1452668998493738
CALM1,++-+,0.02586236,0.07265198415838886,0.3191514964221703,1,0.14530396831677772
MRPS10,+--+,0.007383333,0.07265622546223342,0.24109911539077378,1,0.14531245092446685
LRRC4,++--,0.042823034,0.45255869430521645,0.0727152984655232,-1,0.1454305969310464
PDGFA,-+--,0.034414045,0.31118152634665,0.07271845116196522,-1,0.14543690232393044
CCNL2,---+,0.080056554,0.9347172292233188,0.07279107472372298,-1,0.14558214944744596
MBNL2,--+-,0.027681461,0.89209141504092615,0.07282428860830568,-1,0.14564857721661137
CTXN1,---+,0.012541386,0.7043547216726391,0.07283627708248853,-1,0.14567255416497707
COMMD7,++++,0.079885487,0.07285653798576931,0.9676897345549096,1,0.14571307597153862
TFPT,++++,0.210619382,0.072891400426754,0.9924846312119839,1,0.145782800853508
UBL7,-+--,0.101770225,0.9399487525942977,0.07289470415407336,-1,0.1457894083081467
FHL1,-+--,0.020819944,0.6037246985365963,0.07289750216449478,-1,0.14579500432898956
DPP7,--++,0.025851311,0.07289907539599186,0.19356831033649471,1,0.14579815079198372
TP53BP1,+---,0.135551404,0.9634769319910635,0.07290276065490284,-1,0.14580552130980567
SNX13,---+,0.053395412,0.6342969189130612,0.07292750964493899,-1,0.14585501928987799
CD59,++-+,0.07666573,0.07296376899659722,0.7443298832241435,1,0.14592753799319444
DGKZ,+--+,0.012540824,0.07306009668966386,0.26131455780640056,1,0.14612019337932772
SFRS11,+--+,0.00494897,0.07307372102131521,0.16233523457598678,1,0.14614744204263042
