gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
TYRP1,--,0.008957303,0.9486229998381306,0.010221750649512104,-1,0.020443501299024208,0.04057764669988813,0.04597233523189585,0.08115529339977626
C9orf150,+-,0.176609551,0.7415084164095856,0.20606814655677475,-1,0.4121362931135495,0.27956879894233705,0.32699349064279903,0.5591375978846741
MPDZ,++,0.514269195,0.28774538174422276,0.8501529903272398,1,0.5754907634884455,0.33980878763222133,0.3922505847655853,0.6796175752644427
NFIB,++,0.05034382,0.01555708177864561,0.9937494860805567,1,0.03111416355729122,0.05370219690805533,0.06193430285772399,0.10740439381611067
ZDHHC21,--,0.168685019,0.9422451151080438,0.10485136471102703,-1,0.20970272942205406,0.18936235126614462,0.21592758340113913,0.37872470253228924
SNAPC3,--,0.008513296,0.8914747409776285,0.013250786109296723,-1,0.026501572218593446,0.04789992881114614,0.05482099267697315,0.09579985762229228
PSIP1,++,0.237364232,0.1298156982515375,0.9382614643268017,1,0.259631396503075,0.21318144833197722,0.24753381470558325,0.42636289666395444
SH3GL2,--,0.002046161,0.9486268340343367,0.002807809468538208,-1,0.005615618937076416,0.01566154784907963,0.01647681041497152,0.03132309569815926
RRAGA,--,0.550307116,0.8268519600810151,0.3203467191603336,-1,0.6406934383206672,0.3621478694193023,0.415073230268511,0.7242957388386047
DENND4C,+-,0.065585674,0.1136170305758999,0.6082357250585075,1,0.2272340611517998,0.19812855980471927,0.22699074544899828,0.39625711960943855
RPS6,+-,0.012283801,0.0315178043961932,0.49543993393315106,1,0.0630356087923864,0.08940195280716029,0.09935930031526492,0.17880390561432058
MLLT3,-+,0.186527154,0.23216552231055718,0.6751033874913988,1,0.46433104462111435,0.29922701383238404,0.34923217736194445,0.5984540276647681
KIAA1797,--,0.007017041,0.9921254623994236,0.0036868382965034962,-1,0.0073736765930069925,0.01881419709142683,0.01973148901545972,0.03762839418285366
PTPLAD2,++,0.361927528,0.15367122089388238,0.93374853278649,1,0.30734244178776476,0.2339300244100895,0.27509407098545713,0.467860048820179
KLHL9,-+,0.407418539,0.3358148519768171,0.7627503166283465,1,0.6716297039536342,0.37225386493083806,0.42438726736499544,0.7445077298616761
ELAVL2,--,5.81273e-4,0.9992905142763916,1.342829346258149e-4,-1,2.685658692516298e-4,7.118885385945286e-4,0.0010170870626525631,0.0014237770771890572
TUSC1,--,0.15865515,0.9129381937871868,0.12278413230542115,-1,0.2455682646108423,0.20736296145632055,0.237693246541904,0.4147259229126411
C9orf82,--,0.032968914,0.962658082632992,0.026583865794128178,-1,0.053167731588256356,0.08064680158649445,0.08889340927583401,0.1612936031729889
PLAA,+-,0.139249625,0.22967829917454194,0.38380627083175806,1,0.4593565983490839,0.2978030919446705,0.3467914166581918,0.595606183889341
IFT74,++,0.215155524,0.2038804443336313,0.822017379079427,1,0.4077608886672626,0.27786818551668024,0.32543476050035597,0.5557363710333605
