gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
KLHL9,-+++,0.035826404,0.022181999436425386,0.5814504171377001,1,0.04436399887285077
ANGEL1,++++,0.091721723,0.022191944544389625,0.9944158387808132,1,0.04438388908877925
SPDEF,--++,0.012744944,0.022211500080293475,0.16242072932992294,1,0.04442300016058695
NSL1,+---,0.046707959,0.44197711095463876,0.022278215247703844,-1,0.04455643049540769
SENP3,---+,0.005115169,0.8954871725302438,0.022296567264027914,-1,0.04459313452805583
ZDHHC9,++-+,0.005297753,0.022305644685172918,0.3849119647485814,1,0.044611289370345836
TMEM25,--+-,0.047112172,0.9503418295788026,0.022325002353984137,-1,0.044650004707968274
MON1A,----,0.100305899,0.9967642284910747,0.022372053210555323,-1,0.044744106421110645
DIS3,++++,0.043449251,0.022376535972756323,0.9894898087289778,1,0.044753071945512646
ANXA4,++++,0.043535019,0.022381679612568376,0.9895666414892781,1,0.04476335922513675
PUSL1,----,0.019524345,0.9886516545748751,0.02242601819849156,-1,0.04485203639698312
LRWD1,----,0.050470974,0.9783779784194142,0.02243235777835695,-1,0.0448647155567139
APBB2,++-+,0.0284353,0.0224961095717408,0.7931699769645769,1,0.0449922191434816
FLT1,-+-+,0.009397659,0.02255859911782402,0.67000381838938,1,0.04511719823564804
MRPL19,++++,0.07635412,0.022577919668276103,0.9917801587811386,1,0.045155839336552206
SRI,-+++,0.068723689,0.022597318298861375,0.6461404248690059,1,0.04519463659772275
CLEC2L,+---,0.017100468,0.9690314085203859,0.022606078335006687,-1,0.045212156670013375
IER5,----,0.127651685,0.998394209375018,0.02261992534150345,-1,0.0452398506830069
ZHX2,+-++,6.04213e-4,0.1868033312151548,0.022626657927488494,-1,0.04525331585497699
ANKRD13A,+--+,0.005989794,0.022647504921179052,0.14788993793730656,1,0.045295009842358104
GDPD5,----,0.024225094,0.9612814073832591,0.022666664552578705,-1,0.04533332910515741
USP22,-+-+,0.005581461,0.022683980080196536,0.542140250550656,1,0.04536796016039307
TMEM116,--++,9.82678e-4,0.41611285480892407,0.022694444578269836,-1,0.04538888915653967
XPO5,--+-,0.041405993,0.8304418391767033,0.022704524930438685,-1,0.04540904986087737
ERCC2,----,0.029464888,0.9878238916236726,0.022727758934386246,-1,0.04545551786877249
PEG10,-+++,0.073000468,0.02272926861133693,0.8505675807840245,1,0.04545853722267386
C2orf47,----,0.025356648,0.9848504344961901,0.022742291587703266,-1,0.04548458317540653
R3HCC1,+---,0.026829775,0.967783634071768,0.022748384390348576,-1,0.04549676878069715
CBX6,----,0.084014794,0.9886436811204098,0.022752617188698192,-1,0.045505234377396384
SP4,+-+-,0.016710393,0.022789080055689345,0.6434561732615436,1,0.04557816011137869
GTSE1,--++,0.025477154,0.022833882888381268,0.43207661614970366,1,0.045667765776762535
ERGIC1,--+-,0.014578558,0.7674083031782187,0.022882582026933922,-1,0.045765164053867845
NPB,--+-,0.025866573,0.9616418321794685,0.022891611498674986,-1,0.04578322299734997
NFE2L2,++-+,0.018832303,0.02295349557255158,0.6828428904925151,1,0.04590699114510316
BBS4,+-++,0.002768633,0.022979712653662526,0.8470730306190555,1,0.04595942530732505
SPON2,---+,0.004987453,0.9318236342936556,0.022987119598817128,-1,0.045974239197634256
ANK3,+---,0.032895318,0.5363907757076867,0.022989679559839268,-1,0.045979359119678535
MOBKL2A,-+--,0.00279279,0.21837125100857957,0.02299606262416812,-1,0.04599212524833624
SUMO1,-+++,0.005622191,0.02303112741306293,0.9079482176695218,1,0.04606225482612586
GDPD1,++-+,0.036764045,0.023053153751922933,0.9393481857251765,1,0.04610630750384587
FASN,+-+-,0.001567416,0.5901144502714972,0.0230567583120336,-1,0.0461135166240672
PACSIN3,--+-,0.003409082,0.7780224587992294,0.023079416208121258,-1,0.046158832416242516
ITGB2,+-++,0.024360955,0.023089381675557002,0.8481966874568725,1,0.046178763351114004
SESTD1,++++,0.05964382,0.023155483638687642,0.9966693226413976,1,0.046310967277375284
LRRC40,++++,0.081968446,0.02320107306727113,0.9961814801848964,1,0.04640214613454226
HAGH,--+-,0.0419103,0.9715748241047022,0.023215542102798303,-1,0.04643108420559661
C5orf22,++-+,0.076809363,0.023231453476479376,0.9725922601685655,1,0.04646290695295875
PTPN12,-+++,0.005727154,0.02323191250371255,0.9334851322063267,1,0.0464638250074251
KLF7,---+,0.003193727,0.25872465492255037,0.023232011530472055,-1,0.04646402306094411
SORBS2,--+-,0.047508427,0.6310584447810839,0.023262239994444274,-1,0.04652447998888855
CUGBP2,--+-,0.016642978,0.7563670689426888,0.023272037360228537,-1,0.046544074720457074
CUL2,++++,0.147417697,0.023273669857553893,0.9983467581290215,1,0.046547339715107786
TBC1D2,--+-,0.050403371,0.8071147150913074,0.023280602298924816,-1,0.04656120459784963
DDX11,+++-,0.035752903,0.02328935964336997,0.4262360531509957,1,0.04657871928673994
SLC6A13,-++-,0.00277088,0.6023699688018065,0.023305596401971506,-1,0.04661119280394301
MBD6,----,0.0561603,0.9901429271308907,0.023319525488390783,-1,0.04663905097678157
METRN,++++,0.029879494,0.02333020909757608,0.9718707401145882,1,0.04666041819515216
GTPBP5,++++,0.037779494,0.023363426026406817,0.9905879592924498,1,0.046726852052813635
KIF9,----,0.081091854,0.995316414495971,0.023380962534788545,-1,0.04676192506957709
RUFY3,-+++,0.038718727,0.023407813593163344,0.8910660326120887,1,0.04681562718632669
KATNB1,----,0.084457959,0.9957146979377944,0.023419273696053854,-1,0.04683854739210771
GRIK1,++-+,0.035042697,0.023429367336418865,0.8148770267937034,1,0.04685873467283773
NRD1,--+-,0.015242509,0.4566976900048644,0.023447331532169276,-1,0.04689466306433855
SCN4B,----,0.023841105,0.983537127687825,0.023464075922838272,-1,0.046928151845676544
FAM63A,++++,0.022822378,0.023497558359663922,0.9815049263463969,1,0.046995116719327844
CANT1,+-+-,0.0050853,0.2801003544191624,0.02353311505624709,-1,0.04706623011249418
PGLS,++++,0.088992884,0.023539751872628367,0.9962315337928547,1,0.04707950374525673
CDKL2,+-++,0.019019382,0.02355630809176077,0.9513580995320517,1,0.04711261618352154
WDR86,-+--,0.017389139,0.953090139735846,0.0235978641271891,-1,0.0471957282543782
NKX2-2,++++,0.042842509,0.02359835974251672,0.9802414700505898,1,0.04719671948503344
TMEM63B,----,0.031359644,0.9862365205596482,0.02360426104918735,-1,0.0472085220983747
TPT1,-+--,0.063971442,0.9524368634251006,0.023619372558249207,-1,0.047238745116498414
NEK3,++++,0.008325843,0.023622831501000065,0.9591525730093893,1,0.04724566300200013
PTPN3,----,0.098943165,0.9974732122499712,0.02362933016823144,-1,0.04725866033646288
DHX40,++-+,0.02491161,0.023700019885789587,0.3554995644815517,1,0.047400039771579174
MYH10,----,0.12043736,0.9977936213996081,0.023707023644567674,-1,0.04741404728913535
PNPLA4,-+++,0.037391199,0.023708843496362528,0.8173041007266182,1,0.047417686992725055
KITLG,----,0.036020693,0.9912831409541745,0.02372704787748294,-1,0.04745409575496588
CPT2,-+-+,0.014542884,0.023750552076100145,0.5787073478828654,1,0.04750110415220029
ANKFY1,--+-,0.073720506,0.6040081535695033,0.023760450969787315,-1,0.04752090193957463
CAPNS1,----,0.051407959,0.9797703703868188,0.023779416133349055,-1,0.04755883226669811
FGF2,--+-,0.002147004,0.774893665318598,0.023783200746451606,-1,0.04756640149290321
LIMA1,++-+,0.023284176,0.023792529055160983,0.8322734785845359,1,0.047585058110321966
C1orf114,++--,0.007166199,0.3619951524601272,0.02383206271486288,-1,0.04766412542972576
LIN37,----,0.039216667,0.9908583302581724,0.023835426137345954,-1,0.04767085227469191
RGS5,-+-+,0.004256648,0.7991033811380447,0.02384486336358071,-1,0.04768972672716142
PARP6,----,0.033158989,0.9866362738685404,0.02384965733446274,-1,0.04769931466892548
SATB2,----,0.054853184,0.9940467780486302,0.02387215690696953,-1,0.04774431381393906
TLK1,-+++,0.043486517,0.0238980638787132,0.7373400746405872,1,0.0477961277574264
USP46,++-+,0.028334738,0.02392547449658121,0.9192411970882514,1,0.04785094899316242
SOBP,--+-,0.037375843,0.8352711428047077,0.023926271509680158,-1,0.047852543019360316
ERLIN2,++-+,0.029861423,0.023956406181603686,0.9040371754026504,1,0.04791281236320737
FGD2,-+++,0.013003652,0.023961208257273794,0.5123736686276517,1,0.04792241651454759
RPS16,--+-,8.06086e-4,0.023984527892616878,0.3934401410094527,1,0.047969055785233757
