gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
QSER1,--+-+-,0.027767884,0.7904262614465888,0.12492115054093741,-1,0.24984230108187483
DKFZp686O24166,+++---,0.110605431,0.019710325953779473,0.9987174309040374,1,0.039420651907558946
RILP,-+-+--,0.170155712,0.722318241668324,0.4250278431338949,-1,0.8500556862677898
SPOCK1,+-++--,0.197554401,0.35328422700009493,0.8004419653787067,1,0.7065684540001899
CYB5R3,---++-,0.11929382,0.9357962800076416,0.23982448648206697,-1,0.47964897296413395
FBXO6,---+--,0.212822846,0.7213933456953211,0.4221148131438319,-1,0.8442296262876638
ZFAND1,-+---+,0.062880431,0.7915018170413342,0.27536043178749803,-1,0.5507208635749961
SEC22C,--+-++,0.025863202,0.7184876990229974,0.09971433699553625,-1,0.1994286739910725
ABCC8,-++---,0.190200562,0.08977574197915242,0.9822484301253355,1,0.17955148395830484
WDR45,-+--+-,0.191330805,0.44471638480593884,0.7834277623954395,1,0.8894327696118777
FAM71A,++----,0.168601873,0.13357180033957727,0.9265976342447918,1,0.26714360067915455
RANBP6,-++-++,0.151746067,0.6642372324670112,0.3197972256499493,-1,0.6395944512998986
LOXL3,--++-+,0.269128745,0.8578759514421934,0.34069528398517074,-1,0.6813905679703415
PECAM1,+++-++,0.192023783,0.340129485997591,0.8750152094326866,1,0.680258971995182
LYPLA2P1,++----,0.180870037,0.30364485758763593,0.7364437700995963,1,0.6072897151752719
GPX7,+-----,0.262745787,0.6984352844188062,0.5438542890517156,-1,1.0877085781034312
MRPL53,++---+,0.04649382,0.0984138902608192,0.763318180073005,1,0.1968277805216384
RPL7L1,-+---+,0.062173221,0.1555831217378317,0.5303741564326494,1,0.3111662434756634
TMEM14C,-+--++,0.083139326,0.9673200333090552,0.03409203142337326,-1,0.06818406284674652
LIG4,-+-+-+,0.084056367,0.8576893779083267,0.04487835534040346,-1,0.08975671068080691
ATP5I,-++--+,0.070543914,0.5029247481997036,0.22941979615985789,-1,0.45883959231971577
