gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SCN4B,+++---,0.011831273,0.024861885536526483,0.24894654472618155,1,0.049723771073052966
GSTT1,++++++,0.120517978,0.02489755333788853,0.9976904149688876,1,0.04979510667577706
DNAJC12,-+---+,0.001062079,0.09356944516728441,0.02491779943729048,-1,0.04983559887458096
DNAJC9,-----+,0.053659363,0.8184276027424887,0.024927578772347924,-1,0.04985515754469585
CTTN,+++---,0.015505524,0.6321573560486285,0.02496170856686427,-1,0.04992341713372854
GAS2L1,+-+---,0.044986985,0.7614516820035753,0.024965817142737913,-1,0.049931634285475826
RYK,+--+++,0.028810674,0.025023494937189184,0.3376085522104823,1,0.05004698987437837
B4GALT3,+--+--,0.007286985,0.6757011694768462,0.02502416005921794,-1,0.05004832011843588
EPHX2,-+---+,0.040617509,0.9645542139075108,0.02503958035366434,-1,0.05007916070732868
CFL2,---+++,0.033407397,0.41605125787092867,0.025042319418166533,-1,0.050084638836333066
USP11,+++--+,0.04101367,0.02504268246670458,0.6726775108914038,1,0.05008536493340916
GNL1,---+-+,0.03126882,0.6405488070963578,0.025047081948495215,-1,0.05009416389699043
UBA52,++-+--,0.012757491,0.7096270498734693,0.025067290608989597,-1,0.050134581217979195
EXOC5,+--+++,0.019582116,0.02507876815414766,0.12232364630722295,1,0.05015753630829532
ABCB10,-+---+,0.011320693,0.9490653786977966,0.02508932030885474,-1,0.05017864061770948
IVD,-++--+,0.031814419,0.025114609590932226,0.09178508034537386,1,0.05022921918186445
HEPH,-----+,0.010942697,0.8294521439802629,0.02512826779025238,-1,0.05025653558050476
SNX6,---++-,0.045646348,0.6608194614147189,0.025128947495403404,-1,0.05025789499080681
