gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
ELOF1,++-++-,++----++++++,--+++-+-,8.422169781608635e-4,0.0015661783197026301,+,0.00168,9.19193e-5,0.453,1
GRIN3B,----+-,NA,NA,8.555295728055666e-4,0.003023043577458362,+,0.00171,7.075803806206362e-4,0.46,1
LSR,---++-,+-+++-++++++,NA,8.602437922956862e-4,0.002430754818253442,+,0.00172,0.0016818394424748776,0.463,1
RAMP2,---++-,-++-+-++++++,--+-++--,8.774318764768975e-4,0.0027770277002469534,+,0.00175,0.001559395,0.472,1
EEF2,++-++-,-+----++++++,++-+-++-,8.78034808501737e-4,0.001424577220610486,+,0.00176,8.97529e-5,0.472,1
GNPDA2,++++-+,++++-+------,----+-+-,8.89199781473764e-4,0.003049369788955835,+,0.00178,0.007811182,0.478,1
AQP1,+++---,++++++---+--,--+++++-,8.89306211643006e-4,0.003073557983605035,+,0.00178,0.012965398,0.478,1
HLA-C,---++-,++++++++++++,--+-+++-,8.95131197541027e-4,0.0017234014799368158,+,0.00179,0.00113221,0.482,1
ITIH5,---++-,+++-+-++++++,-----+++,9.039709562957806e-4,0.0023607787998586234,+,0.00181,0.008163561944948572,0.486,1
ERO1LB,-++---,++++++------,----+-++,9.124973264322711e-4,0.002217805458926936,+,0.00182,0.014704912,0.491,1
SLC13A4,---+++,------+++++-,NA,9.163872494137239e-4,0.002744191194349647,+,0.00183,1.26386e-4,0.493,1
ALS2CL,---++-,+++-++++++++,NA,9.199814806826775e-4,0.002486211416997487,+,0.00184,7.092032401843758e-4,0.495,1
MARCH2,+--+++,-++---++++-+,NA,9.275509715239838e-4,0.0024188635996415992,+,0.0018600000000000001,1.74212e-4,0.499,1
PITRM1,++++-+,+++++++++++-,-+++----,9.296799851925651e-4,0.0014627255900004933,+,0.0018600000000000001,0.003733333,0.5,1
PACSIN1,++++--,------++++++,++-+----,9.31450496905084e-4,0.0014959614364270172,+,0.0018600000000000001,0.001010955,0.501,1
ANKRD37,+-++-+,-+-++-------,+++----+,0.0011034035059107254,9.332740978252424e-4,-,0.00187,6.06648e-4,0.502,1
IFI27,---++-,+++++-++++++,--+-+++-,9.494454800968939e-4,0.0018535978886909383,+,0.0019,0.0015733365889031613,0.511,1
HLA-A,++-+++,++++++++++-+,+-+-+++-,9.512467773038515e-4,0.0020519296882745286,+,0.0019,0.00774014,0.512,1
ACAT2,+++++-,++++++-+++--,-------+,9.569626063050636e-4,0.002154172324599683,+,0.00191,0.0027592446484942515,0.515,1
BCAM,---++-,------+++-++,NA,9.583714776351313e-4,0.0027954914027228887,+,0.00192,7.310047236850101e-4,0.516,1
CDH1,------,++++++---++-,NA,9.691941418450428e-4,0.0023891512754050563,+,0.00194,0.005030868,0.521,1
RPS21,---++-,+++--+++++-+,--+---+-,9.810545911216198e-4,0.0030084223137517587,+,0.00196,7.553565144445032e-4,0.528,1
RGS10,----++,+++--+++++++,----++-+,9.874348500931293e-4,0.0026373423308196416,+,0.00197,4.305647467464804e-4,0.531,1
TMEM41B,-++--+,-+++++------,--+--+-+,0.001197043444651912,9.97355201541443e-4,-,0.00199,0.001655023,0.537,1
IPO4,++++--,-++---++++-+,+++-+---,0.0010081409018733503,0.002099011050951728,+,0.00202,4.99604e-4,0.542,1
SLURP1,++++--,-+-+--------,NA,0.0010144365903538807,0.0028957351664411547,+,0.00203,0.0012349109060917098,0.546,1
SOCS4,++++--,-++--+------,++-++-+-,0.0010327301014335984,0.0019378983070835539,+,0.00207,5.17462e-4,0.556,1
SOCS4,++++--,-++--+------,----+-+-,0.0010327301014335984,0.0019378983070835539,+,0.00207,5.17462e-4,0.556,1
CCDC144A,+-+-+-,++++++------,NA,0.0015477839508436868,0.0010372014099924113,-,0.00207,0.001349185,0.558,1
TCERG1L,+--++-,------++++++,+++-----,0.0010392786589489696,0.001897537446848583,+,0.00208,0.005617135,0.559,1
PTPDC1,-++---,++++++----+-,--++++++,0.0010407891155076456,0.0025173690457626946,+,0.00208,0.009922472,0.56,1
HSPA12B,---+++,+++++-++++++,--+-++-+,0.001050625274579301,0.002828033975622747,+,0.0021,0.0032038410689174644,0.565,1
RPL35,----+-,--+---++++++,+++---+-,0.0010771492182543414,0.0022035333247927514,+,0.00215,0.002585066,0.58,1
OMG,--++--,++++++-+----,----++-+,0.0010834722931224268,0.00208333862404166,+,0.00217,0.002655239,0.583,1
PDE6H,---+++,NA,NA,0.0010836707922203845,0.0037645448323066393,+,0.00217,0.03102822292749526,0.583,1
SPP1,--+---,++++++------,--+-+-++,0.0010926625161344228,0.0013457469346732725,+,0.00219,0.004142228,0.588,1
SLC6A15,++++-+,+++++++---+-,---++-++,0.0012360475745362355,0.001101921977993338,-,0.0022,1.39326e-4,0.593,1
DIRC2,--+---,++---+-+----,+---++++,0.001234156867466765,0.0011050808703590132,-,0.00221,0.00498764,0.595,1
FTCD,----+-,-++-+-++++++,++++---+,0.0011540046322459105,0.0011072200361441041,-,0.00221,0.005770599,0.596,1
LOR,---+++,NA,NA,0.0011407060970740888,0.0038786219484371436,+,0.00228,0.004905239843396822,0.614,1
CCL4,------,NA,NA,0.0011407060970740888,0.003935660506502395,+,0.00228,0.001416200743312395,0.614,1
SEMA3G,---++-,+++++-++++++,+-+-+++-,0.0011411745477165939,0.003891576577515789,+,0.00228,6.126447033197101e-4,0.614,1
ADGRG6,---+++,+++-+-++++++,NA,0.0011425331022385868,0.0031348621478979512,+,0.00229,3.5468978443828233e-4,0.615,1
ETV3,-++---,-----------+,NA,0.001514507706775167,0.0011459201345292327,-,0.00229,1.62732e-4,0.617,1
VSTM2L,++-++-,---+-+-+++--,++++----,0.0011582049382137998,0.001926031336119054,+,0.00232,1.43539e-4,0.623,1
EGR2,------,------------,+-+-----,0.0011679319572594374,0.002291578416418753,+,0.00234,3.649272842769828e-4,0.628,1
TBC1D9B,-++++-,------++++-+,++++----,0.002967506854808279,0.0011713265885544073,-,0.00234,0.001624251,0.63,1
NEDD9,+++-+-,-----------+,++-+-+--,0.0013012578201942375,0.0011769354391780295,-,0.00235,1.23189e-4,0.633,1
GIMAP7,---+++,+++++-++++++,--+--+--,0.0011802067005348992,0.0028881470558843967,+,0.00236,0.002859925,0.635,1
C1orf115,++-+-+,++-+--++++-+,++++--++,0.0026517857899050618,0.0011854006565438766,-,0.00237,1.26498e-4,0.638,1
NAALADL1,---+++,NA,NA,0.0011977414019277933,0.004106776180698152,+,0.0024,0.003747923490938021,0.644,1
CRYBG3,-++---,NA,NA,0.0011978097193702942,0.004220612559174129,+,0.0024,0.012205084973299116,0.644,1
KIAA1522,++++--,------++++++,++++--+-,0.0012171322138711707,0.0025832827614271363,+,0.00243,0.002783749,0.655,1
SEL1L,-+++-+,++++-+------,+-------,0.001219288205650217,0.0019653544833440743,+,0.00244,6.01311e-4,0.656,1
GIMAP8,---+++,++++++++++++,NA,0.0012277531530477755,0.003185815421717975,+,0.00246,0.0013482672890106336,0.661,1
ARHGEF3,++++-+,-+-+-++-+---,++-+----,0.004024843328072221,0.0012339595943074459,-,0.00247,0.006276124,0.664,1
CLCN3,-+++--,++++-+------,----+--+,0.0012462025024380294,0.0019752020871455006,+,0.00249,8.88109e-4,0.67,1
RPL31,-+-++-,++----++++++,+-+-+-++,0.0012480698066256026,0.003100512117381076,+,0.0025,0.005337559716722759,0.671,1
TMEM86B,+--++-,------++++++,+-++----,0.0012494910475498383,0.002053614318690236,+,0.0025,6.91199e-4,0.672,1
SAMD8,-+++-+,-+-+-+------,NA,0.0012539470215176846,0.0023180195086624678,+,0.00251,5.94461e-4,0.675,1
SPHAR,+-++++,NA,NA,0.0012547767067814977,0.004220853296828656,+,0.00251,0.010101116740885182,0.675,1
NOL6,+++---,------+-+---,+++---+-,0.0012585418423993258,0.0024940082110267883,+,0.00252,4.95106e-4,0.677,1
SLC45A3,--+-+-,++++++----+-,--++++-+,0.0012588842249409758,0.0019528670956919186,+,0.00252,0.001768539,0.677,1
MGST2,---++-,+++-++++++++,++-----+,0.001260859359812561,0.0031683305489576203,+,0.00252,0.0043920318502799465,0.678,1
GJB3,---+++,NA,NA,0.0013118120116352022,0.004620123203285421,+,0.00262,0.01015766869986287,0.706,1
LGR4,+++--+,++++++------,NA,0.001320763137240685,0.003242023793059693,+,0.00264,0.003349343,0.711,1
ATP9B,+-+-++,-+---+++++++,-+++----,0.001327940896338096,0.0014248595466197936,+,0.00266,0.001202809,0.714,1
OGFRL1,+++--+,++++++----+-,---+++++,0.0013314062870728304,0.003029770836606613,+,0.00266,0.005207054,0.716,1
ZNF331,+++---,------------,-+-++-++,0.0013525912097440745,0.0030646609051976233,+,0.00271,0.001591073,0.728,1
LY75,---+++,++++-++-++++,NA,0.0013594163109121513,0.0037496658892494806,+,0.00272,0.003128127,0.731,1
PCBP3,+++++-,+-+-+-++++++,+++++---,0.0013603157932359296,0.0038029756793409126,+,0.00272,0.005912523479135502,0.732,1
HAP1,++++--,-----+++--++,+++---++,0.0013779040463215127,0.004812691372410334,+,0.00276,5.094659661746408e-4,0.741,1
RWDD2B,+++---,+-+--+++++++,+--+---+,0.0013797604199534078,0.0026051739765562878,+,0.00276,0.003980618,0.742,1
TMEM123,------,++++++----+-,----++++,0.0013808688354851532,0.0026971409721828145,+,0.00276,0.0018684621299921123,0.743,1
CLCA4,------,++++++---+++,----++-+,0.0015745285128910967,0.0014174827677417446,-,0.00283,0.002883052,0.763,1
TNFSF10,---+++,++++++++++++,----+++-,0.0014341740063004969,0.004819114302566804,+,0.00287,0.002371629,0.772,1
MAG,----+-,++++++---+++,--++++-+,0.0014351655544591409,0.003463125055312837,+,0.00287,0.002690854636856302,0.772,1
GOPC,++++-+,++++++------,----++++,0.0014453771808416245,0.0024910620458872077,+,0.00289,0.002993678,0.778,1
CD44,+++-+-,++++++---++-,NA,0.0014506764315069527,0.003640115325406694,+,0.0029,0.020863338,0.78,1
SELPLG,----++,--+--+++++-+,+-+--++-,0.0014555895591980982,0.00471190068888447,+,0.00291,0.0015143133484206645,0.783,1
C5orf34,+++---,++-+++-++-+-,----+---,0.0014563962941184269,0.004337928840496691,+,0.00291,0.007253861187988625,0.784,1
ZNF10,+++--+,-----+------,+---++++,0.0014709865054418265,0.003582792932838858,+,0.00294,0.0030278759087957823,0.791,1
NUP188,++++--,--+-+-----++,+-++-+--,0.0014889642635097444,0.00188799057331709,+,0.00298,0.001046536,0.801,1
HIAT1,-+++-+,++++-+------,-----+-+,0.0015116018972454754,0.0027287239311896178,+,0.00302,0.005084015,0.813,1
SERPINA3,+++-+-,NA,+-++-++-,0.0015122268935007465,0.004188912004048659,+,0.00302,4.510173652574362e-4,0.814,1
LSP1,+++-+-,-------+++-+,NA,0.0015259515598461692,0.0037896641822009877,+,0.00305,4.384660135152845e-4,0.821,1
IL1B,+++---,++++++------,NA,0.0015285565144317651,0.0036517307494346608,+,0.00306,0.024164478381941103,0.822,1
HACD3,+-++--,++++-+------,----++-+,0.0015290653664021307,0.0021861232404113075,+,0.00306,0.004975655,0.823,1
