gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
ELOVL5,-+--,+--+----,------,0.9980495481869127,2.3756052510587937e-5,-,4.75e-5,0.00106573,0.0128,0.837
UFC1,+-+-,++++++++,-+---+,2.4436411354557755e-5,0.22127173405023925,+,4.89e-5,0.009203424,0.0131,0.861
EGR3,--+-,----+---,-+----,0.9985985350168842,2.5591073773641e-5,-,5.12e-5,0.006875591,0.0138,0.901
SAMD5,----,--------,--+---,0.9999044386468275,2.559168925089252e-5,-,5.12e-5,0.001158159,0.0138,0.901
RPS23,-+++,++++++++,++--++,2.6153753386994193e-5,0.99816234661625,+,5.23e-5,0.03287706,0.0141,0.921
DYM,++++,-+--++++,++++++,2.6380261019126677e-5,0.9999510474331942,+,5.28e-5,0.001581637,0.0142,0.929
NPTX2,+---,-----++-,------,0.9999565035341462,2.7263913216307523e-5,-,5.45e-5,0.02481676,0.0147,0.96
NMRAL1,+-+-,++++++++,--++++,2.7313908901900223e-5,0.7575312423019408,+,5.46e-5,0.003247795,0.0147,0.962
PPARG,++++,+++-++++,NA,2.7872687632576534e-5,0.9998110104051467,+,5.57e-5,0.002468306,0.015,0.982
DDN,+-++,++-+++++,+++-+-,2.798754506090726e-5,0.9879483014029632,+,5.6e-5,0.001204026,0.0151,0.986
ZC3H7B,+-++,----++++,+++++-,2.8179849066141328e-5,0.9140207090127727,+,5.64e-5,0.0024309930000000002,0.0152,0.993
NLRP1,+-+-,++-+-+++,+++--+,2.8880298433875974e-5,0.9326192719074,+,5.78e-5,3.34038e-4,0.0155,1
PIAS1,++++,++++++++,++++++,2.957680920719822e-5,0.9999995803858274,+,5.92e-5,0.020192228,0.0159,1
DUSP6,+---,------+-,+++---,0.8879800988932238,2.9873717485665478e-5,-,5.97e-5,0.00841003,0.0161,1
RPL14,+-+-,+-+-++++,-++-+-,3.0456569091002883e-5,0.972893753854823,+,6.09e-5,0.001688182,0.0164,1
OST4,--+-,++++++++,NA,3.068549127084769e-5,0.9565865086232812,+,6.14e-5,5.97486e-4,0.0165,1
SPRY2,+---,--------,++-+--,0.9942331016422836,3.138734059452958e-5,-,6.28e-5,0.00653533,0.0169,1
SPTY2D1,-+-+,--------,NA,0.9250508124731064,3.342082619114762e-5,-,6.68e-5,0.002723638,0.018,1
RPL7A,+-+-,++++++++,-+----,3.591349255031563e-5,0.552739403438698,+,7.18e-5,1.14484e-4,0.0193,1
MRPL36,--+-,++++++++,++----,3.648460761441022e-5,0.07277569322606009,+,7.3e-5,7.38268e-6,0.0196,1
C19orf70,--+-,+++-++++,NA,3.7328014978832904e-5,0.7243514549645244,+,7.47e-5,1.45234e-5,0.0201,1
ELOF1,+-+-,++--++++,--++--,3.738889442580372e-5,0.16298373397757368,+,7.48e-5,9.19193e-5,0.0201,1
UBE2M,+-+-,-+--++++,+---++,3.7556652775866473e-5,0.6375343921852171,+,7.51e-5,4.9052e-5,0.0202,1
