gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
KIF21B,-+-,------,+--+,0.8975829380810157,8.751806548219752e-6,-,1.75e-5,4.756872294977515,0.007252197,0.00471,0.308
SLC13A4,---,------,NA,0.9999459245139193,9.096512074354786e-6,-,1.82e-5,4.740095104018818,1.26386e-4,0.00489,0.32
PPAT,+++,++++-+,++-+,9.236916623804871e-6,0.99623983503482,+,1.85e-5,4.733442980815452,4.28602e-4,0.00497,0.325
R3HDM2,+++,----+-,--+-,0.7189483122951015,9.328197059495701e-6,-,1.87e-5,4.72917229229119,2.67589e-4,0.00502,0.329
ARNTL,+++,------,----,0.5188341588329292,9.473849163617558e-6,-,1.89e-5,4.722443538439547,0.002862079,0.0051,0.334
SH3BGRL2,+++,++++++,++--,9.482780484198528e-6,0.8317973276614541,+,1.9e-5,4.722034307093734,1.95883e-4,0.0051,0.334
RNASE1,---,++++++,--+-,0.030167209814368517,9.814632943380063e-6,-,1.96e-5,4.707095942238551,0.0026220746677592843,0.00528,0.346
INS-IGF2,---,NA,NA,0.9987040399142837,1.020085188656103e-5,-,2.04e-5,4.690333562556071,2.458261293222708e-4,0.00549,0.359
VGF,-+-,------,----,0.9943265518404383,1.0309729875349508e-5,-,2.06e-5,4.68572271782864,0.002083154003367971,0.00555,0.363
ADAMTS17,---,------,NA,0.9991065295370845,1.041759909604886e-5,-,2.08e-5,4.681202364017598,0.002712418,0.0056,0.367
CA4,---,----+-,----,0.9999825200237438,1.0531320183966222e-5,-,2.11e-5,4.676487187502551,0.005919834512648399,0.00567,0.371
CDHR1,+++,++++++,NA,1.0960425054939222e-5,0.9999612668206658,+,2.19e-5,4.65914260753848,0.017500063,0.0059,0.386
C9orf3,---,----+-,+-+-,0.9675520312488112,1.0977659133902593e-5,-,2.2e-5,4.6584602629116905,0.003479084,0.00591,0.387
MRPS12,+--,++-+++,----,0.018357635886473236,1.1007841897659046e-5,-,2.2e-5,4.657267821041543,8.02e-5,0.00592,0.388
JUNB,++-,------,+++-,0.41844417434075193,1.1150087848138388e-5,-,2.23e-5,4.651691715264714,0.001521794,0.006,0.393
SAMD5,---,------,--++,0.8391787628096123,1.2115451032846635e-5,-,2.42e-5,4.615630417688306,0.001158159,0.00652,0.427
CCL4,---,NA,NA,0.9999879146042089,1.2406728272197056e-5,-,2.48e-5,4.60531273376909,0.001416200743312395,0.00667,0.437
FOSB,-+-,------,++++,0.5410334320523609,1.2446950618454133e-5,-,2.49e-5,4.603907037786935,0.001839652,0.0067,0.438
CCDC103,+++,NA,NA,1.2723862208602393e-5,0.9999988500548874,+,2.54e-5,4.59435104701038,0.004062170867761208,0.00685,0.448
CCZ1,---,------,-+--,0.9987306890672611,1.2770283237274781e-5,-,2.55e-5,4.592769474572887,0.001429307,0.00687,0.45
GPR6,+++,++++--,++-+,1.304795485357773e-5,0.9996396153623898,+,2.61e-5,4.583427558976699,0.004299997,0.00702,0.46
PRSS21,---,NA,NA,0.9997017741715332,1.3379409781282386e-5,-,2.68e-5,4.572533048930069,5.6063175910272834e-5,0.0072,0.471
NPTX2,+--,------,----,0.9988332073715116,1.347922898693945e-5,-,2.7e-5,4.569304953108092,0.009780972,0.00725,0.475
PRPSAP2,--+,++++++,-+--,1.386056938398277e-5,0.02706527627498573,+,2.77e-5,4.557188933133632,2.27577e-4,0.00746,0.488
