gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
WNT5A,-++,------,+--+,0.7259303990544894,0.1437194910526648,-,0.287,0.5414543337480954,0.098720807,77.3,1
CXCL10,---,+++++-,NA,0.2947265718200738,0.14373446751999386,-,0.287,0.5414090799122631,0.05582013822316826,77.3,1
TINF2,++-,-++-++,+++-,0.14374820152153148,0.9819383512648457,+,0.287,0.54136758453373,0.099773034,77.3,1
E2F4,+--,++++++,--+-,0.14377035294516446,0.7901742305614528,+,0.288,0.5413006654363731,0.078163889,77.3,1
ZMIZ1,+-+,---+++,----,0.9085145074305491,0.14381762304579526,-,0.288,0.541157897686942,0.124305431,77.4,1
ARPC5,---,--+-+-,-+--,0.9264502905873653,0.14381766632117943,-,0.288,0.5411577670057548,0.053160206,77.4,1
CACNB2,+-+,+-+-+-,--+-,0.48341863299630045,0.14381814975433782,-,0.288,0.5411563071572845,0.017797566,77.4,1
SPATC1,---,NA,NA,0.9264554191213683,0.14385119119995768,-,0.288,0.5410565417980542,0.1777723067163385,77.4,1
METTL18,---,++++++,++-+,0.3021434190191016,0.14387783137882293,-,0.288,0.5409761211118999,0.01686112065170721,77.4,1
CDK8,+--,-----+,+--+,0.9035822216995466,0.1439095680586579,-,0.288,0.5408803346736536,0.064318271,77.4,1
ISY1-RAB43,+-+,-++-++,+-++,0.14391669184859004,0.5570356223120657,+,0.288,0.5408588368251988,0.0290147,77.4,1
AGMAT,++-,-++--+,NA,0.43729713752251403,0.14392399560055502,-,0.288,0.5408367970002917,0.007462734,77.4,1
