gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
SOGA1,------,----+-+--+++,--++-+--,0.020774419825738508,0.02062767985158921,-,0.0413,7.19757e-4,11.1,1
AUH,++++-+,++++-++++++-,-+----++,0.024435063392351263,0.02066332371910802,-,0.0413,0.016369663,11.1,1
RBM24,++++-+,------------,-+-++-+-,0.020669131485620235,0.027805293945322378,+,0.0413,0.012052711,11.1,1
RASEF,+---+-,-++-----+-+-,++++-+++,0.02644094318549684,0.020671816819278578,-,0.0413,0.014597097,11.1,1
HK2,-++-+-,++++++------,NA,0.02524188152479329,0.020682812477584713,-,0.0414,0.001113167,11.1,1
TIA1,--+--+,+++-+++---+-,----++++,0.020711752954908166,0.023299847884819622,+,0.0414,0.00147294,11.1,1
PTER,++++++,++-+-+-++++-,NA,0.03149916324380722,0.02072568425768101,-,0.0415,0.005800249,11.2,1
KIF27,+++-+-,+++++++--++-,NA,0.03410805384641322,0.020745697945963808,-,0.0415,0.038174634,11.2,1
FBXL13,-+----,+++-++++-+++,NA,0.034641054620907906,0.020748769223623238,-,0.0415,0.015033804,11.2,1
GPATCH4,++-++-,--------++++,-+----++,0.0239817237628945,0.02075271724622761,-,0.0415,6.92629e-4,11.2,1
PILRB,----++,------++++++,+-++-+++,0.023560948610302595,0.02075413222546034,-,0.0415,0.002967031,11.2,1
KHDC3L,+++-++,NA,NA,0.02076203513575177,0.027605087549192952,+,0.0415,0.009588863337253513,11.2,1
STPG1,+++++-,+++++-+++-++,++-+--+-,0.021918161120734546,0.020768834647101404,-,0.0415,0.019067416,11.2,1
ZHX2,--+---,--+-+----+++,--+++-++,0.020769105674633057,0.025356579037115627,+,0.0415,6.04213e-4,11.2,1
MKRN2,++++-+,-+++-+++++++,+---++++,0.02351183052880254,0.020796115323009068,-,0.0416,0.01218512,11.2,1
ZNF407,++++-+,+-+-+-++++++,NA,0.03356474199724069,0.020813124918408615,-,0.0416,0.017780515,11.2,1
FAM63A,----+-,++++++---+++,+-+-++++,0.0208189699004024,0.02210649167569043,+,0.0416,0.003681648,11.2,1
SNX3,-+-+--,++++-++++++-,-+----++,0.026403508067333957,0.02082673009122191,-,0.0417,0.001622378,11.2,1
ZNF215,-+++++,--------+---,NA,0.03527405287206133,0.020869569968715408,-,0.0417,0.036767734,11.2,1
TCL1B,+++-++,NA,NA,0.02087611225188227,0.027947299378315176,+,0.0418,0.015737494393429304,11.2,1
UBXN7,-++---,-+--++-----+,NA,0.03227012887698391,0.0208851080220505,-,0.0418,0.002223326,11.2,1
GREB1L,-+----,++++++---+++,NA,0.023965145618403953,0.02089244065520593,-,0.0418,0.023058761673064716,11.2,1
TMEM33,++++-+,-+++++------,+-+-++-+,0.024266627827749014,0.020915317185952666,-,0.0418,0.001588586,11.3,1
ALOXE3,++++--,NA,NA,0.020933150809947523,0.02800433468316888,+,0.0419,0.00906184140502044,11.3,1
MTPAP,-++-++,------+----+,NA,0.021783764757905888,0.020956447854447117,-,0.0419,0.006696149,11.3,1
SSSCA1,++-++-,+--+--++++++,-+------,0.024317033038359807,0.020976899152754264,-,0.042,0.001210416,11.3,1
HMGB4,----++,NA,NA,0.020988992186163236,0.02806297056810404,+,0.042,0.006558185734908949,11.3,1
TAS2R8,++-+++,NA,NA,0.020990189368012776,0.028118405292876292,+,0.042,0.08120936698593381,11.3,1
PKIB,++-+++,+++--+++-+--,++--+--+,0.02099957673883752,0.022701298930474192,+,0.042,0.010897472,11.3,1
KCNMB1,----+-,+++--+++++++,NA,0.03253863997658345,0.02103307087438242,-,0.0421,0.003132844,11.3,1
ANGPTL2,--+-+-,++++++---+++,--+-+--+,0.026083711857029193,0.021033731940264637,-,0.0421,0.010512301,11.3,1
IRF3,----+-,++++++++++++,+-++---+,0.021037301702700486,0.02641912064976122,+,0.0421,0.00722052,11.3,1
TTLL9,------,++++++++-++-,NA,0.03048945857434406,0.021045960905565226,-,0.0421,0.01808852564421299,11.3,1
SLC35E1,++-+++,------++++-+,++++---+,0.02105340053720462,0.021052152920538844,-,0.0421,0.007461423,11.3,1
LYPLAL1,+++-++,++++++++-+++,----++++,0.02109087144555911,0.025719194103399096,+,0.0422,8.96139e-4,11.3,1
ATP5J2,++-++-,+-++-+++++--,+-----++,0.026474933194889645,0.021098366144036994,-,0.0422,0.002253766,11.4,1
IFFO1,+++++-,-++-++++++++,NA,0.0348880336373452,0.021100665092197424,-,0.0422,7.99878e-4,11.4,1
SCP2D1,+++++-,NA,NA,0.02110426648414328,0.0282324759025837,+,0.0422,0.06782028412658166,11.4,1
ARHGAP9,---++-,++++++++++++,-+-++---,0.021107439277560754,0.023223221169599337,+,0.0422,0.001920827,11.4,1
MRPS10,++++-+,++++-++++++-,+--+---+,0.022081161471849978,0.021114131306348524,-,0.0422,0.002413109,11.4,1
CBX7,++-+--,+-----++++++,++++-+-+,0.026676446592547334,0.021146598602837047,-,0.0423,0.008335206,11.4,1
ZNF805,+-+---,++++-+++---+,++++--+-,0.02171527471385828,0.021159267935187874,-,0.0423,0.017198502,11.4,1
CPN1,++-+++,NA,NA,0.021161305042208534,0.028289511207437404,+,0.0423,0.022322860607115327,11.4,1
CCP110,--+---,++++++---+++,+-+-++--,0.02118075233026247,0.02376892402075005,+,0.0424,0.024003371,11.4,1
CCP110,--+---,++++++---+++,+-+++---,0.02118075233026247,0.02376892402075005,+,0.0424,0.024003371,11.4,1
RPS20,-+-+++,+++---++++++,+++---++,0.027612306211356602,0.0211933126726235,-,0.0424,0.001072659,11.4,1
CALML4,++-+++,+++-+++++---,NA,0.02769254317108652,0.021195165792181815,-,0.0424,0.016400297253538313,11.4,1
INO80D,-++--+,----+-------,NA,0.035767442598901224,0.021211985690178577,-,0.0424,0.004218863,11.4,1
UROS,++-+++,+++--+++++++,--------,0.027821617648298522,0.02121534802946335,-,0.0424,0.023256367,11.4,1
