gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
LYSMD1,+-,--++,--,0.1592398593355557,0.5981624529126025,+,0.318,0.49691821905758654,0.01593118,85.7,1
PNPLA5,+-,+-++,NA,0.15924528265663976,0.7510562654462057,+,0.318,0.4969034282990232,0.07184872130335199,85.7,1
ONECUT3,-+,NA,NA,0.929702524949291,0.15932876547191024,-,0.319,0.4966758132308867,0.3433075483163093,85.7,1
DCN,-+,--+-,--,0.7968412695370006,0.15941820934037387,-,0.319,0.4964320777127298,0.151048127,85.8,1
MBLAC1,-+,--+-,NA,0.9648866668798144,0.15941941298181014,-,0.319,0.49642879870926615,0.14498648454359928,85.8,1
LDHA,+-,-+-+,--,0.5474826700162154,0.15946895057559657,-,0.319,0.49629386807986803,0.00611133,85.8,1
CCDC182,-+,NA,NA,0.8639109736608335,0.1594924421151959,-,0.319,0.4962298964126278,0.17548902800223162,85.8,1
CLEC5A,--,NA,NA,0.804209410323371,0.15949978787809813,-,0.319,0.49620989451919967,0.1422594907893883,85.8,1
MTMR3,+-,-++-,++,0.15953875697505454,0.8407344778221093,+,0.319,0.4961038003551551,0.09466565140850934,85.8,1
RPS20,++,--++,++,0.3689376051491909,0.15955034812102464,-,0.319,0.49607224822344287,0.039882959,85.8,1
MS4A14,-+,-+++,NA,0.9158330898345013,0.1595663510559638,-,0.319,0.496028690575961,0.05125977917272769,85.8,1
CCDC27,-+,NA,NA,0.9005971025045015,0.15959991810385935,-,0.319,0.49593734017250557,0.2195607093883221,85.9,1
RASA2,--,----,++,0.15960243199866517,0.8769103462624988,+,0.319,0.49593049955468477,0.068226404,85.9,1
IFT20,-+,--+-,NA,0.8724901968174649,0.15960789234154482,-,0.319,0.4959156416594267,0.146900058592906,85.9,1
ZNF48,+-,----,NA,0.15961869938696016,0.9017764674504792,+,0.319,0.4958862365890913,0.080748842,85.9,1
CYB561,+-,--+-,-+,0.6875192840204432,0.1596454946656616,-,0.319,0.4958133374546115,0.107240546,85.9,1
SLC2A11,++,--++,+-,0.15966392785810493,0.3385513330889284,+,0.319,0.4957631952840008,0.051103652,85.9,1
STX12,+-,-+--,-+,0.159726327481364,0.40318067634339794,+,0.319,0.49559349810666986,0.041070037,85.9,1
SLC22A4,++,+++-,-+,0.1597472154859193,0.8883386677297073,+,0.319,0.4955367075189736,0.027576315,85.9,1
MYOM2,++,--++,+-,0.1597691166951348,0.7226382803425657,+,0.32,0.49547717019104254,0.058844195,86,1
TUBGCP5,--,++++,-+,0.6818994269150616,0.15984261161899274,-,0.32,0.49527743759292825,0.02249691,86,1
PPM1L,+-,---+,NA,0.15986051837494597,0.3993079693056175,+,0.32,0.49522878742608406,0.012025494,86,1
IL18R1,+-,---+,NA,0.15991968908237053,0.8276548210236344,+,0.32,0.4950680675852759,0.038080544972615614,86,1
FAM214A,--,+-++,+-,0.15991979269753986,0.5051188417713159,+,0.32,0.49506778619727443,0.031559176,86,1
PAPOLG,+-,++--,--,0.15992865277969517,0.5927045513718432,+,0.32,0.49504372552200987,0.06388221,86,1
MSANTD3,++,---+,--,0.8802975519968719,0.1599824284182938,-,0.32,0.49489771955537243,0.108713483,86.1,1
AP2B1,+-,-+--,++,0.15999190560023888,0.9804093729250527,+,0.32,0.4948719931930592,0.09720673438974908,86.1,1
SAMD13,+-,-++-,NA,0.16000604046856015,0.5180082961123306,+,0.32,0.49483362610105897,0.112441401,86.1,1
SRL,++,----,+-,0.2897177585676648,0.16003213652266018,-,0.32,0.4947628009737147,0.006744504,86.1,1
C4orf32,-+,+++-,++,0.16003371843985773,0.7844513129234839,+,0.32,0.49475850799526,0.107284138,86.1,1
TMEM182,-+,-++-,NA,0.16003440186120294,0.46686843841101294,+,0.32,0.494756653351825,0.016207761,86.1,1
SGIP1,+-,-+--,-+,0.16005084921981227,0.4917189629675633,+,0.32,0.494712021510351,0.09158185026564662,86.1,1
PALM3,++,NA,NA,0.5892005771527954,0.16005740528293771,-,0.32,0.4946942321406691,0.100566535517578,86.1,1
SVIL,++,---+,NA,0.9215499207059483,0.16006180069927028,-,0.32,0.4946823059267878,0.074409706,86.1,1
ZNF222,--,---+,--,0.8556239150823637,0.16009680384236546,-,0.32,0.49458734254463643,0.01905206,86.1,1
DMC1,-+,-++-,NA,0.8592703077567809,0.16010944902749855,-,0.32,0.49455304131485356,0.08187437821683387,86.1,1
CCDC93,--,--++,NA,0.5947012192303056,0.16017312221290642,-,0.32,0.4943803630868435,0.053781755,86.2,1
ZNF793,-+,++++,-+,0.9476541785215705,0.16019832832211925,-,0.32,0.4943120244496417,0.083149832,86.2,1
AQP11,--,++++,-+,0.19230063881522114,0.16020649205341306,-,0.32,0.4942898933003709,0.043034644,86.2,1
PARP8,+-,-+--,-+,0.16020873452617762,0.542500734395766,+,0.32,0.4942838143536374,0.053657603,86.2,1
SUMO4,-+,----,NA,0.6127342120042156,0.16025020161697723,-,0.321,0.4941714197421336,0.05619769366190052,86.2,1
ASCL5,+-,NA,NA,0.16025474960723524,0.9100181817686144,+,0.321,0.49415909439698436,0.24144493939625053,86.2,1
WDR35,+-,-++-,-+,0.1602653427747203,0.2980966765200365,+,0.321,0.4941303875901685,0.045414045,86.2,1
MGAT1,-+,+-++,+-,0.1602665280885608,0.43772827036584117,+,0.321,0.4941271755834568,0.009975936,86.2,1
TBX3,-+,+-++,NA,0.8855070460999226,0.16027098655358188,-,0.321,0.4941150940849233,0.139973553,86.2,1
PPP1R15B,+-,----,--,0.16034826697575943,0.715066463276343,+,0.321,0.4939057338472496,0.06326742869372812,86.3,1
GPR32,-+,NA,NA,0.8658493717980744,0.16035083795622998,-,0.321,0.49389877054355286,0.17853051657078545,86.3,1
ANAPC15,++,--++,+-,0.9064719719219764,0.16037256468633523,-,0.321,0.49383992981705016,0.07811976335333781,86.3,1
SYNGAP1,+-,--+-,--,0.1603740252537364,0.8135299278242196,+,0.321,0.4938359745677495,0.12112348219677438,86.3,1
SLC25A17,+-,-++-,-+,0.4963839696806426,0.1603843175075753,-,0.321,0.49380810393460156,0.041046536,86.3,1
NXPE2,--,-+-+,NA,0.16038592494143136,0.808492809545202,+,0.321,0.49380375128861803,0.076752129,86.3,1
FAM111A,-+,++++,++,0.16044164119098106,0.6529949419616999,+,0.321,0.4936529085149329,0.019363015,86.3,1
RPTN,+-,NA,NA,0.16046519605174842,0.9045600850673674,+,0.321,0.4935891532758141,0.2293910656334888,86.3,1
SREK1,++,++--,--,0.16049028019455056,0.5914658648324543,+,0.321,0.4935212690636372,0.084525094,86.3,1
ADAM18,+-,NA,NA,0.16055423410227235,0.8968678028210577,+,0.321,0.49334824116033876,0.2153173978491265,86.4,1
PNPLA1,-+,NA,NA,0.8410051598473737,0.16056969450013256,-,0.321,0.4933064232521366,0.1612905519417832,86.4,1
GALP,++,NA,NA,0.16056983699599134,0.6713216215817931,+,0.321,0.4933060378423126,0.11133904711585743,86.4,1
FOXN3,-+,+--+,++,0.960945192250637,0.16060481451623765,-,0.321,0.493211444174835,0.133665289,86.4,1
TRIM23,+-,-+--,--,0.1606135953103772,0.48873697621882933,+,0.321,0.4931877005142861,0.033678464,86.4,1
CLEC4M,-+,NA,NA,0.9239501008182621,0.16066352180041035,-,0.321,0.4930527217178394,0.296605883931344,86.4,1
SIMC1,++,--++,++,0.9127603549308888,0.16066390779634387,-,0.321,0.4930516783216739,0.056744508,86.4,1
KCNH8,-+,++++,+-,0.1606756329713953,0.39008701022981696,+,0.321,0.49301998487483395,0.014084735,86.4,1
C12orf42,-+,---+,NA,0.934284629054168,0.16067574928388442,-,0.321,0.4930196704907983,0.169712523,86.4,1
ADAMTS6,++,--++,NA,0.8795469333405558,0.1606758084770346,-,0.321,0.49301951049618886,0.161106064935382,86.4,1
UBE3B,+-,++++,+-,0.16070550869544167,0.8855846718968431,+,0.321,0.4929392404847538,0.1811765294916483,86.5,1
DEFB119,++,NA,NA,0.16072935577551106,0.49780829978728536,+,0.321,0.49287480033561387,0.09317931883673587,86.5,1
ATP11B,+-,++--,NA,0.16074114409892748,0.9922712712640204,+,0.321,0.49284294917779414,0.2533723739724412,86.5,1
GPR107,+-,-+++,NA,0.1607542191779416,0.8170709799309668,+,0.322,0.4928076240358603,0.08521856885989867,86.5,1
FAM45A,++,-++-,-+,0.8113939432530971,0.16078913330627795,-,0.322,0.4927133100765178,0.064254682,86.5,1
MNAT1,++,+-++,--,0.9425844761981795,0.16082558674840186,-,0.322,0.4926148598014439,0.116129459,86.5,1
USP12,+-,-+++,--,0.2972648476242156,0.160831355169059,-,0.322,0.4925992829993639,0.017458989,86.5,1
NOMO1,+-,-+--,NA,0.1608565592409376,0.9557921819744022,+,0.322,0.49253122952970935,0.18059190785297077,86.5,1
NPHP3,--,++++,++,0.16086229501076105,0.600009800690367,+,0.322,0.4925157438772452,0.104665918,86.5,1
KCNIP4,+-,--++,--,0.16089387036796127,0.2838990153256172,+,0.322,0.49243050539596195,0.06916070737746363,86.6,1
SULT1B1,-+,+-++,NA,0.9851015595425155,0.16097974744169058,-,0.322,0.49219876263691636,0.218063408,86.6,1
ZNF438,--,++++,++,0.161044352749346,0.7078845084069494,+,0.322,0.4920245040707022,0.015071498,86.6,1
SFPQ,--,+-++,-+,0.8991963674178639,0.16105812324581442,-,0.322,0.49198737023238276,0.035224914,86.6,1
ACR,++,NA,NA,0.16108259444468484,0.6970200273695628,+,0.322,0.4919213884668263,0.1160688438351144,86.7,1
MAEA,--,-+-+,-+,0.9004030715103464,0.16109494582159542,-,0.322,0.4918880892192477,0.027735487,86.7,1
SP110,-+,++++,++,0.8495708025395413,0.16111559788166407,-,0.322,0.4918324170762014,0.065925936,86.7,1
