gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
MTRNR2L8,+-+-,NA,NA,0.18190686380540477,0.41830075848500814,+,0.36381372761080955,0.05588869561644412,97.86589272730777,1
TRIM55,++++,NA,NA,0.18195179079982093,0.4785916508064752,+,0.36390358159964187,0.05260464496171495,97.89006345030366,1
DPF3,----,--+-+--+,+++++-,0.42473869649242013,0.18204489552774758,-,0.36408979105549516,0.045111423,97.9401537939282,1
HECA,--++,------++,++----,0.18209204694663966,0.41748808546775135,+,0.3641840938932793,0.018668165,97.96552125729214,1
NUDT5,-++-,-++-+---,---+--,0.1821227029972833,0.6850033855229698,+,0.3642454059945666,0.061600655,97.98201421253842,1
MAML1,-+-+,----+--+,--+++-,0.8536306183293635,0.18213798344042909,-,0.36427596688085817,0.068884082,97.99023509095085,1
ASTL,+---,NA,NA,0.1821708734980894,0.9637552420958156,+,0.3643417469961788,0.26707082284635464,98.0079299419721,1
TLCD2,+-++,NA,NA,0.6507485632759362,0.1821847354848975,-,0.364369470969795,0.04229801902583681,98.01538769087486,1
TAS2R14,---+,--------,NA,0.18222848513271347,0.33315987728761576,+,0.36445697026542695,0.012525118,98.03892500139985,1
C1orf189,--+-,NA,NA,0.4571402118721047,0.18224617645195518,-,0.36449235290391035,0.04118738131946609,98.04844293115188,1
CTSW,----,NA,NA,0.5801204083456581,0.18226890704157012,-,0.36453781408314023,0.08346398950171466,98.06067198836472,1
PRRC2C,-+-+,+---++--,+++++-,0.18229889330882007,0.5066170825615666,+,0.36459778661764014,0.051411657,98.0768046001452,1
PTPN22,-++-,++++++--,NA,0.18230115423402568,0.5200015002066718,+,0.36460230846805136,0.026827497,98.07802097790582,1
NFKBIA,++--,++++-+--,+-++++,0.1823293632441235,0.9726455293306441,+,0.364658726488247,0.07994773798573661,98.09319742533845,1
TNFRSF13B,+-++,NA,NA,0.6835684908936567,0.18244341781014836,-,0.3648868356202967,0.08495752924352223,98.15455878185982,1
