gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
TGM4,--,NA,NA,0.08835272644307551,0.5236139630390144,+,0.177,0.030497997696402136,47.5,1
PLSCR5,-+,NA,NA,0.840520191649555,0.08835272644307551,-,0.177,0.0692540483429639,47.5,1
MAPK8,+-,-+--,+-,0.08835855784763035,0.9700619168348559,+,0.177,0.062188296,47.5,1
LGI2,-+,---+,--,0.9620157338698221,0.08838129233711539,-,0.177,0.011153652,47.5,1
EGLN1,+-,-+--,++,0.088398850439406,0.8696130123850614,+,0.177,0.0633336309705875,47.6,1
ACTR2,+-,-+--,--,0.08840378659797116,0.8462408485055002,+,0.177,0.09528441082586761,47.6,1
SLC7A2,+-,-++-,+-,0.08843377991204152,0.8571470528925865,+,0.177,0.033004869,47.6,1
STRADA,+-,++++,NA,0.0884451429781554,0.5112133034108527,+,0.177,0.027429931,47.6,1
LRRC10,-+,NA,NA,0.9523728040155145,0.08846680355920603,-,0.177,0.16222245080376901,47.6,1
TBPL1,+-,-+--,--,0.08851120860539892,0.3562908899206947,+,0.177,0.007020412,47.6,1
HLA-DRB1,++,++--,NA,0.08859142766429894,0.6029607701625999,+,0.177,0.021621385,47.7,1
DGAT2,+-,+++-,+-,0.08868418719918301,0.9870360080096716,+,0.177,0.06295877936113826,47.7,1
PARVB,++,---+,NA,0.6080657194412815,0.08874662599625682,-,0.177,0.09548087,47.7,1
SLC3A1,-+,-+--,NA,0.08874863448645363,0.2757593496610917,+,0.177,0.060584704,47.7,1
BAG6,+-,--++,+-,0.08879847041342841,0.2468137262137025,+,0.178,0.007547659,47.8,1
CDH6,-+,+-++,NA,0.8890320738663886,0.08880250699773891,-,0.178,0.094577375,47.8,1
POLD4,-+,---+,-+,0.9842379596694995,0.08880518659562187,-,0.178,0.06030042777520362,47.8,1
SLC38A1,+-,-+-+,--,0.08882216112938832,0.9032957952107368,+,0.178,0.008045318,47.8,1
G3BP2,+-,-+--,--,0.08886170906097919,0.3505182287889718,+,0.178,0.010443071,47.8,1
ZFYVE28,+-,+-++,+-,0.08893410248409132,0.6787458598791246,+,0.178,0.016458989,47.8,1
PLOD2,--,++--,+-,0.08897127643069506,0.9027956696688548,+,0.178,0.062008712,47.9,1
OR1L3,+-,NA,NA,0.08898015058179329,0.9289299566506959,+,0.178,0.10219597368013228,47.9,1
CBX6,++,--++,--,0.8390817819226248,0.08901338010945806,-,0.178,0.003597846,47.9,1
UGT2A1,++,NA,NA,0.7705338809034907,0.08903718913985854,-,0.178,0.057164864365141906,47.9,1
CCDC36,-+,+-+-,NA,0.8693757794404331,0.08910150923976387,-,0.178,0.043414667,47.9,1
MRPS15,-+,--++,--,0.9769655839178665,0.08914582256621621,-,0.178,0.178801685,48,1
VPS41,+-,-+--,--,0.08915037521591822,0.2720089194397067,+,0.178,0.002224813,48,1
USF2,++,--++,++,0.3036257239890984,0.08917915997787057,-,0.178,0.005414513,48,1
STK38,-+,+-+-,+-,0.08920145325468809,0.34587692372547396,+,0.178,0.003930805,48,1
LECT1,+-,+-+-,NA,0.0892175676210396,0.8380182164051304,+,0.178,0.06389985931868274,48,1
B4GALT6,+-,-+--,--,0.08927243827778915,0.9084157633776295,+,0.179,0.08725574100280445,48,1
KIAA0232,+-,++--,--,0.08930712170733743,0.9674905569382453,+,0.179,0.149248884,48,1
RAB44,--,NA,NA,0.19809491216062058,0.08932238193018481,-,0.179,0.0316812642238797,48.1,1
TMEM106B,--,++--,++,0.08934854126564802,0.8314847983801933,+,0.179,0.094757944,48.1,1
G3BP1,+-,++--,++,0.089440002174526,0.9209769861828917,+,0.179,0.08365049927019426,48.1,1
DEF8,-+,--++,++,0.845778149895254,0.089556592090838,-,0.179,0.0980924,48.2,1
CDKN2AIP,--,--+-,+-,0.08959389393499624,0.7873046162216731,+,0.179,0.020129257367197045,48.2,1
NUMA1,--,+-++,+-,0.08960942836537887,0.5554228334606512,+,0.179,0.001700187,48.2,1
BCL2L15,-+,-+++,NA,0.9736782743409238,0.08968824167056279,-,0.179,0.08477919561373122,48.3,1
SKAP1,-+,NA,NA,0.9558521560574949,0.08972165183664157,-,0.179,0.18483786000895475,48.3,1
TP53BP2,--,++--,++,0.08974062338766844,0.8563452806168323,+,0.179,0.022282112,48.3,1
PPFIA3,++,+--+,-+,0.7375784335259304,0.08975386152653084,-,0.18,0.030668165,48.3,1
EVX2,-+,NA,NA,0.9600730093543235,0.08977869039470682,-,0.18,0.23260570220729024,48.3,1
ZMYM2,+-,-++-,--,0.08978712092432393,0.8935232699967928,+,0.18,0.027400481272822796,48.3,1
TTC9B,++,--++,--,0.8511242944459255,0.08981658928966266,-,0.18,0.06766048560897327,48.3,1
TMEM233,-+,NA,NA,0.8202715035363906,0.08983572895277207,-,0.18,0.0662250795007128,48.3,1
VSTM2A,+-,-+++,NA,0.08984408469045757,0.558540581597156,+,0.18,0.02623594402168154,48.3,1
AKAP12,--,---+,--,0.8567941326749845,0.08986711831260429,-,0.18,0.031060861,48.3,1
NFAM1,++,++--,+-,0.08987237913031176,0.8606347855797759,+,0.18,0.016847023,48.4,1
FOXN2,--,++--,+-,0.08991785975227996,0.9575427987746491,+,0.18,0.112962547,48.4,1
NDC1,+-,-+--,NA,0.0899246085111784,0.9876451232152922,+,0.18,0.11439285103654617,48.4,1
SMG1,+-,+-++,-+,0.08992589233209937,0.3538300590808504,+,0.18,0.010030645790725873,48.4,1
FAM20C,++,---+,+-,0.08994108581374881,0.7418405731994427,+,0.18,0.007377809,48.4,1
NKX2-5,++,NA,NA,0.6367784622404745,0.08994980606890257,-,0.18,0.04521039426431582,48.4,1
CLUL1,++,----,NA,0.5936381640448156,0.0899513114695898,-,0.18,0.074407203,48.4,1
GLT8D1,+-,+++-,-+,0.5638698981130964,0.08997829280613258,-,0.18,0.007735487,48.4,1
MIB1,+-,-++-,--,0.08998514115623978,0.8893560555668184,+,0.18,0.046229392220208027,48.4,1
SLC13A3,-+,++++,++,0.8020517439118441,0.0899952257389354,-,0.18,0.006160112,48.4,1
CECR6,+-,+-+-,--,0.08999931433566925,0.9564272300212942,+,0.18,0.008030524,48.4,1
CYLD,+-,++--,+-,0.09000113460726587,0.9970446297801931,+,0.18,0.115748876,48.4,1
GALK2,+-,++++,+-,0.09002564167091731,0.9421553292362472,+,0.18,0.037655712,48.4,1
PPP1R26,--,--++,++,0.5788518445589205,0.09009305262409595,-,0.18,0.028170225,48.5,1
UQCC3,-+,---+,NA,0.9487782950769894,0.0901039311657139,-,0.18,0.07966392137144032,48.5,1
