gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
OR2K2,-+--,NA,NA,0.9965206479580196,0.004449007529089665,-,0.0089,0.021300940402110377,2.39,1
SMTNL1,+-++,NA,NA,0.004449007529089665,0.9485512206251426,+,0.0089,0.0068352931100107575,2.39,1
UGCG,+++-,++++--+-,+--+-+,0.00447660018703064,0.898671156200342,+,0.00895,1.49e-5,2.41,1
CEP128,----,----+---,NA,0.996244787651281,0.00449501608710042,-,0.00899,0.011344793,2.42,1
VGF,----,-----++-,------,0.9909348612667308,0.004521824810852524,-,0.00904,0.004039232,2.43,1
CA7,++++,-++++-+-,++++--,0.004542467108890757,0.9689271630256405,+,0.00908,0.010014060057087402,2.44,1
NOS3,++++,++--++++,NA,0.004591418390083609,0.9903736502874176,+,0.00918,8.2228e-4,2.47,1
STAM2,-+--,++++----,------,0.986979569759797,0.004615745468395555,-,0.00923,0.007181585,2.48,1
WFDC5,++++,NA,NA,0.004620123203285421,0.9379420488250058,+,0.00924,0.006498408809117818,2.49,1
GRASP,+-+-,------+-,++----,0.9946370546368637,0.004631501983864408,-,0.00926,0.00157049,2.49,1
GAREM,---+,--+-----,NA,0.9965900305408063,0.004660486474672054,-,0.00932,5.08029e-4,2.51,1
PLA2G15,++++,++++-+++,NA,0.004715269520141357,0.9985180020930475,+,0.00943,0.005216953,2.54,1
DDN,+-++,++-+++++,+++-+-,0.004716175947817958,0.9880285224924132,+,0.00943,0.001204026,2.54,1
SYNPO2,-+--,--------,---+--,0.9992712213656371,0.004716590212369408,-,0.00943,0.001738483,2.54,1
OOEP,+-++,NA,NA,0.004734200319415925,0.7725302304357746,+,0.00947,0.004043750616297791,2.55,1
ADGRD1,++++,+-+++--+,NA,0.004797698124097364,0.9778651337441758,+,0.0096,0.024391071881737305,2.58,1
PDP2,++++,++++-+-+,+-++++,0.004807792454943421,0.9924118416150629,+,0.00962,0.0036924741219132025,2.59,1
NEUROD6,+---,-+----+-,----+-,0.9406328004163789,0.004841593383311745,-,0.00968,2.46816e-4,2.6,1
SLC37A4,++++,++++++++,-+++--,0.004849778325758819,0.9963278231686932,+,0.0097,2.43543e-4,2.61,1
KLF7,++-+,--------,+----+,0.7376122142060266,0.004854055980401784,-,0.00971,0.003193727,2.61,1
ORC5,++++,+++++++-,NA,0.0049137332878714515,0.9981946878550906,+,0.00983,0.001623184,2.64,1
CPSF6,-+++,--------,+----+,0.9747286683340689,0.004929341757569806,-,0.00986,0.005782022,2.65,1
RPS23,-+++,++++++++,++--++,0.004954764244999803,0.9991525254143785,+,0.00991,0.03287706,2.67,1
ST8SIA2,----,----+---,NA,0.9988442294503853,0.004955967179951638,-,0.00991,0.001029845,2.67,1
RPS2,+-++,++++++++,++--++,0.005010359930716063,0.999083444718196,+,0.01,6.73894e-4,2.7,1
COPRS,+-+-,++++++++,-++--+,0.0050254154588423505,0.9673365757721456,+,0.0101,9.94745e-4,2.7,1
C8orf58,+++-,+-+-++++,-++-+-,0.005033768454553577,0.6558094566872631,+,0.0101,0.0011350775536861563,2.71,1
