gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
RPS16,++,-+-+,++,0.0014579831552259878,0.9655210078279063,+,0.00292,2.535217497936136,8.06086e-4,0.784,1
PGAP1,+-,-+--,-+,0.7104606431635911,0.0014924373730633056,-,0.00298,2.5250738883896746,0.00433736,0.803,1
TM4SF5,++,NA,NA,0.0015002768987939813,0.9984997231012059,+,0.003,2.5227985822669425,0.0030005537975879627,0.807,1
ZNF600,++,++++,NA,0.001536035423730375,0.9988257511241826,+,0.00307,2.512568772915764,0.026017011,0.826,1
P4HA1,--,++--,--,0.8684544772299547,0.0015395909070753705,-,0.00308,2.5115646668775162,0.022217884,0.828,1
GRB10,+-,--++,--,0.9929015960365399,0.0015455056608456941,-,0.00309,2.509899404209069,0.011806554,0.831,1
ST6GALNAC1,-+,++++,NA,0.0015553706113166945,0.994170401840453,+,0.00311,2.5071361156212277,0.015975231,0.837,1
SEMA3A,+-,+--+,--,0.9277787817799498,0.001578833716262341,-,0.00316,2.5006336120810397,0.002948596,0.849,1
FGD2,++,-+++,-+,0.0016293091734223663,0.9864706672288142,+,0.00326,2.4869665016291678,0.013003652,0.877,1
CD79B,-+,NA,NA,0.0016408271014415382,0.9983591728985585,+,0.00328,2.4839071837008984,0.0032816542028830764,0.883,1
MKKS,+-,-++-,--,0.9641637237812735,0.0016506314141833426,-,0.0033,2.4813198981582,7.74719e-4,0.888,1
SEMA3B,-+,++++,+-,0.0016528305266323878,0.8574616725289116,+,0.00331,2.4807416789688186,3.57584e-4,0.889,1
AGK,+-,-++-,--,0.9975453717707445,0.0016643490920900598,-,0.00333,2.477725580898416,0.002343633,0.895,1
GIMAP7,-+,+-++,+-,0.0016679039058024865,0.9947873651989859,+,0.00334,2.47679897864695,0.002859925,0.897,1
S100PBP,--,+++-,++,0.0016880288693895042,0.420117091048977,+,0.00338,2.471590134493454,0.025309064,0.908,1
TBPL1,+-,-+--,--,0.9861818591520088,0.0017081951095761735,-,0.00342,2.4664325301534604,0.007020412,0.919,1
GUF1,+-,-+--,-+,0.9159263302830685,0.0017180317228099298,-,0.00344,2.463938825682409,0.012553861,0.924,1
LRFN5,+-,----,--,0.9988061224183904,0.0017212741103468628,-,0.00344,2.463119967749462,0.006606209,0.926,1
RRAS2,+-,--+-,-+,0.9881922404058512,0.001725360614516694,-,0.00345,2.4620901243314424,0.001186798,0.928,1
WDR47,+-,-+--,--,0.998354527356536,0.0017383068857519319,-,0.00348,2.458843553844065,0.007709176,0.935,1
