gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
MAN2B2,+++---,+--++--+++++,++-+-+-+,0.6773149902215904,0.35349542633647485,-,0.707,0.15058620524038738,0.054497083,190,1
TBC1D26,+----+,+---++++-+++,NA,0.903364782858515,0.3535154182246603,-,0.707,0.150561644466558,0.157829781,190,1
NTN5,+-++++,NA,NA,0.8776919991805328,0.353565812922943,-,0.707,0.15049973887932336,0.13411876917461027,190,1
ZNF845,-+++-+,+++--+-++---,NA,0.3536788215123635,0.8668674384527102,+,0.707,0.15036094954160037,0.12540683767261582,190,1
TRIM16,-++++-,+-+-++-+++++,--+-++++,0.599405710430195,0.35389844828950884,-,0.708,0.15009134591094025,0.018652532,190,1
IL22,-----+,++++++-++++-,NA,0.3539591665866644,0.47005688786835975,+,0.708,0.1500168404711012,0.107711161,190,1
SAMD13,-+----,++++-+++--+-,NA,0.35410578521367203,0.7408885877163651,+,0.708,0.14983698222108657,0.112441401,191,1
EGF,+++-++,+++-++-++-+-,NA,0.3541806964668647,0.7793547832716583,+,0.708,0.1497451167263841,0.029729006999999998,191,1
HERC2,-++--+,--+-+++-+-++,++--+---,0.3542553747004444,0.5783742145220474,+,0.709,0.1496535563267883,0.016186142,191,1
CRELD2,+---+-,--+---+-+++-,---++-++,0.9417342938913263,0.3543866925003742,-,0.709,0.14949259891492236,0.095034936,191,1
IFT172,+--+-+,+-+---+--+++,+++++-+-,0.35442673360965476,0.41034150174101675,+,0.709,0.14944353203162763,0.041420131,191,1
OR5T1,++++++,NA,NA,0.35457219095371745,0.7866980540878815,+,0.709,0.14926533338963696,0.10633805955632648,191,1
ROPN1L,++-+--,++++++++--+-,NA,0.35470564876098853,0.8907416905709793,+,0.709,0.14910189957934883,0.08888461,191,1
IL36RN,++-++-,NA,NA,0.3547308699298904,0.5894220817632708,+,0.709,0.14907102038382603,0.08507819252887742,191,1
BCL9,++++-+,+---+++++++-,---+----,0.7874908823849072,0.35505476334123787,-,0.71,0.14867466090726555,0.018900422,191,1
VKORC1,++-++-,+-++++-++-+-,--+-+---,0.48723731882570115,0.35506409729637284,-,0.71,0.14866324398698816,0.06834790807013061,191,1
DOLPP1,++++--,+-+-+----++-,+---+---,0.35518262238568854,0.9011797454661019,+,0.71,0.1485182949395423,0.051166948,191,1
TAS2R4,+--+++,----+++---++,NA,0.3552119780757406,0.6030664263854506,+,0.71,0.14848240217177336,0.0438212,191,1
OR5D16,++++--,NA,NA,0.35522558966545964,0.5767944876116398,+,0.71,0.1484657604890301,0.05598082176804461,191,1
TMEM8C,--+-+-,NA,NA,0.35528476418251476,0.5237823038171064,+,0.711,0.14839342046992532,0.16989141173275468,191,1
OR9K2,++++++,NA,NA,0.8688174655715708,0.35528595438888794,-,0.711,0.14839196558289808,0.17751966100579034,191,1
APOPT1,+---+-,+-+-+++-++--,NA,0.7920590519130069,0.355286449269932,-,0.711,0.1483913606505772,0.03591002057958187,191,1
RALYL,++++-+,++------+-++,-+-++-++,0.3552962338358186,0.8331187753506135,+,0.711,0.1483794003732621,0.1085787814357304,191,1
KCNMB2,--+++-,++--+++-+---,++-----+,0.7484359682591892,0.3553199812386889,-,0.711,0.1483503738303514,0.026696816,191,1
OR5H1,--+-+-,NA,NA,0.35535015563316225,0.8461167482031928,+,0.711,0.14831349434902102,0.13963189983242025,191,1
IL31RA,+-+-++,NA,NA,0.6807391291077718,0.3553823883497324,-,0.711,0.14827410262263596,0.0999379363651757,191,1
PRDM5,---+++,+++--+++----,NA,0.3553854433836541,0.7047736482800544,+,0.711,0.14827036923934261,0.016727401,191,1
USP4,+-+++-,------+--+++,---+----,0.45515845485155115,0.35542110398122934,-,0.711,0.1482267928237378,0.076074727,191,1
ZDHHC19,++--+-,NA,NA,0.3554657306362596,0.5087414333261916,+,0.711,0.1481722662546494,0.19705334637452612,191,1
HTR3E,-+--+-,NA,NA,0.841370980022667,0.35546706274064205,-,0.711,0.14817063874333466,0.1528341969344773,191,1
PATL1,++++--,----+-++--++,-++--+-+,0.35557113083737046,0.6262040247704674,+,0.711,0.14804351139382727,0.024850071,191,1
PPAP2A,--+++-,++++++-+-+--,-------+,0.35566266390994633,0.7344780291504103,+,0.711,0.14793172731144985,0.053194711,191,1
C6orf203,++-++-,--+---+---+-,-+-+--+-,0.35573582926156583,0.643664964384915,+,0.711,0.14784239535786295,0.038842805,191,1
ZNF816-ZNF321P,-+-+--,NA,NA,0.7307038143707929,0.35574516743767365,-,0.711,0.14783099514233022,0.2681318509903304,191,1
SLFN12L,+---+-,++-++-+---++,NA,0.35575891004639754,0.7050307630233185,+,0.712,0.1478142184594542,0.033178155,191,1
RFPL4A,++++++,NA,NA,0.3557807184687219,0.4636113989641931,+,0.712,0.14778759653399035,0.044063505651355764,191,1
MTRNR2L7,+-+++-,NA,NA,0.35589182547713855,0.7258302818318355,+,0.712,0.14765199158067677,0.2181666970915141,191,1
IFNA8,+-+++-,NA,NA,0.6657287252350965,0.3561311836932121,-,0.712,0.14736000113931202,0.04950097667244543,192,1
SS18L2,-+-++-,++++-+++++--,+-----+-,0.7849056723986099,0.35619329163125973,-,0.712,0.14728426841980233,0.027704841,192,1
RAB11FIP5,++++--,-+-++---++-+,+-++---+,0.3562583447700317,0.7547318428736808,+,0.713,0.14720495856118404,0.057952992,192,1
HSD3B2,+-++-+,NA,NA,0.8143240064340349,0.3564141907493719,-,0.713,0.14701501704790879,0.31288993866898546,192,1
RUSC1-AS1,NA,++--++++-+++,NA,0.6911106575380779,0.3565389462430316,-,0.713,0.14686302775092616,0.068067647,192,1
ACAP1,-+--++,++++-+++--+-,NA,0.35658440288514603,0.7802538458315171,+,0.713,0.14680766125959752,0.112626314,192,1
CCDC83,+---++,NA,NA,0.9214784211973627,0.3567521130200684,-,0.714,0.1466034502431305,0.3206408879081543,192,1
MGAT2,-+++-+,-+++-+--+-+-,+------+,0.3567954914340891,0.5072667095535556,+,0.714,0.14655064646171906,0.030186798,192,1
UBP1,-+++-+,+-----++++-+,+++--+++,0.41002592914876446,0.35691882522232693,-,0.714,0.14640054947487985,0.034320974,192,1
WIPI2,++-+-+,-+++---++---,++++++-+,0.3569630078859781,0.714092484112568,+,0.714,0.1463467918748007,0.109114844,192,1
TCEB3B,------,NA,NA,0.3571837976456379,0.4400586616647275,+,0.714,0.14607825387506912,0.14969669911919228,192,1
CTNNBL1,++-+--,+-+-+++-+++-,++++--+-,0.3571846649305649,0.4401537844834009,+,0.714,0.14607719935746996,0.006514974196472391,192,1
CPT1A,+++++-,------++-+-+,NA,0.7860487874248645,0.35726600213218057,-,0.715,0.14597831415904758,0.050238076,192,1
ZNF479,+-++++,NA,NA,0.3572946652777708,0.7399555366687566,+,0.715,0.14594347248208925,0.0770712858080355,192,1
LILRA1,-++-+-,--+-++++++-+,NA,0.35743220963807315,0.8685666213784615,+,0.715,0.14577631839979546,0.073482566,192,1
MADD,++++-+,+--+++++++--,++-+----,0.35744021184718355,0.6543881595051916,+,0.715,0.14576659550335863,0.006293071,192,1
ZNF710,+++---,--+-+++++-++,NA,0.3723545787980087,0.35754946003852384,-,0.715,0.14563387781835738,0.083619853,192,1
CCDC153,----+-,NA,NA,0.357610916770689,0.6877029193127473,+,0.715,0.14555923632370432,0.1227994683565853,192,1
TM4SF4,-+++-+,NA,NA,0.3576922662204949,0.5777556949586303,+,0.715,0.14546045410618047,0.09181256481016842,192,1
FOXA2,--+++-,NA,NA,0.35774845281747103,0.5277732552943898,+,0.715,0.14539224012723156,0.13446712247101214,192,1
C2orf42,--++--,-++--++----+,+----+++,0.7503276267091884,0.3578547579580736,-,0.716,0.14526320846385704,0.02380606804826719,193,1
PCDHB12,+++--+,----+-+----+,-----++-,0.3578629334203659,0.6346102917008052,+,0.716,0.14525328679165728,0.05503867,193,1
FGFBP2,--+-++,NA,NA,0.3578633609466228,0.5657720695791808,+,0.716,0.1452527679556282,0.03853453314249975,193,1
KIAA1211L,++-+-+,---+--+++++-,NA,0.670266433176634,0.35797606571858565,-,0.716,0.1451160136525575,0.18481087301538462,193,1
FERMT1,-+---+,--+-+++--+-+,NA,0.3580570495864704,0.8169965191966952,+,0.716,0.14501777560645676,0.03737318526313838,193,1
ZMAT4,-+++-+,++-++-+++-++,NA,0.8697723879823283,0.3580605020456732,-,0.716,0.1450135880705491,0.10942131460959627,193,1
DCAF12,-+++-+,--+---+---+-,NA,0.35823664288776264,0.6310290615095717,+,0.716,0.144799997948516,0.139809175,193,1
MN1,-+-+-+,----+-+---++,+--++---,0.3584310920776414,0.48015125422525895,+,0.717,0.144564328870289,0.034005993,193,1
THBD,-++---,-++++-++-++-,NA,0.35853528273746943,0.8045978785333601,+,0.717,0.14443810418099481,0.028995162,193,1
C10orf25,NA,-++-++-+-+++,NA,0.3585534811798631,0.4788723737332453,+,0.717,0.1444160609319295,0.026397218,193,1
SLC24A5,++++--,-+-+++-+----,NA,0.35866515807481836,0.7293378668725655,+,0.717,0.14428081441999405,0.00266406,193,1
SAA2-SAA4,-+++++,NA,NA,0.8542930689554737,0.3586853682754152,-,0.717,0.14425634331897083,0.23950626595359173,193,1
OR8J3,++++-+,NA,NA,0.3630359002145147,0.35877307501111594,-,0.718,0.14415016141565157,0.06364355105261792,193,1
EBAG9,-+-+++,++-+-+++--+-,-++-+-++,0.4916324285803498,0.3588356421675314,-,0.718,0.1440744305327958,0.012323506,193,1
ZNF556,+---+-,NA,NA,0.601981839511651,0.35886579767168286,-,0.718,0.14403793522058733,0.156344414191325,193,1
ZNF560,-+++-+,NA,NA,0.48406870859705387,0.3590872795389541,-,0.718,0.14376998357053652,0.06671485411525492,193,1
USF1,+-++--,++++-++++++-,NA,0.423920147411927,0.3591091999487542,-,0.718,0.1437434729615539,0.024833009,193,1
ZNF415,-++---,++++++++++++,----++-+,0.3749867315846692,0.35920377725025243,-,0.718,0.1436291094412079,0.029193690357834107,193,1
VASP,-++-+-,+++---++++++,+--+----,0.35925810740800646,0.9184699589063463,+,0.719,0.143563426658969,0.060573502,193,1
CDCA4,-+-+--,-+-+---+-++-,NA,0.8828080009748145,0.359298769291562,-,0.719,0.14351427472056733,0.13454871,193,1
OR5K4,+++-++,NA,NA,0.3593592590027203,0.5317085873470748,+,0.719,0.14344116526712572,0.14555838003647242,193,1
WDR54,++-++-,++++-++++++-,-+-++--+,0.41058406958287275,0.35937669529549127,-,0.719,0.14342009359068744,0.003599345,193,1
KLHL25,-+-+--,+++--++---+-,--++++--,0.3594582500897235,0.6081910872215973,+,0.719,0.14332154858397303,0.022109551,193,1
HECTD4,-++--+,----+-++++-+,NA,0.788502019500323,0.3597110255521598,-,0.719,0.14301625469354828,0.18889656649602543,194,1
SLC30A1,++++-+,-+----++----,-+--+-+-,0.3597222267866116,0.6116301088832898,+,0.719,0.1430027311754248,0.047295787,194,1
