gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
LPCAT1,++++-+,-+-+-+------,++-+--+-,0.5094997927540715,0.4240653887093491,-,0.848,0.005299719,228,1
DCAF8,++++-+,+-+-++----+-,NA,0.698295793196311,0.42417891497813676,-,0.848,0.09627315030949314,228,1
ZNF69,----++,+-+--++---++,NA,0.8250149874682838,0.42423679499481076,-,0.848,0.11698124428902822,228,1
CCL16,----+-,NA,NA,0.7213950100250575,0.42439319597437186,-,0.849,0.4200227797360204,228,1
NXF1,---+-+,+-+---+-++++,+-++--+-,0.424396454096105,0.4985578246784716,+,0.849,0.017609949,228,1
B3GNT7,+++---,--+-+----+++,NA,0.7869782228917716,0.4244122860317225,-,0.849,0.041975604,228,1
UTP11L,++--+-,++---++---+-,++-+----,0.424434363521388,0.6418915477374114,+,0.849,0.005352341,228,1
HS3ST6,-+++++,-++-+----+++,-+--+--+,0.4592599973376026,0.42445994165586437,-,0.849,0.012346067,228,1
PSMD11,++++--,+-++++----+-,+---+--+,0.8197688882730441,0.42452664072744867,-,0.849,0.064511626,228,1
APCDD1,---++-,+++-++-----+,+-+---++,0.638309860237021,0.4245429632429233,-,0.849,0.01365412,228,1
SYT1,++++-+,+--+-+--+---,++-----+,0.7548326239375063,0.42464530806164136,-,0.849,0.10785544,228,1
ZNF296,-+--+-,NA,NA,0.8364910120606923,0.4246930943890271,-,0.849,0.6651141143413434,228,1
SHD,+++++-,NA,++------,0.42469391491195485,0.5180767375194355,+,0.849,0.065553652,228,1
BNC1,--+--+,NA,NA,0.4246946263068928,0.7594187501225487,+,0.849,0.3721995083048152,228,1
KCNA2,++++-+,---+++-+++-+,-+---+--,0.7217394772533707,0.4248494937156316,-,0.85,0.026611985,229,1
OR5F1,-+++-+,NA,NA,0.4249718485439429,0.790459319191019,+,0.85,0.45100247653358805,229,1
HIPK3,++++--,+++--+++-+--,NA,0.4250225417550133,0.8821412256251158,+,0.85,0.016399413,229,1
VWA5A,+++---,+++--+-+--++,NA,0.4250469597828377,0.7102866925628029,+,0.85,0.116419591,229,1
KRT222,++++-+,NA,NA,0.4251254627091994,0.7051623851035786,+,0.85,0.32743463332568656,229,1
ARFGAP3,-+++-+,+++++++---+-,-----+++,0.4251453931142063,0.696870968421788,+,0.85,0.046931654,229,1
IQGAP3,++--+-,NA,NA,0.5109439897984226,0.42519148922953764,-,0.85,0.280701900486548,229,1
CASP14,----++,NA,NA,0.42519604699975283,0.5209907441560668,+,0.85,0.27036276089487715,229,1
ANO5,++++-+,++-+-++++---,NA,0.4253909767069809,0.5615970998779786,+,0.851,0.100271443,229,1
RUSC1,++-+-+,------++++++,++---+--,0.4254600043922208,0.8002997188505918,+,0.851,0.138513221,229,1
ADCY8,++++-+,+++-++++---+,+++--+++,0.42548408888316713,0.9551377367048028,+,0.851,0.095885256,229,1
