structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
cuneate nucleus,331,1,4.2507067899755615,0.986,1,cuneate nucleus <  myelencephalon  < gray matter,cuneate nucleus <  myelencephalon  < gray matter
oculomotor nuclear complex,366,1,4.700177296468445,0.991,1,oculomotor nuclear complex < midbrain tegmentum,oculomotor nuclear complex <  midbrain tegmentum  <  mesencephalon  < gray matter
amygdalohippocampal transition zone,92,NA,1.1814653313527241,NA,NA,amygdalohippocampal transition zone <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,amygdalohippocampal transition zone <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter
angular gyrus superior bank of gyrus,8,NA,0.1027361157698021,NA,NA,angular gyrus superior bank of gyrus <  angular gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter,angular gyrus superior bank of gyrus <  angular gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
anterior group of nuclei,16,NA,0.2054722315396042,NA,NA,anterior group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,anterior group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
anterior orbital gyrus,33,NA,0.42378647755043364,NA,NA,anterior orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,anterior orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
arcuate nucleus of medulla,38,NA,0.48799654990655994,NA,NA,arcuate nucleus of medulla <  myelencephalon  < gray matter,arcuate nucleus of medulla <  myelencephalon  < gray matter
basomedial nucleus,48,NA,0.6164166946188125,NA,NA,basomedial nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,basomedial nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter
central gray substance of midbrain,4,NA,0.05136805788490105,NA,NA,central gray substance of midbrain <  midbrain tegmentum  <  mesencephalon  < gray matter,central gray substance of midbrain <  midbrain tegmentum  <  mesencephalon  < gray matter
central medullary reticular group,62,NA,0.7962048972159662,NA,NA,central medullary reticular group <  medullary reticular formation  <  myelencephalon  < gray matter,central medullary reticular group <  medullary reticular formation  <  myelencephalon  < gray matter
cingulate gyrus frontal part superior bank of gyrus,1,NA,0.012842014471225262,NA,NA,cingulate gyrus frontal part superior bank of gyrus <  cingulate gyrus frontal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,cingulate gyrus frontal part superior bank of gyrus <  cingulate gyrus frontal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
cingulate gyrus parietal part inferior bank of gyrus,4,NA,0.05136805788490105,NA,NA,cingulate gyrus parietal part inferior bank of gyrus <  cingulate gyrus parietal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,cingulate gyrus parietal part inferior bank of gyrus <  cingulate gyrus parietal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
cingulate gyrus parietal part superior bank of gyrus,2,NA,0.025684028942450525,NA,NA,cingulate gyrus parietal part superior bank of gyrus <  cingulate gyrus parietal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,cingulate gyrus parietal part superior bank of gyrus <  cingulate gyrus parietal part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
cingulate gyrus retrosplenial part superior bank of gyrus,50,NA,0.6421007235612631,NA,NA,cingulate gyrus retrosplenial part superior bank of gyrus <  cingulate gyrus retrosplenial part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,cingulate gyrus retrosplenial part superior bank of gyrus <  cingulate gyrus retrosplenial part  <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
cochlear nuclei,44,NA,0.5650486367339115,NA,NA,cochlear nuclei <  myelencephalon  < gray matter,cochlear nuclei <  myelencephalon  < gray matter
cortico-medial group,21,NA,0.2696823038957305,NA,NA,cortico-medial group <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,cortico-medial group <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter
Crus I lateral hemisphere,13,NA,0.1669461881259284,NA,NA,Crus I lateral hemisphere <  crus I  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,Crus I lateral hemisphere <  crus I  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
