gene_symbol,mouseGene,cns_cell_type_taxon,cell_type_taxon
AREL1,Arel1,Telencephalon projecting inhibitory neurons,Sympathetic noradrenergic neurons
RANGAP1,Rangap1,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ZNF184,Zfp184,Non-glutamatergic neuroblasts,Non-glutamatergic neuroblasts
ZDHHC5,Zdhhc5,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
HIST1H2BF,Hist1h2be,Ependymal cells,Ependymal cells
FAM120A,Fam120a,Cholinergic and monoaminergic neurons,Enteric neurons
KIF15,Kif15,Oligodendrocyte precursor cells,Oligodendrocyte precursor cells
NKAPL,Nkapl,Ependymal cells,Ependymal cells
FCF1,Fcf1,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
SORBS3,Sorbs3,Choroid epithelial cells,Choroid epithelial cells
PCDHA2,Pcdha2,Spinal cord inhibitory neurons,Spinal cord inhibitory neurons
PCDHA1,Pcdha1,Telencephalon inhibitory interneurons,Sympathetic cholinergic neurons
SCYL1,Scyl1,Hindbrain neurons,Sympathetic cholinergic neurons
MR1,Mr1,Choroid epithelial cells,Choroid epithelial cells
BTN3A3,NA,NA,NA
TCTEX1D1,Tctex1d1,Ependymal cells,Ependymal cells
CELF2,Celf2,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
CTNND1,Ctnnd1,Pericytes,Peripheral sensory non-peptidergic neurons
HSPA1A,Hspa1a,Enteric glia,Enteric glia
ASCC3,Ascc3,Cholinergic and monoaminergic neurons,Enteric neurons
ELAVL2,Elavl2,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
RPS6KL1,Rps6kl1,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
PCDHA3,Pcdha3,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
TRMT10C,Trmt10c,Schwann cells,Sympathetic noradrenergic neurons
ABT1,Abt1,Schwann cells,Sympathetic cholinergic neurons
SCAI,Scai,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
FADS1,Fads1,Satellite glia,Satellite glia
CTTNBP2,Cttnbp2,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
KMT2A,Kmt2a,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
BEND4,Bend4,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ESRRG,Esrrg,Hindbrain neurons,Hindbrain neurons
BAZ2B,Baz2b,Cholinergic and monoaminergic neurons,Enteric neurons
GPC5,Gpc5,Astrocytes,Peripheral sensory non-peptidergic neurons
IQCJ-SCHIP1,Gm21949,NA,NA
TCAIM,Tcaim,Cholinergic and monoaminergic neurons,Peripheral sensory neurofilament neurons
